    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.360901E+001 
    0     1   1.705020E+002   5.181949E+001 
    0     2   5.098500E+002   4.549654E+001 
    0     3   1.015153E+003   4.427312E+001 
    0     4   1.681678E+003   4.283897E+001 
    0     5   2.503870E+003   4.084836E+001 
    0     6   3.474434E+003   3.816803E+001 
    0     7   4.586377E+003   3.488964E+001 
    0     8   5.829758E+003   3.112324E+001 
    1     0   5.987124E+003   2.638433E+001 
    1     1   6.149208E+003   2.538084E+001 
    1     2   6.471607E+003   2.550286E+001 
    1     3   6.951587E+003   2.485344E+001 
    0     9   7.196995E+003   2.771320E+001 
    1     4   7.584601E+003   2.452613E+001 
    1     5   8.365297E+003   2.433903E+001 
    0    10   8.677322E+003   2.626946E+001 
    1     6   9.286624E+003   2.441788E+001 
    0    11   1.026179E+004   2.554827E+001 
    1     7   1.034152E+004   2.445375E+001 
    1     8   1.152183E+004   2.455480E+001 
    2     0   1.163573E+004   2.333011E+001 
    2     1   1.178951E+004   2.335144E+001 
    0    12   1.194031E+004   2.488153E+001 
    2     2   1.209524E+004   2.321271E+001 
    2     3   1.255050E+004   2.316650E+001 
    1     9   1.281752E+004   2.459311E+001 
    2     4   1.315072E+004   2.302682E+001 
    0    13   1.370318E+004   2.430906E+001 
    2     5   1.389070E+004   2.295851E+001 
    1    10   1.422111E+004   2.451633E+001 
    2     6   1.476414E+004   2.289028E+001 
    0    14   1.554025E+004   2.376757E+001 
    1    11   1.572229E+004   2.432636E+001 
    2     7   1.576338E+004   2.288725E+001 
    2     8   1.688055E+004   2.292086E+001 
    3     0   1.695284E+004   2.242013E+001 
    3     1   1.709837E+004   2.244448E+001 
    1    12   1.731122E+004   2.403494E+001 
    3     2   1.738779E+004   2.230218E+001 
    0    15   1.744391E+004   2.331425E+001 
    3     3   1.781869E+004   2.227463E+001 
    2     9   1.810741E+004   2.298495E+001 
    3     4   1.838652E+004   2.211560E+001 
    1    13   1.897972E+004   2.367763E+001 
    3     5   1.908649E+004   2.204770E+001 
    0    16   1.940345E+004   2.284857E+001 
    2    10   1.943491E+004   2.303169E+001 
    3     6   1.991225E+004   2.194834E+001 
    1    14   2.071785E+004   2.326022E+001 
    2    11   2.085383E+004   2.298191E+001 
    3     7   2.085653E+004   2.188762E+001 
    0    17   2.141168E+004   2.247595E+001 
    3     8   2.191171E+004   2.186650E+001 
    4     0   2.194278E+004   2.162920E+001 
    4     1   2.208004E+004   2.163355E+001 
    4     2   2.235326E+004   2.152595E+001 
    2    12   2.235535E+004   2.291924E+001 
    1    15   2.251712E+004   2.284955E+001 
    4     3   2.275983E+004   2.157765E+001 
    3     9   2.306999E+004   2.188130E+001 
    4     4   2.329564E+004   2.134217E+001 
    0    18   2.345990E+004   2.204589E+001 
    2    13   2.393080E+004   2.265086E+001 
    4     5   2.395581E+004   2.132875E+001 
    3    10   2.432262E+004   2.185727E+001 
    1    16   2.436840E+004   2.239046E+001 
    4     6   2.473404E+004   2.118116E+001 
    0    19   2.553963E+004   2.172163E+001 
    2    14   2.557053E+004   2.244332E+001 
    4     7   2.562381E+004   2.109064E+001 
    3    11   2.565988E+004   2.187529E+001 
    1    17   2.626369E+004   2.199969E+001 
    5     0   2.660677E+004   2.097085E+001 
    4     8   2.661704E+004   2.102231E+001 
    5     1   2.673596E+004   2.095469E+001 
    5     2   2.699289E+004   2.082592E+001 
    3    12   2.707418E+004   2.184620E+001 
    2    15   2.726625E+004   2.197852E+001 
    5     3   2.737523E+004   2.077704E+001 
    0    20   2.764451E+004   2.129379E+001 
    4     9   2.770677E+004   2.100010E+001 
    5     4   2.787879E+004   2.063788E+001 
    1    18   2.819486E+004   2.151912E+001 
    5     5   2.849899E+004   2.059126E+001 
    3    13   2.855661E+004   2.174040E+001 
    4    10   2.888376E+004   2.092944E+001 
    2    16   2.900940E+004   2.170476E+001 
    5     6   2.922954E+004   2.046533E+001 
    0    21   2.976661E+004   2.098991E+001 
    5     7   3.006431E+004   2.033737E+001 
    3    14   3.009785E+004   2.156007E+001 
    4    11   3.013990E+004   2.096470E+001 
    1    19   3.015462E+004   2.122093E+001 
    2    17   3.079235E+004   2.097470E+001 
    6     0   3.094320E+004   2.033016E+001 
    5     8   3.099552E+004   2.029826E+001 
    6     1   3.106412E+004   2.030095E+001 
    6     2   3.130464E+004   2.009046E+001 
    4    12   3.146651E+004   2.090471E+001 
    6     3   3.166233E+004   2.006967E+001 
    3    15   3.169026E+004   2.130537E+001 
    0    22   3.190031E+004   2.052191E+001 
    5     9   3.201575E+004   2.023757E+001 
    6     4   3.213322E+004   1.990603E+001 
    1    20   3.213454E+004   2.060579E+001 
    2    18   3.260639E+004   2.076136E+001 
    6     5   3.271272E+004   2.047125E+001 
    4    13   3.285516E+004   2.081061E+001 
    5    10   3.311646E+004   2.023104E+001 
    3    16   3.332489E+004   2.089707E+001 
    6     6   3.339496E+004   1.976337E+001 
    0    23   3.403759E+004   2.020049E+001 
    1    21   3.412953E+004   2.036546E+001 
    6     7   3.417363E+004   1.975156E+001 
    5    11   3.428978E+004   2.020201E+001 
    4    14   3.429681E+004   2.065963E+001 
    2    19   3.444505E+004   1.908803E+001 
    7     0   3.494622E+004   1.982270E+001 
    3    17   3.499413E+004   2.049337E+001 
    6     8   3.504117E+004   1.974275E+001 
    7     1   3.505878E+004   1.955702E+001 
    7     2   3.528236E+004   1.952235E+001 
    5    12   3.552731E+004   2.019702E+001 
    7     3   3.561473E+004   1.949335E+001 
    4    15   3.578419E+004   2.053671E+001 
    6     9   3.599047E+004   1.973741E+001 
    7     4   3.605189E+004   1.945666E+001 
    1    22   3.613139E+004   1.960823E+001 
    0    24   3.617459E+004   1.966425E+001 
    2    20   3.629979E+004   1.984682E+001 
    7     5   3.658964E+004   1.942777E+001 
    3    18   3.668984E+004   2.005001E+001 
    5    13   3.682003E+004   2.001315E+001 
    6    10   3.701302E+004   1.968983E+001 
    7     6   3.722192E+004   1.939071E+001 
    4    16   3.730808E+004   2.010658E+001 
    7     7   3.794263E+004   1.937722E+001 
    6    11   3.810113E+004   1.968660E+001 
    1    23   3.813447E+004   1.941055E+001 
    5    14   3.815979E+004   1.996321E+001 
    2    21   3.816475E+004   1.963045E+001 
    0    25   3.830484E+004   1.922217E+001 
    3    19   3.840503E+004   1.908644E+001 
    8     0   3.860553E+004   1.925319E+001 
    8     1   3.870915E+004   1.924244E+001 
    7     8   3.874438E+004   1.912807E+001 
    4    17   3.886111E+004   1.994952E+001 
    8     2   3.891514E+004   1.922280E+001 
    8     3   3.922109E+004   1.916470E+001 
