     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_gain    Energ_cons 
  3.554148354E+007   3.755291257E-007   1.005446028E+001   7.094428049E-012  -4.360956712E-014   2.126900338E-005   8.344894211E-010   3.984218485E-010   1.640344028E-008   2.128663973E-005   1.912887667E-009   3.188209830E+001   6.254471184E-003   2.648305691E-002   2.388927081E-003   4.917730146E-002   3.196640206E+001  -1.931841476E-012   3.819189976E-009 
  5.025897798E+007   5.311293865E-007   1.013683072E+001   7.094428049E-012  -5.431269847E-014   2.125916058E-005   8.417154412E-010   3.987908654E-010   2.623864559E-008   2.128663973E-005   1.971073413E-009   3.185259654E+001   6.305710484E-003   2.648305691E-002   2.390033132E-003   7.862671608E-002   3.196640205E+001  -2.755065577E-012   3.935122979E-009 
  7.052575863E+007   7.455362392E-007   1.037049771E+001   7.094428049E-012  -8.528346154E-014   2.124184716E-005   8.618199301E-010   3.994412088E-010   4.353129400E-008   2.128663972E-005   2.743850958E-009   3.180073628E+001   6.451065226E-003   2.648305691E-002   2.391981157E-003   1.303396253E-001   3.196640200E+001  -3.950159667E-012   5.475994026E-009 
  1.034504243E+008   1.094302820E-006   1.126129207E+001   7.094428049E-012  -1.148878674E-013   2.120445849E-005   9.374977823E-010   4.008510765E-010   8.084284199E-008   2.128663969E-005   4.182886839E-009   3.168888718E+001   7.005192200E-003   2.648305691E-002   2.396198807E-003   2.416302873E-001   3.196640191E+001  -6.266347069E-012   8.343663399E-009 
  1.288672075E+008   1.364010007E-006   1.264798979E+001   7.094428049E-012  -1.382298028E-013   2.116778324E-005   1.054764099E-009   4.022413071E-010   1.173994209E-007   2.128663967E-005   4.888480925E-009   3.157936372E+001   7.867800503E-003   2.648305691E-002   2.400350456E-003   3.502869404E-001   3.196640187E+001  -8.696439632E-012   9.738705351E-009 
  1.690909593E+008   1.791936695E-006   1.683822270E+001   7.094428049E-012  -1.799036972E-013   2.109591631E-005   1.408987266E-009   4.049865862E-010   1.889093088E-007   2.128663959E-005   8.585687160E-009   3.136529695E+001   1.047437413E-002   2.648305691E-002   2.408527670E-003   5.617387253E-001   3.196640164E+001  -1.572449566E-011   1.696901153E-008 
  1.986793649E+008   2.107729619E-006   2.217356512E+001   7.094428049E-012  -1.958445312E-013   2.103231327E-005   1.861048524E-009   4.074396997E-010   2.520578330E-007   2.128663959E-005   8.600195078E-009   3.117645274E+001   1.379327385E-002   2.648305691E-002   2.415811209E-003   7.472567582E-001   3.196640164E+001  -2.600221337E-011   1.699818741E-008 
  2.131310103E+008   2.262329224E-006   2.569022248E+001   7.094428049E-012  -2.210082762E-013   2.099796438E-005   2.159732102E-009   4.087737861E-010   2.861067098E-007   2.128663959E-005   8.592556014E-009   3.107470432E+001   1.598084349E-002   2.648305691E-002   2.419763042E-003   8.468136486E-001   3.196640164E+001  -3.390169451E-011   1.698274126E-008 
  2.258602453E+008   2.398718360E-006   2.937092573E+001   7.094428049E-012  -2.550533429E-013   2.096593439E-005   2.472934568E-009   4.100237203E-010   3.178222409E-007   2.128663959E-005   8.573066485E-009   3.097997484E+001   1.827045942E-002   2.648305691E-002   2.423459752E-003   9.392498177E-001   3.196640164E+001  -4.338731955E-011   1.694357388E-008 
  2.385894803E+008   2.535321423E-006   3.365982274E+001   7.094428049E-012  -2.678060101E-013   2.093224916E-005   2.838606166E-009   4.113444437E-010   3.511404781E-007   2.128663959E-005   8.556837494E-009   3.088050594E+001   2.093840798E-002   2.648305691E-002   2.427359705E-003   1.036046871E+000   3.196640164E+001  -5.613507630E-011   1.691151515E-008 
  2.513187152E+008   2.672149892E-006   3.861901274E+001   7.094428049E-012  -2.967272373E-013   2.089691597E-005   3.262332209E-009   4.127366493E-010   3.860485577E-007   2.128663959E-005   8.552330520E-009   3.077634264E+001   2.402331856E-002   2.648305691E-002   2.431463965E-003   1.137121162E+000   3.196640164E+001  -7.327632150E-011   1.690278909E-008 
  2.589285083E+008   2.754060760E-006   4.193051840E+001   7.094428049E-012  -3.100492200E-013   2.087500913E-005   3.545788037E-009   4.136033792E-010   4.076710676E-007   2.128663959E-005   8.550047587E-009   3.071184903E+001   2.608327167E-002   2.648305691E-002   2.434015613E-003   1.199552269E+000   3.196640164E+001  -8.615818911E-011   1.689847680E-008 
  2.724521430E+008   2.899844937E-006   4.850817041E+001   7.094428049E-012  -3.233712026E-013   2.083463634E-005   4.109965563E-009   4.152078710E-010   4.474780764E-007   2.128663959E-005   8.540260245E-009   3.059316893E+001   3.017496171E-002   2.648305691E-002   2.438732182E-003   1.314135957E+000   3.196640164E+001  -1.155467636E-010   1.688015463E-008 
  2.884694090E+008   3.072886163E-006   5.754385625E+001   7.094428049E-012  -3.505844834E-013   2.078444463E-005   4.887308469E-009   4.172156378E-010   4.968904440E-007   2.128663959E-005   8.490755152E-009   3.044594543E+001   3.579569471E-002   2.648305693E-002   2.444621402E-003   1.455732844E+000   3.196640164E+001  -1.641927804E-010   1.678903814E-008 
  3.091524960E+008   3.296974071E-006   7.143117045E+001   7.094428049E-012  -3.995456162E-013   2.071584938E-005   6.086872917E-009   4.199832184E-010   5.642833570E-007   2.128663959E-005   8.494604767E-009   3.024531453E+001   4.443442857E-002   2.648305706E-002   2.452716141E-003   1.647716906E+000   3.196640164E+001  -2.582776544E-010   1.679626968E-008 
