     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  1.845570206E+007   1.949699268E-007   1.001263116E+001   1.680721281E-028   1.972647406E-020   8.816981083E-029   1.108413829E-029   6.826109374E-020   6.114513612E-162   6.826109374E-020   3.307248217E-022   8.112218571E-023   1.475013872E-128   4.118470074E-022   2.947593616E-029   6.831797344E-050   6.913895877E-026   4.483664333E-036   1.079913835E-027   0.000000000E+000   2.261212767E-035   3.808318137E-045 
  2.699859280E+007   2.852404643E-007   1.002823142E+001   2.450450927E-028   1.977978161E-020   9.000187752E-029   1.117471223E-029   6.851820865E-020   9.945785259E-162   6.851820865E-020   3.323617681E-022   8.169091328E-023   2.129714821E-128   4.140526814E-022   2.990221704E-029   7.286843334E-050   6.941141346E-026   4.562604243E-036   1.119603697E-027   0.000000000E+000   2.285443197E-035   4.151998821E-045 
  3.554148354E+007   3.755291257E-007   1.005446028E+001   3.221551038E-028   1.986602604E-020   9.313933964E-029   1.132610869E-029   6.894545013E-020   2.245541660E-161   6.894545013E-020   3.350682981E-022   8.263965549E-023   3.938687609E-128   4.177079536E-022   3.062711211E-029   8.116558192E-050   6.986424793E-026   4.697421154E-036   1.189174195E-027   0.000000000E+000   2.326187673E-035   4.797499380E-045 
  5.025897798E+007   5.311293865E-007   1.013683072E+001   4.555169537E-028   2.012850116E-020   1.035612867E-028   1.180503062E-029   7.028116158E-020   2.818735924E-160   7.028116158E-020   3.435149240E-022   8.563645374E-023   2.659801941E-127   4.291513778E-022   3.298597581E-029   1.134308012E-049   7.127710129E-026   5.140903022E-036   1.433597127E-027   0.000000000E+000   2.456355509E-035   7.513057527E-045 
  7.052575863E+007   7.455362392E-007   1.037049771E+001   6.409070906E-028   2.085658520E-020   1.385616992E-028   1.322170778E-029   7.411675182E-020   2.967188691E-157   7.411675182E-020   3.679129398E-022   9.450024730E-023   5.086920829E-125   4.624131871E-022   4.043430465E-029   2.845910487E-049   7.529952299E-026   6.585108382E-036   2.395500042E-027   0.000000000E+000   2.850173088E-035   2.577622867E-044 
  1.034504243E+008   1.094302820E-006   1.126129207E+001   9.505120469E-028   2.361158829E-020   3.771191109E-028   1.954856147E-029   8.974888107E-020   7.118472446E-147   8.974888107E-020   4.704600461E-022   1.344244702E-022   3.486550414E-117   6.048845162E-022   8.122135115E-029   6.674777224E-048   9.114635968E-026   1.538151175E-035   1.393734772E-026   0.000000000E+000   4.730364973E-035   1.768756652E-042 
  1.288672075E+008   1.364010007E-006   1.264798979E+001   1.202507766E-027   2.793850356E-020   1.367100512E-027   3.252237872E-029   1.175152382E-019   1.337216492E-133   1.175152382E-019   6.635162764E-022   2.188440709E-022   3.653810754E-107   8.823603474E-022   1.976428463E-028   3.741350930E-046   1.173620656E-025   4.538769872E-035   1.321436123E-025   0.000000000E+000   8.984575084E-035   3.901874005E-040 
  1.690909593E+008   1.791936695E-006   1.683822270E+001   1.641939088E-027   4.131960227E-020   1.942727172E-026   9.576544480E-029   2.272852988E-019   1.176591037E-106   2.272852988E-019   1.511924519E-021   6.666941597E-022   7.997398013E-087   2.178618679E-021   1.185572520E-027   1.278563016E-042   2.027079589E-025   4.032248613E-034   1.259683688E-023   0.000000000E+000   3.224259596E-034   2.125321515E-035 
  1.986793649E+008   2.107729619E-006   2.217356512E+001   2.011869993E-027   5.879607454E-020   1.429878209E-025   2.247062823E-028   4.210969390E-019   6.266400580E-087   4.210969390E-019   3.143189458E-021   1.594513901E-021   6.228671618E-072   4.737703359E-021   4.280846247E-027   4.715868277E-040   3.076453037E-025   1.951958306E-033   3.507209097E-022   0.000000000E+000   8.002781371E-034   5.857113018E-032 
  2.131310103E+008   2.262329224E-006   2.569022248E+001   2.210791418E-027   7.048647674E-020   3.486434995E-025   3.343582506E-028   5.804223858E-019   2.427133347E-078   5.804223858E-019   4.511833708E-021   2.341651908E-021   1.894926225E-065   6.853485617E-021   7.357424388E-027   6.062894069E-039   3.680425168E-025   3.828595841E-033   1.486871542E-021   0.000000000E+000   1.180137910E-033   1.795484995E-030 
