     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  1.000000000E+005   1.056293554E-009   1.000002392E+001   1.159100611E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.579418178E-046   2.307809561E-022   4.340600698E-023   0.000000000E+000   0.000000000E+000   1.758688399E-032   1.615289329E-040   4.172092302E-024   1.680209889E-029   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   8.917467504E-032   6.903644766E-037   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.435221332E-038 
  1.800422741E+005   1.901775700E-009   1.000004328E+001   3.014658724E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   6.708835753E-046   6.002263986E-022   1.128927273E-022   0.000000000E+000   0.000000000E+000   4.574108340E-032   4.201199878E-040   1.085112090E-023   4.370052804E-029   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.319305812E-031   1.795551955E-036   5.357834661E-049   1.008262985E-045   2.968806641E-045   0.000000000E+000   0.000000000E+000   3.732918242E-038 
  2.600845482E+005   2.747258528E-009   1.000006282E+001   4.870251278E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.083859024E-045   9.696734313E-022   1.823802720E-022   0.000000000E+000   0.000000000E+000   7.389591709E-032   6.787275022E-040   1.753045794E-023   7.060069574E-029   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   3.746885577E-031   2.900780879E-036   1.071566932E-048   2.016525970E-045   5.937613282E-045   0.000000000E+000   0.000000000E+000   6.030875070E-038 
  3.807925460E+005   4.022292808E-009   1.000009265E+001   7.668649246E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.706712414E-045   1.526822206E-021   2.871727546E-022   0.000000000E+000   0.000000000E+000   1.163561145E-031   1.068752844E-039   2.760384306E-023   1.111709043E-028   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   5.899791239E-031   4.567604079E-036   1.779438686E-048   3.348632936E-045   9.859970907E-045   0.000000000E+000   0.000000000E+000   9.496813505E-038 
  5.015005438E+005   5.297328656E-009   1.000012293E+001   1.046712741E-024   8.082253815E-063   4.346179774E-063   9.558895247E-063   1.329848720E-062   1.270826687E-036   2.329644307E-045   2.083974675E-021   3.919671559E-022   2.270282719E-032   7.659264950E-033   1.588177891E-031   1.458816532E-039   3.767794666E-023   1.517451637E-028   9.466924392E-038   3.031047582E-038   0.000000000E+000   0.000000000E+000   8.052745069E-031   6.234523801E-036   2.487310440E-048   4.680739902E-045   1.378232853E-044   0.000000000E+000   0.000000000E+000   1.296335762E-037 
  6.900017009E+005   7.288465272E-009   1.000017108E+001   1.483747652E-024   2.070373892E-062   1.113330185E-062   2.448634701E-062   3.406579567E-062   3.255386991E-036   3.302593021E-045   2.954047861E-021   5.556210800E-022   8.138436557E-032   2.745668694E-032   2.251301968E-031   2.068029602E-039   5.341142658E-023   2.151153732E-028   2.702621222E-037   8.653046313E-038   0.000000000E+000   0.000000000E+000   1.141495908E-030   8.837831236E-036   2.487310440E-048   4.680739902E-045   1.378232853E-044   0.000000000E+000   0.000000000E+000   1.837804904E-037 
  9.964050392E+005   1.052501025E-008   1.000025170E+001   2.194179200E-024   2.070373892E-062   1.113330185E-062   2.448634701E-062   3.406579567E-062   3.255386991E-036   4.884520779E-045   4.368347396E-021   8.216463560E-022   1.191410488E-031   4.019467934E-032   3.329271790E-031   3.058496858E-039   7.898966167E-023   3.181438973E-028   5.551074669E-037   1.777300711E-037   0.000000000E+000   0.000000000E+000   1.688040478E-030   1.306995883E-035   2.487310440E-048   4.680739902E-045   1.378232853E-044   0.000000000E+000   0.000000000E+000   2.718277246E-037 
  1.485958769E+006   1.569619840E-008   1.000038670E+001   3.329382549E-024   2.070373892E-062   1.113330185E-062   2.448634701E-062   3.406579567E-062   3.255386991E-036   7.413176669E-045   6.628087576E-021   1.246714154E-021   1.445414594E-031   4.876402946E-032   5.051804832E-031   4.641566605E-039   1.198675451E-022   4.828159065E-028   9.381359709E-037   3.003652135E-037   0.000000000E+000   0.000000000E+000   2.561347843E-030   1.983321211E-035   5.664164541E-048   1.065909609E-044   3.138545769E-044   0.000000000E+000   0.000000000E+000   4.125927131E-037 
  2.232727961E+006   2.358442303E-008   1.000060795E+001   5.061323945E-024   2.070373892E-062   1.113330185E-062   2.448634701E-062   3.406579567E-062   3.255386991E-036   1.127328762E-044   1.007524679E-020   1.895185956E-021   2.171904681E-031   7.327366439E-032   7.679910500E-031   7.057799375E-039   1.822492958E-022   7.341564148E-028   9.381359709E-037   3.003652135E-037   0.000000000E+000   0.000000000E+000   3.893672943E-030   3.015346179E-035   1.051016330E-047   1.977852863E-044   5.823741228E-044   0.000000000E+000   0.000000000E+000   6.275390107E-037 
  2.979497152E+006   3.147271315E-008   1.000084875E+001   6.793644883E-024   2.070373892E-062   1.113330185E-062   2.448634701E-062   3.406579567E-062   3.255386991E-036   1.513713317E-044   1.352257774E-020   2.543748276E-021   2.510934864E-031   8.471154381E-032   1.030871544E-030   9.475854800E-039   2.446651303E-022   9.856895269E-028   9.381359709E-037   3.003652135E-037   0.000000000E+000   0.000000000E+000   5.226224104E-030   4.047828217E-035   1.051016330E-047   1.977852863E-044   5.823741228E-044   0.000000000E+000   0.000000000E+000   8.427737106E-037 
