    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   6.966592E+001 
    0     1   1.705020E+002   6.221398E+001 
    0     2   5.098500E+002   4.357295E+001 
    0     3   1.015153E+003   4.349048E+001 
    0     4   1.681678E+003   4.456534E+001 
    0     5   2.503870E+003   4.527854E+001 
    0     6   3.474434E+003   4.450210E+001 
    0     7   4.586377E+003   4.353498E+001 
    0     8   5.829758E+003   4.258600E+001 
    1     0   5.987124E+003   4.009490E+001 
    1     1   6.149208E+003   3.975830E+001 
    1     2   6.471607E+003   3.924938E+001 
    1     3   6.951587E+003   3.909964E+001 
    0     9   7.196995E+003   4.179335E+001 
    1     4   7.584601E+003   3.904712E+001 
    1     5   8.365297E+003   3.910841E+001 
    0    10   8.677322E+003   4.098749E+001 
    1     6   9.286624E+003   3.914067E+001 
    0    11   1.026179E+004   4.034463E+001 
    1     7   1.034152E+004   3.926909E+001 
    1     8   1.152183E+004   3.936857E+001 
    2     0   1.163573E+004   3.820261E+001 
    2     1   1.178951E+004   3.845413E+001 
    0    12   1.194031E+004   3.963854E+001 
    2     2   1.209524E+004   3.807254E+001 
    2     3   1.255050E+004   3.802604E+001 
    1     9   1.281752E+004   3.940685E+001 
    2     4   1.315072E+004   3.785002E+001 
    0    13   1.370318E+004   3.913957E+001 
    2     5   1.389070E+004   3.781043E+001 
    1    10   1.422111E+004   3.932774E+001 
    2     6   1.476414E+004   3.770324E+001 
    0    14   1.554025E+004   3.851354E+001 
    1    11   1.572229E+004   3.913821E+001 
    2     7   1.576338E+004   3.772865E+001 
    2     8   1.688055E+004   3.774580E+001 
    3     0   1.695284E+004   3.749579E+001 
    3     1   1.709837E+004   3.767732E+001 
    1    12   1.731122E+004   3.883825E+001 
    3     2   1.738779E+004   3.714927E+001 
    0    15   1.744391E+004   3.815241E+001 
    3     3   1.781869E+004   3.702379E+001 
    2     9   1.810741E+004   3.780613E+001 
    3     4   1.838652E+004   3.693469E+001 
    1    13   1.897972E+004   3.848389E+001 
    3     5   1.908649E+004   3.695190E+001 
    0    16   1.940345E+004   3.756850E+001 
    2    10   1.943491E+004   3.784011E+001 
    3     6   1.991225E+004   3.674533E+001 
    1    14   2.071785E+004   3.805600E+001 
    2    11   2.085383E+004   3.778592E+001 
    3     7   2.085653E+004   3.673482E+001 
    0    17   2.141168E+004   3.732058E+001 
    3     8   2.191171E+004   3.669136E+001 
    4     0   2.194278E+004   3.652454E+001 
    4     1   2.208004E+004   3.646562E+001 
    4     2   2.235326E+004   3.641632E+001 
    2    12   2.235535E+004   3.769477E+001 
    1    15   2.251712E+004   3.765355E+001 
    4     3   2.275983E+004   3.665333E+001 
    3     9   2.306999E+004   3.670477E+001 
    4     4   2.329564E+004   3.617791E+001 
    0    18   2.345990E+004   3.672488E+001 
    2    13   2.393080E+004   3.742566E+001 
    4     5   2.395581E+004   3.629628E+001 
    3    10   2.432262E+004   3.668998E+001 
    1    16   2.436840E+004   3.718105E+001 
    4     6   2.473404E+004   3.595575E+001 
    0    19   2.553963E+004   3.657443E+001 
    2    14   2.557053E+004   3.716727E+001 
    4     7   2.562381E+004   3.599197E+001 
    3    11   2.565988E+004   3.669418E+001 
    1    17   2.626369E+004   3.680701E+001 
    5     0   2.660677E+004   3.582054E+001 
    4     8   2.661704E+004   3.583961E+001 
    5     1   2.673596E+004   3.576114E+001 
    5     2   2.699289E+004   3.583968E+001 
    3    12   2.707418E+004   3.667317E+001 
    2    15   2.726625E+004   3.669826E+001 
    5     3   2.737523E+004   3.566488E+001 
    0    20   2.764451E+004   3.589548E+001 
    4     9   2.770677E+004   3.583900E+001 
    5     4   2.787879E+004   3.546693E+001 
    1    18   2.819486E+004   3.632517E+001 
    5     5   2.849899E+004   3.547805E+001 
    3    13   2.855661E+004   3.654965E+001 
    4    10   2.888376E+004   3.576451E+001 
    2    16   2.900940E+004   3.632065E+001 
    5     6   2.922954E+004   3.520703E+001 
    0    21   2.976661E+004   3.585217E+001 
    5     7   3.006431E+004   3.520114E+001 
    3    14   3.009785E+004   3.637899E+001 
    4    11   3.013990E+004   3.579636E+001 
    1    19   3.015462E+004   3.604945E+001 
    2    17   3.079235E+004   3.554873E+001 
    6     0   3.094320E+004   3.517141E+001 
    5     8   3.099552E+004   3.507521E+001 
    6     1   3.106412E+004   3.507802E+001 
    6     2   3.130464E+004   3.498861E+001 
    4    12   3.146651E+004   3.573043E+001 
    6     3   3.166233E+004   3.492451E+001 
    3    15   3.169026E+004   3.607881E+001 
    0    22   3.190031E+004   3.481713E+001 
    5     9   3.201575E+004   3.506857E+001 
    6     4   3.213322E+004   3.474631E+001 
    1    20   3.213454E+004   3.540480E+001 
    2    18   3.260639E+004   3.499877E+001 
    6     5   3.271272E+004   3.605178E+001 
    4    13   3.285516E+004   3.564110E+001 
    5    10   3.311646E+004   3.505557E+001 
    3    16   3.332489E+004   3.571001E+001 
    6     6   3.339496E+004   3.457602E+001 
    0    23   3.403759E+004   3.507308E+001 
    1    21   3.412953E+004   3.520582E+001 
    6     7   3.417363E+004   3.458658E+001 
    5    11   3.428978E+004   3.491331E+001 
    4    14   3.429681E+004   3.544352E+001 
    2    19   3.444505E+004   3.060362E+001 
    7     0   3.494622E+004   3.604529E+001 
    3    17   3.499413E+004   3.514571E+001 
    6     8   3.504117E+004   3.456902E+001 
    7     1   3.505878E+004   3.439151E+001 
    7     2   3.528236E+004   3.437196E+001 
    5    12   3.552731E+004   3.502402E+001 
    7     3   3.561473E+004   3.431684E+001 
    4    15   3.578419E+004   3.534522E+001 
    6     9   3.599047E+004   3.457779E+001 
    7     4   3.605189E+004   3.432386E+001 
    1    22   3.613139E+004   3.444880E+001 
    0    24   3.617459E+004   3.279443E+001 
    2    20   3.629979E+004   3.465392E+001 
    7     5   3.658964E+004   3.426271E+001 
    3    18   3.668984E+004   3.486472E+001 
    5    13   3.682003E+004   3.481140E+001 
    6    10   3.701302E+004   3.452547E+001 
    7     6   3.722192E+004   3.412887E+001 
    4    16   3.730808E+004   3.491317E+001 
    7     7   3.794263E+004   3.420800E+001 
    6    11   3.810113E+004   3.452588E+001 
    1    23   3.813447E+004   3.425050E+001 
    5    14   3.815979E+004   3.480287E+001 
    2    21   3.816475E+004   3.446911E+001 
    0    25   3.830484E+004   3.401516E+001 
    3    19   3.840503E+004   3.121798E+001 
    8     0   3.860553E+004   3.409375E+001 
    8     1   3.870915E+004   3.408305E+001 
    7     8   3.874438E+004   3.242326E+001 
    4    17   3.886111E+004   3.477141E+001 
    8     2   3.891514E+004   3.406302E+001 
    8     3   3.922109E+004   3.360701E+001 
