     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  1.000000000E+005   1.584440330E-009   1.000001434E+001   6.677372180E-026   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.081296293E-048   4.182545562E-022   6.693992103E-023   0.000000000E+000   0.000000000E+000   9.013496582E-035   2.258540207E-043   6.914615155E-028   9.002134357E-033   7.260127169E-043   2.324492094E-043   0.000000000E+000   0.000000000E+000   1.186483907E-031   9.185059988E-037   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.602746522E-042 
  1.666066443E+005   2.639783749E-009   1.000002398E+001   1.557256282E-025   7.869095194E-067   4.231555103E-067   9.306792185E-067   1.294775741E-066   1.237269429E-038   9.518237192E-048   9.754259271E-022   1.561130782E-022   2.799859634E-035   9.445901421E-036   2.102074388E-034   5.267264827E-043   1.612591021E-027   2.099437191E-032   2.257167400E-042   7.226826272E-043   0.000000000E+000   0.000000000E+000   2.767044245E-031   2.142089743E-036   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   3.737878294E-042 
  2.332132886E+005   3.695127876E-009   1.000003368E+001   2.446784086E-025   1.573819039E-066   8.463110206E-067   1.861358437E-066   2.589551482E-066   2.474538857E-038   1.495540263E-047   1.532598746E-021   2.452868112E-022   5.599719268E-035   1.889180284E-035   3.302813581E-034   8.276087111E-043   2.533742360E-027   3.298700746E-032   3.304749375E-042   1.058089427E-042   0.000000000E+000   0.000000000E+000   4.347616831E-031   3.365696960E-036   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   5.873131321E-042 
  3.127703912E+005   4.955665527E-009   1.000004536E+001   3.509276032E-025   1.573819039E-066   8.463110206E-067   1.861358437E-066   2.589551482E-066   2.474538857E-038   2.145002308E-047   2.198105659E-021   3.517995249E-022   5.599719268E-035   1.889180284E-035   4.737033899E-034   1.187004944E-042   3.634023753E-027   4.731191971E-032   4.740446964E-042   1.517760121E-042   0.000000000E+000   0.000000000E+000   6.235519356E-031   4.827243471E-036   1.058419253E-049   1.991784038E-046   5.864761245E-046   0.000000000E+000   0.000000000E+000   8.423705813E-042 
  4.044999657E+005   6.409070432E-009   1.000005894E+001   4.734348096E-025   1.573819039E-066   8.463110206E-067   1.861358437E-066   2.589551482E-066   2.474538857E-038   2.893874347E-047   2.965439696E-021   4.746100334E-022   1.138361415E-034   3.840495993E-035   6.390720159E-034   1.601407477E-042   4.902690711E-027   6.382930160E-032   1.327113100E-041   4.249049413E-042   0.000000000E+000   0.000000000E+000   8.412298553E-031   6.512453117E-036   7.481217230E-049   1.407851286E-045   4.145384992E-045   0.000000000E+000   0.000000000E+000   1.136474383E-041 
  5.530236570E+005   8.762349923E-009   1.000008120E+001   6.717956273E-025   1.573819039E-066   8.463110206E-067   1.861358437E-066   2.589551482E-066   2.474538857E-038   4.106501245E-047   4.207872474E-021   6.734607098E-022   2.074859182E-034   6.999963519E-035   9.068341458E-034   2.272426591E-042   6.956939541E-027   9.057501975E-032   2.967257312E-041   9.500337943E-042   0.000000000E+000   0.000000000E+000   1.193687518E-030   9.241152653E-036   2.048514805E-048   3.854993264E-045   1.135093698E-044   0.000000000E+000   0.000000000E+000   1.612721862E-041 
  7.847725992E+005   1.243429677E-008   1.000011661E+001   9.813169794E-025   4.311800495E-066   2.318642860E-066   5.099573732E-066   7.094608139E-066   6.779480187E-038   5.998856521E-047   6.146517389E-021   9.837433208E-022   2.074859182E-034   6.999963519E-035   1.324651758E-033   3.319552665E-042   1.016251302E-026   1.323118283E-031   5.224730666E-041   1.672814380E-041   0.000000000E+000   0.000000000E+000   1.743657495E-030   1.349912220E-035   2.763220387E-048   5.199960455E-045   1.531116123E-044   0.000000000E+000   0.000000000E+000   2.355960423E-041 
  1.165022979E+006   1.845919434E-008   1.000017655E+001   1.489199740E-024   8.804241658E-066   4.734424073E-066   1.041279149E-065   1.448644124E-065   1.384296690E-037   9.104437792E-047   9.327458805E-021   1.492866762E-021   2.074859182E-034   6.999963519E-035   2.010241529E-033   5.037937185E-042   1.542278603E-026   2.008041827E-031   9.452276871E-041   3.026357851E-041   0.000000000E+000   0.000000000E+000   2.646074702E-030   2.048619740E-035   7.025061840E-048   1.322009780E-044   3.892626698E-044   0.000000000E+000   0.000000000E+000   3.575796937E-041 
  1.738621944E+006   2.754766005E-008   1.000027138E+001   2.255389122E-024   8.804241658E-066   4.734424073E-066   1.041279149E-065   1.448644124E-065   1.384296690E-037   1.379068161E-046   1.412593401E-020   2.260907172E-021   2.074859182E-034   6.999963519E-035   3.044537037E-033   7.630753973E-042   2.335928765E-026   3.041507103E-031   1.250242658E-040   4.002931500E-041   0.000000000E+000   0.000000000E+000   4.007433941E-030   3.102765170E-035   1.367614313E-047   2.573642109E-044   7.578028648E-044   0.000000000E+000   0.000000000E+000   5.416727709E-041 
  2.312220909E+006   3.663618242E-008   1.000037175E+001   3.021653874E-024   1.558120904E-065   8.378694499E-066   1.842792226E-065   2.563721874E-065   2.449824975E-037   1.847887417E-046   1.892453212E-020   3.028997110E-021   2.074859182E-034   6.999963519E-035   4.078957199E-033   1.022441919E-041   3.129767966E-026   4.075317519E-031   1.272786475E-040   4.075110572E-041   0.000000000E+000   0.000000000E+000   5.368898194E-030   4.157113576E-035   1.679546038E-047   3.160650167E-044   9.306460064E-044   0.000000000E+000   0.000000000E+000   7.258712002E-041 
  3.308045901E+006   5.241490282E-008   1.000055983E+001   4.352158509E-024   2.734670008E-065   1.470551130E-065   3.234298840E-065   4.499608022E-065   4.299688311E-037   2.662303990E-046   2.725568860E-020   4.362604252E-021   2.074859182E-034   6.999963519E-035   5.875132248E-033   1.472945425E-041   4.508436046E-026   5.870999964E-031   1.272786475E-040   4.075110572E-041   0.000000000E+000   0.000000000E+000   7.732803524E-030   5.988086997E-035   2.182515981E-047   4.107163093E-044   1.209344511E-043   0.000000000E+000   0.000000000E+000   1.045928283E-040 
