     distance         timeN            Tn            nH          n(H)         n(H2)         n(He)          n(C)         n(CH)        n(CH2)        n(CH3)        n(CH4)          n(O)         n(O2)         n(OH)        n(H2O)         n(CO)        n(CO2)         n(C2)        n(C2H)       n(C2H2)         n(C3)        n(C3H)       n(C3H2)      n(CH3OH)       n(H2CO)      n(HCO2H)          n(N)         n(NH)        n(NH2)        n(NH3)         n(CN)        n(HCN)        n(HNC)         n(N2)         n(NO)          n(S)         n(SH)        n(H2S)         n(CS)         n(SO)        n(SO2)        n(OCS)         n(Si)        n(SiH)       n(SiH2)       n(SiH3)       n(SiH4)        n(SiO)       n(SiO2)         n(Mg)         n(Fe)     n(C54H18)          n(G)       n(H2O*)        n(O2*)        n(CO*)       n(CO2*)       n(CH4*)       n(NH3*)        n(N2*)     n(CH3OH*)      n(H2CO*)     n(HCO2H*)       n(OCS*)       n(H2S*)        n(Fe*)      n(SiH4*)       n(SiO*)      n(SiO2*)        n(O**)       n(Si**)       n(Mg**)       n(Fe**)        n(C**)         n(H+)        n(H2+)        n(H3+)        n(He+)         n(C+)        n(CH+)       n(CH2+)       n(CH3+)       n(CH4+)       n(CH5+)         n(O+)        n(O2+)        n(OH+)       n(H2O+)       n(H3O+)        n(CO+)       n(HCO+)      n(HCO2+)        n(C2+)       n(C2H+)      n(C2H2+)      n(C2H3+)        n(C3+)       n(C3H+)      n(C3H2+)      n(C3H3+)         n(N+)        n(NH+)       n(NH2+)       n(NH3+)       n(NH4+)        n(CN+)       n(C2N+)       n(HCN+)      n(H2CN+)      n(H2NC+)        n(N2+)       n(N2H+)        n(NO+)       n(HNO+)         n(S+)        n(SH+)       n(H2S+)       n(H3S+)        n(CS+)       n(HCS+)        n(SO+)       n(HSO+)      n(HSO2+)      n(HOCS+)        n(Si+)       n(SiH+)      n(SiH2+)      n(SiH3+)      n(SiH4+)      n(SiH5+)       n(SiO+)      n(SiOH+)        n(Fe+)    n(C54H18+)         n(G+)    n(C54H18-)         n(G-) 
  1.000000000E+005   1.584440330E-009   1.000001434E+001   1.000023134E+004   2.213002219E-001   5.000005013E+003   9.998010023E+002   2.128002133E-003   3.566003575E-006   1.879001884E-005   7.424007443E-007   1.376001379E-004   2.172002177E-001   9.797009821E-002   2.446002452E-004   4.051004061E-003   8.217008238E-001   1.376001379E-004   4.438004449E-006   2.743002750E-006   2.939002946E-007   6.680006697E-012   1.680001684E-010   3.980003990E-009   9.998016277E-013   9.998030865E-013   9.998034362E-013   5.935005950E-001   4.787004799E-007   5.157005170E-007   1.770001774E-007   5.481005495E-004   7.069007087E-004   7.742007761E-004   2.159002164E-002   1.689001693E-004   1.449001453E-001   7.073007091E-004   4.620004632E-004   5.294005307E-004   1.134001137E-005   1.442001446E-005   9.999010024E-009   8.645008667E-014   2.200002206E-017   3.873003883E-018   1.000001003E-020   2.563002569E-020   1.438001442E-011   5.157005170E-013   9.998010023E-013   1.460001464E-004   1.074001077E-003   3.527003536E-007   1.030001033E+000   1.000305620E-012   8.268008289E-002   1.340001343E-001   1.550001554E-002   1.550001554E-001   9.999198542E-013   1.860001865E-002   6.199006214E-002   7.239007257E-002   2.070002075E-003   3.719003728E-002   9.998015715E-013   9.998010023E-013   9.998010023E-013   9.998010023E-013   1.400001404E+000   3.369003377E-001   3.699003708E-001   3.229003237E-001   1.630001634E+000   1.353001356E-005   4.569004581E-009   2.227002233E-005   1.841001846E-006   5.287005300E-006   4.726004738E-011   8.506008527E-011   4.913004925E-007   1.431001435E-011   1.976001981E-008   7.563007582E-011   3.942003952E-006   8.657008680E-010   1.165001168E-009   6.628006645E-006   3.153003161E-011   8.005008025E-005   2.033002038E-008   3.605003614E-014   4.330004341E-014   2.544002550E-009   3.744003753E-009   9.674009698E-015   4.182004192E-013   6.719006736E-013   9.208009231E-011   5.442005456E-008   5.091004471E-015   7.274007292E-014   2.129002134E-011   3.071003079E-010   8.223008243E-013   1.330001333E-007   2.879002886E-011   4.171004181E-006   3.086003094E-012   3.628003646E-012   4.252004263E-007   1.157001160E-006   9.129009152E-009   2.838002845E-004   2.829002836E-005   2.816002823E-007   8.086008106E-007   4.143004153E-011   4.045004055E-007   2.062002067E-005   8.591008612E-009   3.089003097E-009   2.441002447E-011   3.454003463E-015   2.641002648E-017   4.540004551E-018   2.849002856E-019   1.000000752E-020   1.000001252E-020   4.160004171E-019   1.199001202E-014   3.939003949E-006   3.002003009E-007   3.245003253E-009   3.521003530E-004   1.072001075E-007 
  1.666066443E+005   2.639783749E-009   1.000002398E+001   1.000023804E+004   2.213003702E-001   5.000008365E+003   9.998016727E+002   2.128003560E-003   3.566005966E-006   1.879003144E-005   7.424012420E-007   1.376002302E-004   2.172003634E-001   9.797016390E-002   2.446004092E-004   4.051006777E-003   8.217013747E-001   1.376002302E-004   4.438007425E-006   2.743004589E-006   2.939004917E-007   6.680011176E-012   1.680002811E-010   3.980006659E-009   9.998027146E-013   9.998051451E-013   9.998057277E-013   5.935009929E-001   4.787008009E-007   5.157008628E-007   1.770002961E-007   5.481009170E-004   7.069011826E-004   7.742012952E-004   2.159003612E-002   1.689002826E-004   1.449002424E-001   7.073011833E-004   4.620007729E-004   5.294008857E-004   1.134001897E-005   1.442002412E-005   9.999016729E-009   8.645014463E-014   2.200003681E-017   3.873006480E-018   1.000001673E-020   2.563004288E-020   1.438002406E-011   5.157008628E-013   9.998016727E-013   1.460002443E-004   1.074001797E-003   3.527005901E-007   1.030001723E+000   1.000642401E-012   8.268013832E-002   1.340002242E-001   1.550002593E-002   1.550002593E-001   9.999996882E-013   1.860003112E-002   6.199010371E-002   7.239012111E-002   2.070003463E-003   3.719006222E-002   9.998026211E-013   9.998016727E-013   9.998016727E-013   9.998016727E-013   1.400002342E+000   3.369005636E-001   3.699006188E-001   3.229005402E-001   1.630002727E+000   1.353002264E-005   4.569007645E-009   2.227003726E-005   1.841003080E-006   5.287008845E-006   4.726007907E-011   8.506014230E-011   4.913008219E-007   1.431002394E-011   1.976003306E-008   7.563012653E-011   3.942006595E-006   8.657014485E-010   1.165001949E-009   6.628011089E-006   3.153005275E-011   8.005013392E-005   2.033003401E-008   3.605006032E-014   4.330007244E-014   2.544004256E-009   3.744006264E-009   9.674016185E-015   4.182006996E-013   6.719011241E-013   9.208015405E-011   5.442009104E-008   5.091007464E-015   7.274012170E-014   2.129003562E-011   3.071005138E-010   8.223013757E-013   1.330002225E-007   2.879004817E-011   4.171006978E-006   3.086005163E-012   3.628006085E-012   4.252007114E-007   1.157001936E-006   9.129015273E-009   2.838004748E-004   2.829004733E-005   2.816004711E-007   8.086013528E-007   4.143006931E-011   4.045006767E-007   2.062003450E-005   8.591014373E-009   3.089005168E-009   2.441004084E-011   3.454005779E-015   2.641004418E-017   4.540007595E-018   2.849004766E-019   1.000001256E-020   1.000002090E-020   4.160006960E-019   1.199002006E-014   3.939006590E-006   3.002005022E-007   3.245005428E-009   3.521005891E-004   1.072001793E-007 
  2.332132886E+005   3.695127876E-009   1.000003368E+001   1.000024477E+004   2.213005191E-001   5.000011729E+003   9.998023453E+002   2.128004992E-003   3.566008365E-006   1.879004408E-005   7.424017415E-007   1.376003228E-004   2.172005095E-001   9.797022981E-002   2.446005738E-004   4.051009503E-003   8.217019275E-001   1.376003228E-004   4.438010410E-006   2.743006434E-006   2.939006894E-007   6.680015669E-012   1.680003941E-010   3.980009336E-009   9.998038037E-013   9.998072059E-013   9.998080214E-013   5.935013922E-001   4.787011229E-007   5.157012097E-007   1.770004152E-007   5.481012857E-004   7.069016582E-004   7.742018161E-004   2.159005064E-002   1.689003962E-004   1.449003399E-001   7.073016591E-004   4.620010837E-004   5.294012418E-004   1.134002660E-005   1.442003383E-005   9.999023455E-009   8.645020279E-014   2.200005161E-017   3.873009085E-018   1.000002346E-020   2.563006012E-020   1.438003373E-011   5.157012097E-013   9.998023453E-013   1.460003425E-004   1.074002519E-003   3.527008273E-007   1.030002416E+000   1.000979185E-012   8.268019394E-002   1.340003143E-001   1.550003636E-002   1.550003636E-001   1.000079525E-012   1.860004363E-002   6.199014541E-002   7.239016981E-002   2.070004856E-003   3.719008724E-002   9.998036728E-013   9.998023453E-013   9.998023453E-013   9.998023453E-013   1.400003284E+000   3.369007903E-001   3.699008677E-001   3.229007574E-001   1.630003824E+000   1.353003174E-005   4.569010719E-009   2.227005224E-005   1.841004318E-006   5.287012402E-006   4.726011086E-011   8.506019953E-011   4.913011525E-007   1.431003357E-011   1.976004635E-008   7.563017740E-011   3.942009247E-006   8.657020310E-010   1.165002733E-009   6.628015547E-006   3.153007396E-011   8.005018778E-005   2.033004769E-008   3.605008457E-014   4.330010157E-014   2.544005968E-009   3.744008782E-009   9.674022693E-015   4.182009809E-013   6.719015761E-013   9.208021599E-011   5.442012765E-008   5.091010468E-015   7.274017063E-014   2.129004994E-011   3.071007204E-010   8.223019289E-013   1.330003120E-007   2.879006754E-011   4.171009784E-006   3.086007239E-012   3.628008531E-012   4.252009974E-007   1.157002714E-006   9.129021414E-009   2.838006657E-004   2.829006636E-005   2.816006606E-007   8.086018968E-007   4.143009719E-011   4.045009488E-007   2.062004837E-005   8.591020152E-009   3.089007246E-009   2.441005726E-011   3.454008102E-015   2.641006195E-017   4.540010650E-018   2.849006683E-019   1.000001763E-020   1.000002929E-020   4.160009759E-019   1.199002813E-014   3.939009240E-006   3.002007042E-007   3.245007611E-009   3.521008259E-004   1.072002515E-007 
  3.127703912E+005   4.955665527E-009   1.000004536E+001   1.000025284E+004   2.213006976E-001   5.000015761E+003   9.998031515E+002   2.128006708E-003   3.566011241E-006   1.879005923E-005   7.424023402E-007   1.376004337E-004   2.172006846E-001   9.797030882E-002   2.446007710E-004   4.051012769E-003   8.217025901E-001   1.376004337E-004   4.438013989E-006   2.743008646E-006   2.939009264E-007   6.680021056E-012   1.680005296E-010   3.980012546E-009   9.998051075E-013   9.998096704E-013   9.998107640E-013   5.935018708E-001   4.787015089E-007   5.157016256E-007   1.770005579E-007   5.481017277E-004   7.069022283E-004   7.742024404E-004   2.159006806E-002   1.689005324E-004   1.449004567E-001   7.073022295E-004   4.620014563E-004   5.294016688E-004   1.134003575E-005   1.442004545E-005   9.999031519E-009   8.645027250E-014   2.200006935E-017   3.873012208E-018   1.000003152E-020   2.563008079E-020   1.438004533E-011   5.157016256E-013   9.998031515E-013   1.460004602E-004   1.074003385E-003   3.527011118E-007   1.030003247E+000   1.001381455E-012   8.268026062E-002   1.340004224E-001   1.550004886E-002   1.550004886E-001   1.000174887E-012   1.860005863E-002   6.199019540E-002   7.239022818E-002   2.070006525E-003   3.719011723E-002   9.998049319E-013   9.998031515E-013   9.998031515E-013   9.998031515E-013   1.400004413E+000   3.369010620E-001   3.699011660E-001   3.229010178E-001   1.630005138E+000   1.353004265E-005   4.569014404E-009   2.227007020E-005   1.841005803E-006   5.287016665E-006   4.726014897E-011   8.506026812E-011   4.913015487E-007   1.431004511E-011   1.976006229E-008   7.563023839E-011   3.942012426E-006   8.657027292E-010   1.165003673E-009   6.628020892E-006   3.153009939E-011   8.005025233E-005   2.033006408E-008   3.605011365E-014   4.330013649E-014   2.544008019E-009   3.744011802E-009   9.674030494E-015   4.182013181E-013   6.719021179E-013   9.208029025E-011   5.442017154E-008   5.091014070E-015   7.274022929E-014   2.129006711E-011   3.071009680E-010   8.223025920E-013   1.330004192E-007   2.879009076E-011   4.171013148E-006   3.086009728E-012   3.628011464E-012   4.252013403E-007   1.157003647E-006   9.129028776E-009   2.838008946E-004   2.829008917E-005   2.816008876E-007   8.086025488E-007   4.143013060E-011   4.045012750E-007   2.062006500E-005   8.591027080E-009   3.089009737E-009   2.441007694E-011   3.454010888E-015   2.641008325E-017   4.540014311E-018   2.849008981E-019   1.000002370E-020   1.000003934E-020   4.160013114E-019   1.199003779E-014   3.939012416E-006   3.002009463E-007   3.245010228E-009   3.521011099E-004   1.072003379E-007 
  4.044999657E+005   6.409070432E-009   1.000005894E+001   1.000026217E+004   2.213009042E-001   5.000020430E+003   9.998040851E+002   2.128008695E-003   3.566014570E-006   1.879007677E-005   7.424030334E-007   1.376005622E-004   2.172008875E-001   9.797040030E-002   2.446009994E-004   4.051016552E-003   8.217033574E-001   1.376005622E-004   4.438018133E-006   2.743011208E-006   2.939012008E-007   6.680027294E-012   1.680006864E-010   3.980016262E-009   9.998066147E-013   9.998125158E-013   9.998139302E-013   5.935024250E-001   4.787019559E-007   5.157021071E-007   1.770007232E-007   5.481022395E-004   7.069028883E-004   7.742031633E-004   2.159008821E-002   1.689006901E-004   1.449005920E-001   7.073028900E-004   4.620018877E-004   5.294021631E-004   1.134004633E-005   1.442005892E-005   9.999040855E-009   8.645035323E-014   2.200008989E-017   3.873015825E-018   1.000004086E-020   2.563010472E-020   1.438005876E-011   5.157021071E-013   9.998040851E-013   1.460005965E-004   1.074004388E-003   3.527014411E-007   1.030004208E+000   1.001845280E-012   8.268033782E-002   1.340005475E-001   1.550006333E-002   1.550006333E-001   1.000284845E-012   1.860007600E-002   6.199025329E-002   7.239029578E-002   2.070008458E-003   3.719015195E-002   9.998063876E-013   9.998040851E-013   9.998040851E-013   9.998040851E-013   1.400005720E+000   3.369013765E-001   3.699015114E-001   3.229013193E-001   1.630006660E+000   1.353005528E-005   4.569018671E-009   2.227009099E-005   1.841007522E-006   5.287021602E-006   4.726019310E-011   8.506034754E-011   4.913020074E-007   1.431005847E-011   1.976008074E-008   7.563030901E-011   3.942016107E-006   8.657035376E-010   1.165004761E-009   6.628027081E-006   3.153012883E-011   8.005032708E-005   2.033008307E-008   3.605014731E-014   4.330017692E-014   2.544010395E-009   3.744015298E-009   9.674039527E-015   4.182017086E-013   6.719027453E-013   9.208037623E-011   5.442022235E-008   5.091018244E-015   7.274029721E-014   2.129008699E-011   3.071012548E-010   8.223033598E-013   1.330005434E-007   2.879011764E-011   4.171017042E-006   3.086012609E-012   3.628014860E-012   4.252017373E-007   1.157004727E-006   9.129037300E-009   2.838011596E-004   2.829011559E-005   2.816011506E-007   8.086033039E-007   4.143016928E-011   4.045016527E-007   2.062008425E-005   8.591035102E-009   3.089012621E-009   2.441009974E-011   3.454014113E-015   2.641010791E-017   4.540018550E-018   2.849011641E-019   1.000003074E-020   1.000005097E-020   4.160016999E-019   1.199004899E-014   3.939016094E-006   3.002012266E-007   3.245013258E-009   3.521014386E-004   1.072004380E-007 
  5.530236570E+005   8.762349923E-009   1.000008120E+001   1.000027738E+004   2.213012408E-001   5.000028033E+003   9.998056056E+002   2.128011931E-003   3.566019993E-006   1.879010535E-005   7.424041624E-007   1.376007715E-004   2.172012178E-001   9.797054929E-002   2.446013714E-004   4.051022713E-003   8.217046070E-001   1.376007715E-004   4.438024883E-006   2.743015379E-006   2.939016478E-007   6.680037453E-012   1.680009419E-010   3.980022315E-009   9.998090640E-013   9.998171319E-013   9.998190656E-013   5.935033276E-001   4.787026839E-007   5.157028914E-007   1.770009924E-007   5.481030730E-004   7.069039634E-004   7.742043407E-004   2.159012105E-002   1.689009470E-004   1.449008124E-001   7.073039656E-004   4.620025903E-004   5.294029682E-004   1.134006358E-005   1.442008085E-005   9.999056062E-009   8.645048470E-014   2.200012335E-017   3.873021715E-018   1.000005607E-020   2.563014370E-020   1.438008062E-011   5.157028914E-013   9.998056056E-013   1.460008186E-004   1.074006022E-003   3.527019775E-007   1.030005775E+000   1.002596293E-012   8.268046356E-002   1.340007513E-001   1.550008690E-002   1.550008690E-001   1.000462892E-012   1.860010428E-002   6.199034756E-002   7.239040587E-002   2.070011606E-003   3.719020851E-002   9.998087536E-013   9.998056056E-013   9.998056056E-013   9.998056056E-013   1.400007849E+000   3.369018889E-001   3.699020739E-001   3.229018104E-001   1.630009139E+000   1.353007586E-005   4.569025620E-009   2.227012486E-005   1.841010322E-006   5.287029643E-006   4.726026498E-011   8.506047690E-011   4.913027546E-007   1.431008023E-011   1.976011079E-008   7.563042402E-011   3.942022102E-006   8.657048543E-010   1.165006532E-009   6.628037161E-006   3.153017678E-011   8.005044882E-005   2.033011398E-008   3.605020214E-014   4.330024278E-014   2.544014263E-009   3.744020991E-009   9.674054240E-015   4.182023445E-013   6.719037671E-013   9.208051626E-011   5.442030512E-008   5.091025047E-015   7.274040783E-014   2.129011937E-011   3.071017218E-010   8.223046103E-013   1.330007457E-007   2.879016143E-011   4.171023386E-006   3.086017302E-012   3.628020391E-012   4.252023840E-007   1.157006487E-006   9.129051184E-009   2.838015912E-004   2.829015861E-005   2.816015788E-007   8.086045336E-007   4.143023229E-011   4.045022679E-007   2.062011561E-005   8.591048167E-009   3.089017319E-009   2.441013686E-011   3.454019366E-015   2.641014807E-017   4.540025454E-018   2.849015973E-019   1.000004224E-020   1.000006989E-020   4.160023326E-019   1.199006722E-014   3.939022085E-006   3.002016831E-007   3.245018192E-009   3.521019741E-004   1.072006010E-007 
  7.847725992E+005   1.243429677E-008   1.000011661E+001   1.000030133E+004   2.213017708E-001   5.000040008E+003   9.998080001E+002   2.128017028E-003   3.566028534E-006   1.879015035E-005   7.424059405E-007   1.376011010E-004   2.172017380E-001   9.797078393E-002   2.446019572E-004   4.051032415E-003   8.217065750E-001   1.376011010E-004   4.438035512E-006   2.743021949E-006   2.939023517E-007   6.680053451E-012   1.680013443E-010   3.980031847E-009   9.998129078E-013   9.998243566E-013   9.998271007E-013   5.935047490E-001   4.787038304E-007   5.157041265E-007   1.770014163E-007   5.481043857E-004   7.069056564E-004   7.742061949E-004   2.159017276E-002   1.689013515E-004   1.449011594E-001   7.073056596E-004   4.620036968E-004   5.294042361E-004   1.134009074E-005   1.442011538E-005   9.999080009E-009   8.645069175E-014   2.200017604E-017   3.873030991E-018   1.000008002E-020   2.563020508E-020   1.438011506E-011   5.157041265E-013   9.998080001E-013   1.460011682E-004   1.074008594E-003   3.527028222E-007   1.030008242E+000   1.003768169E-012   8.268066158E-002   1.340010722E-001   1.550012403E-002   1.550012403E-001   1.000740733E-012   1.860014883E-002   6.199049603E-002   7.239057924E-002   2.070016564E-003   3.719029758E-002   9.998124673E-013   9.998080001E-013   9.998080001E-013   9.998080001E-013   1.400011202E+000   3.369026958E-001   3.699029598E-001   3.229025837E-001   1.630013043E+000   1.353010826E-005   4.569036565E-009   2.227017820E-005   1.841014731E-006   5.287042305E-006   4.726037817E-011   8.506068062E-011   4.913039312E-007   1.431011450E-011   1.976015811E-008   7.563060515E-011   3.942031543E-006   8.657069280E-010   1.165009323E-009   6.628053035E-006   3.153025229E-011   8.005064054E-005   2.033016267E-008   3.605028849E-014   4.330034648E-014   2.544020356E-009   3.744029958E-009   9.674077409E-015   4.182033460E-013   6.719053763E-013   9.208073680E-011   5.442043545E-008   5.091035775E-015   7.274058205E-014   2.129017036E-011   3.071024573E-010   8.223065797E-013   1.330010642E-007   2.879023038E-011   4.171033375E-006   3.086024693E-012   3.628029100E-012   4.252034023E-007   1.157009258E-006   9.129073047E-009   2.838022709E-004   2.829022637E-005   2.816022533E-007   8.086064702E-007   4.143033152E-011   4.045032367E-007   2.062016499E-005   8.591068743E-009   3.089024717E-009   2.441019532E-011   3.454027638E-015   2.641021132E-017   4.540036328E-018   2.849022797E-019   1.000006039E-020   1.000009964E-020   4.160033290E-019   1.199009594E-014   3.939031519E-006   3.002024021E-007   3.245025963E-009   3.521028174E-004   1.072008578E-007 
  1.165022979E+006   1.845919434E-008   1.000017655E+001   1.000034121E+004   2.213026533E-001   5.000059948E+003   9.998119872E+002   2.128025514E-003   3.566042755E-006   1.879022528E-005   7.424089010E-007   1.376016498E-004   2.172026041E-001   9.797117462E-002   2.446029326E-004   4.051048570E-003   8.217098518E-001   1.376016498E-004   4.438053210E-006   2.743032887E-006   2.939035237E-007   6.680080090E-012   1.680020142E-010   3.980047718E-009   9.998192729E-013   9.998362691E-013   9.998403429E-013   5.935071158E-001   4.787057394E-007   5.157061830E-007   1.770021222E-007   5.481065715E-004   7.069084754E-004   7.742092823E-004   2.159025885E-002   1.689020250E-004   1.449017373E-001   7.073084802E-004   4.620055392E-004   5.294063473E-004   1.134013596E-005   1.442017289E-005   9.999119884E-009   8.645103650E-014   2.200026377E-017   3.873046436E-018   1.000011990E-020   2.563030729E-020   1.438017241E-011   5.157061830E-013   9.998119872E-013   1.460017505E-004   1.074012877E-003   3.527042287E-007   1.030012349E+000   1.005691053E-012   8.268099130E-002   1.340016066E-001   1.550018584E-002   1.550018584E-001   1.001196675E-012   1.860022301E-002   6.199074323E-002   7.239086792E-002   2.070024818E-003   3.719044589E-002   9.998186190E-013   9.998119872E-013   9.998119872E-013   9.998119872E-013   1.400016785E+000   3.369040393E-001   3.699044349E-001   3.229038714E-001   1.630019543E+000   1.353016222E-005   4.569054787E-009   2.227026701E-005   1.841022073E-006   5.287063389E-006   4.726056664E-011   8.506101982E-011   4.913058905E-007   1.431017157E-011   1.976023691E-008   7.563090675E-011   3.942047263E-006   8.657103807E-010   1.165013969E-009   6.628079467E-006   3.153037803E-011   8.005095976E-005   2.033024375E-008   3.605043226E-014   4.330051916E-014   2.544030501E-009   3.744044889E-009   9.674115988E-015   4.182050135E-013   6.719080558E-013   9.208110400E-011   5.442065247E-008   5.091053674E-015   7.274087213E-014   2.129025526E-011   3.071036820E-010   8.223098588E-013   1.330015946E-007   2.879034520E-011   4.171050008E-006   3.086037000E-012   3.628043602E-012   4.252050980E-007   1.157013872E-006   9.129109453E-009   2.838034026E-004   2.829033918E-005   2.816033763E-007   8.086096948E-007   4.143049674E-011   4.045048498E-007   2.062024722E-005   8.591103002E-009   3.089037036E-009   2.441029266E-011   3.454041412E-015   2.641031664E-017   4.540054433E-018   2.849034158E-019   1.000009076E-020   1.000014902E-020   4.160049881E-019   1.199014375E-014   3.939047227E-006   3.002035993E-007   3.245038903E-009   3.521042215E-004   1.072012853E-007 
  1.738621944E+006   2.754766005E-008   1.000027138E+001   1.000040274E+004   2.213040148E-001   5.000090710E+003   9.998181383E+002   2.128038606E-003   3.566064694E-006   1.879034089E-005   7.424134686E-007   1.376024963E-004   2.172039404E-001   9.797177737E-002   2.446044375E-004   4.051073493E-003   8.217149072E-001   1.376024963E-004   4.438080514E-006   2.743049763E-006   2.939053319E-007   6.680121188E-012   1.680030478E-010   3.980072205E-009   9.998290113E-013   9.998543759E-013   9.998604554E-013   5.935107672E-001   4.787086845E-007   5.157093558E-007   1.770032112E-007   5.481099436E-004   7.069128245E-004   7.742140455E-004   2.159039168E-002   1.689030642E-004   1.449026288E-001   7.073128318E-004   4.620083816E-004   5.294096043E-004   1.134020573E-005   1.442026161E-005   9.999181402E-009   8.645156837E-014   2.200039912E-017   3.873070264E-018   1.000018143E-020   2.563046498E-020   1.438026088E-011   5.157093558E-013   9.998181383E-013   1.460026487E-004   1.074019484E-003   3.527063987E-007   1.030018686E+000   1.008591886E-012   8.268149998E-002   1.340024310E-001   1.550028120E-002   1.550028120E-001   1.001884606E-012   1.860033744E-002   6.199112462E-002   7.239131329E-002   2.070037554E-003   3.719067470E-002   9.998280355E-013   9.998181383E-013   9.998181383E-013   9.998181383E-013   1.400025399E+000   3.369061120E-001   3.699067107E-001   3.229058580E-001   1.630029571E+000   1.353024546E-005   4.569082901E-009   2.227040402E-005   1.841033399E-006   5.287095916E-006   4.726085741E-011   8.506154313E-011   4.913089131E-007   1.431025961E-011   1.976035848E-008   7.563137204E-011   3.942071515E-006   8.657157074E-010   1.165021137E-009   6.628120245E-006   3.153057201E-011   8.005145226E-005   2.033036883E-008   3.605065407E-014   4.330078557E-014   2.544046153E-009   3.744067923E-009   9.674175507E-015   4.182075862E-013   6.719121896E-013   9.208167051E-011   5.442098728E-008   5.091081370E-015   7.274131965E-014   2.129038624E-011   3.071055714E-010   8.223149178E-013   1.330024129E-007   2.879052234E-011   4.171075670E-006   3.086055986E-012   3.628065975E-012   4.252077139E-007   1.157020990E-006   9.129165618E-009   2.838051487E-004   2.829051324E-005   2.816051088E-007   8.086146696E-007   4.143075164E-011   4.045073384E-007   2.062037409E-005   8.591155857E-009   3.089056040E-009   2.441044284E-011   3.454062662E-015   2.641047913E-017   4.540082364E-018   2.849051686E-019   1.000013794E-020   1.000022488E-020   4.160075477E-019   1.199021752E-014   3.939071461E-006   3.002054462E-007   3.245058866E-009   3.521063878E-004   1.072019448E-007 
  2.312220909E+006   3.663618242E-008   1.000037175E+001   1.000046591E+004   2.213054127E-001   5.000122294E+003   9.998244539E+002   2.128052048E-003   3.566087220E-006   1.879045958E-005   7.424181582E-007   1.376033655E-004   2.172053125E-001   9.797239623E-002   2.446059826E-004   4.051099083E-003   8.217200978E-001   1.376033655E-004   4.438108548E-006   2.743067091E-006   2.939071885E-007   6.680163385E-012   1.680041091E-010   3.980097346E-009   9.998389143E-013   9.998726473E-013   9.998807326E-013   5.935145163E-001   4.787117084E-007   5.157126134E-007   1.770043293E-007   5.481134059E-004   7.069172900E-004   7.742189360E-004   2.159052807E-002   1.689041311E-004   1.449035441E-001   7.073172997E-004   4.620113000E-004   5.294129485E-004   1.134027736E-005   1.442035270E-005   9.999244566E-009   8.645211447E-014   2.200053809E-017   3.873094729E-018   1.000024460E-020   2.563062688E-020   1.438035172E-011   5.157126134E-013   9.998244539E-013   1.460035710E-004   1.074026269E-003   3.527086267E-007   1.030025193E+000   1.011492970E-012   8.268202226E-002   1.340032775E-001   1.550037911E-002   1.550037911E-001   1.002572722E-012   1.860045493E-002   6.199151620E-002   7.239177058E-002   2.070050630E-003   3.719090962E-002   9.998376166E-013   9.998244539E-013   9.998244539E-013   9.998244539E-013   1.400034242E+000   3.369082402E-001   3.699090473E-001   3.229078978E-001   1.630039868E+000   1.353033093E-005   4.569111766E-009   2.227054470E-005   1.841045029E-006   5.287129314E-006   4.726115595E-011   8.506208044E-011   4.913120166E-007   1.431035001E-011   1.976048331E-008   7.563184978E-011   3.942096417E-006   8.657211766E-010   1.165028497E-009   6.628162113E-006   3.153077119E-011   8.005195793E-005   2.033049725E-008   3.605088182E-014   4.330105910E-014   2.544062223E-009   3.744091574E-009   9.674236617E-015   4.182102277E-013   6.719164339E-013   9.208225217E-011   5.442133105E-008   5.091109904E-015   7.274177915E-014   2.129052073E-011   3.071075113E-010   8.223201121E-013   1.330032530E-007   2.879070421E-011   4.171102018E-006   3.086075480E-012   3.628088944E-012   4.252103999E-007   1.157028299E-006   9.129223285E-009   2.838069414E-004   2.829069194E-005   2.816068876E-007   8.086197774E-007   4.143101335E-011   4.045098936E-007   2.062050434E-005   8.591210126E-009   3.089075553E-009   2.441059704E-011   3.454084481E-015   2.641064596E-017   4.540111043E-018   2.849069683E-019   1.000018677E-020   1.000030239E-020   4.160101757E-019   1.199029326E-014   3.939096343E-006   3.002073425E-007   3.245079363E-009   3.521086120E-004   1.072026220E-007 
