    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   6.537233E+001 
    0     1   1.705020E+002   5.824207E+001 
    0     2   5.098500E+002   4.395300E+001 
    0     3   1.015153E+003   4.365432E+001 
    0     4   1.681678E+003   4.302697E+001 
    0     5   2.503870E+003   4.164388E+001 
    0     6   3.474434E+003   4.038869E+001 
    0     7   4.586377E+003   3.935515E+001 
    0     8   5.829758E+003   3.841010E+001 
    1     0   5.987124E+003   3.538960E+001 
    1     1   6.149208E+003   3.524426E+001 
    1     2   6.471607E+003   3.506442E+001 
    1     3   6.951587E+003   3.505908E+001 
    0     9   7.196995E+003   3.759931E+001 
    1     4   7.584601E+003   3.491139E+001 
    1     5   8.365297E+003   3.492939E+001 
    0    10   8.677322E+003   3.681096E+001 
    1     6   9.286624E+003   3.495037E+001 
    0    11   1.026179E+004   3.614767E+001 
    1     7   1.034152E+004   3.507652E+001 
    1     8   1.152183E+004   3.518129E+001 
    2     0   1.163573E+004   3.397058E+001 
    2     1   1.178951E+004   3.405598E+001 
    0    12   1.194031E+004   3.546456E+001 
    2     2   1.209524E+004   3.385258E+001 
    2     3   1.255050E+004   3.387317E+001 
    1     9   1.281752E+004   3.521511E+001 
    2     4   1.315072E+004   3.365527E+001 
    0    13   1.370318E+004   3.494114E+001 
    2     5   1.389070E+004   3.364081E+001 
    1    10   1.422111E+004   3.514518E+001 
    2     6   1.476414E+004   3.351948E+001 
    0    14   1.554025E+004   3.434216E+001 
    1    11   1.572229E+004   3.494605E+001 
    2     7   1.576338E+004   3.353573E+001 
    2     8   1.688055E+004   3.355535E+001 
    3     0   1.695284E+004   3.308161E+001 
    3     1   1.709837E+004   3.311871E+001 
    1    12   1.731122E+004   3.466042E+001 
    3     2   1.738779E+004   3.295288E+001 
    0    15   1.744391E+004   3.395218E+001 
    3     3   1.781869E+004   3.302588E+001 
    2     9   1.810741E+004   3.361518E+001 
    3     4   1.838652E+004   3.274668E+001 
    1    13   1.897972E+004   3.429208E+001 
    3     5   1.908649E+004   3.274104E+001 
    0    16   1.940345E+004   3.340162E+001 
    2    10   1.943491E+004   3.365886E+001 
    3     6   1.991225E+004   3.256692E+001 
    1    14   2.071785E+004   3.388202E+001 
    2    11   2.085383E+004   3.359531E+001 
    3     7   2.085653E+004   3.254005E+001 
    0    17   2.141168E+004   3.311976E+001 
    3     8   2.191171E+004   3.249991E+001 
    4     0   2.194278E+004   3.229082E+001 
    4     1   2.208004E+004   3.227935E+001 
    4     2   2.235326E+004   3.218574E+001 
    2    12   2.235535E+004   3.353064E+001 
    1    15   2.251712E+004   3.346018E+001 
    4     3   2.275983E+004   3.241636E+001 
    3     9   2.306999E+004   3.251752E+001 
    4     4   2.329564E+004   3.198096E+001 
    0    18   2.345990E+004   3.256598E+001 
    2    13   2.393080E+004   3.323719E+001 
    4     5   2.395581E+004   3.207606E+001 
    3    10   2.432262E+004   3.249609E+001 
    1    16   2.436840E+004   3.301013E+001 
    4     6   2.473404E+004   3.177992E+001 
    0    19   2.553963E+004   3.237179E+001 
    2    14   2.557053E+004   3.302979E+001 
    4     7   2.562381E+004   3.178284E+001 
    3    11   2.565988E+004   3.250616E+001 
    1    17   2.626369E+004   3.261289E+001 
    5     0   2.660677E+004   3.161684E+001 
    4     8   2.661704E+004   3.164945E+001 
    5     1   2.673596E+004   3.158463E+001 
    5     2   2.699289E+004   3.153062E+001 
    3    12   2.707418E+004   3.248331E+001 
    2    15   2.726625E+004   3.251505E+001 
    5     3   2.737523E+004   3.146337E+001 
    0    20   2.764451E+004   3.175434E+001 
    4     9   2.770677E+004   3.164231E+001 
    5     4   2.787879E+004   3.127589E+001 
    1    18   2.819486E+004   3.214739E+001 
    5     5   2.849899E+004   3.127412E+001 
    3    13   2.855661E+004   3.236025E+001 
    4    10   2.888376E+004   3.156951E+001 
    2    16   2.900940E+004   3.224095E+001 
    5     6   2.922954E+004   3.104310E+001 
    0    21   2.976661E+004   3.164697E+001 
    5     7   3.006431E+004   3.100067E+001 
    3    14   3.009785E+004   3.219394E+001 
    4    11   3.013990E+004   3.160404E+001 
    1    19   3.015462E+004   3.185313E+001 
    2    17   3.079235E+004   3.138054E+001 
    6     0   3.094320E+004   3.097318E+001 
    5     8   3.099552E+004   3.089817E+001 
    6     1   3.106412E+004   3.091767E+001 
    6     2   3.130464E+004   3.075301E+001 
    4    12   3.146651E+004   3.154157E+001 
    6     3   3.166233E+004   3.073836E+001 
    3    15   3.169026E+004   3.189448E+001 
    0    22   3.190031E+004   3.081193E+001 
    5     9   3.201575E+004   3.087672E+001 
    6     4   3.213322E+004   3.054864E+001 
    1    20   3.213454E+004   3.123265E+001 
    2    18   3.260639E+004   3.114469E+001 
    6     5   3.271272E+004   3.174450E+001 
    4    13   3.285516E+004   3.144935E+001 
    5    10   3.311646E+004   3.086300E+001 
    3    16   3.332489E+004   3.152859E+001 
    6     6   3.339496E+004   3.039502E+001 
    0    23   3.403759E+004   3.086570E+001 
    1    21   3.412953E+004   3.100814E+001 
    6     7   3.417363E+004   3.039203E+001 
    5    11   3.428978E+004   3.079869E+001 
    4    14   3.429681E+004   3.128076E+001 
    2    19   3.444505E+004   2.753709E+001 
    7     0   3.494622E+004   3.116217E+001 
    3    17   3.499413E+004   3.097589E+001 
    6     8   3.504117E+004   3.037672E+001 
    7     1   3.505878E+004   3.019724E+001 
    7     2   3.528236E+004   3.016857E+001 
    5    12   3.552731E+004   3.083405E+001 
    7     3   3.561473E+004   3.012943E+001 
    4    15   3.578419E+004   3.116670E+001 
    6     9   3.599047E+004   3.038007E+001 
    7     4   3.605189E+004   3.010855E+001 
    1    22   3.613139E+004   3.025097E+001 
    0    24   3.617459E+004   2.945389E+001 
    2    20   3.629979E+004   3.047638E+001 
    7     5   3.658964E+004   3.006821E+001 
    3    18   3.668984E+004   3.068278E+001 
    5    13   3.682003E+004   3.064034E+001 
    6    10   3.701302E+004   3.032989E+001 
    7     6   3.722192E+004   2.999504E+001 
    4    16   3.730808E+004   3.073543E+001 
    7     7   3.794263E+004   3.001602E+001 
    6    11   3.810113E+004   3.032877E+001 
    1    23   3.813447E+004   3.005303E+001 
    5    14   3.815979E+004   3.060553E+001 
    2    21   3.816475E+004   3.027236E+001 
    0    25   3.830484E+004   2.984878E+001 
    3    19   3.840503E+004   2.806426E+001 
    8     0   3.860553E+004   2.989593E+001 
    8     1   3.870915E+004   2.988521E+001 
    7     8   3.874438E+004   2.897195E+001 
    4    17   3.886111E+004   3.058536E+001 
    8     2   3.891514E+004   2.986540E+001 
    8     3   3.922109E+004   2.965978E+001 
