    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   4.594763E+001 
    0     1   1.705020E+002   4.491428E+001 
    0     2   5.098500E+002   4.183377E+001 
    0     3   1.015153E+003   3.996961E+001 
    0     4   1.681678E+003   3.846086E+001 
    0     5   2.503870E+003   3.717364E+001 
    0     6   3.474434E+003   3.595870E+001 
    0     7   4.586377E+003   3.487932E+001 
    0     8   5.829758E+003   3.397017E+001 
    1     0   5.987124E+003   3.346237E+001 
    1     1   6.149208E+003   3.335489E+001 
    1     2   6.471607E+003   3.323596E+001 
    1     3   6.951587E+003   3.301889E+001 
    0     9   7.196995E+003   3.323561E+001 
    1     4   7.584601E+003   3.279237E+001 
    1     5   8.365297E+003   3.252284E+001 
    0    10   8.677322E+003   3.262310E+001 
    1     6   9.286624E+003   3.224708E+001 
    0    11   1.026179E+004   3.209672E+001 
    1     7   1.034152E+004   3.196933E+001 
    1     8   1.152183E+004   3.168347E+001 
    2     0   1.163573E+004   3.160476E+001 
    2     1   1.178951E+004   3.157075E+001 
    0    12   1.194031E+004   3.163663E+001 
    2     2   1.209524E+004   3.149459E+001 
    2     3   1.255050E+004   3.139571E+001 
    1     9   1.281752E+004   3.141284E+001 
    2     4   1.315072E+004   3.125874E+001 
    0    13   1.370318E+004   3.120272E+001 
    2     5   1.389070E+004   3.111550E+001 
    1    10   1.422111E+004   3.111688E+001 
    2     6   1.476414E+004   3.093283E+001 
    0    14   1.554025E+004   3.081164E+001 
    1    11   1.572229E+004   3.083864E+001 
    2     7   1.576338E+004   3.075912E+001 
    2     8   1.688055E+004   3.055064E+001 
    3     0   1.695284E+004   3.053314E+001 
    3     1   1.709837E+004   3.051585E+001 
    1    12   1.731122E+004   3.053362E+001 
    3     2   1.738779E+004   3.045026E+001 
    0    15   1.744391E+004   3.039476E+001 
    3     3   1.781869E+004   3.038729E+001 
    2     9   1.810741E+004   3.035151E+001 
    3     4   1.838652E+004   3.027692E+001 
    1    13   1.897972E+004   3.023750E+001 
    3     5   1.908649E+004   3.017528E+001 
    0    16   1.940345E+004   3.006452E+001 
    2    10   1.943491E+004   3.013190E+001 
    3     6   1.991225E+004   3.002894E+001 
    1    14   2.071785E+004   2.991539E+001 
