     Distance         timeN            Tn        a6D-J9        a6D-J7        a6D-J5        a6D-J3        a6D-J1        a4F-J9        a4F-J7        a4F-J5        a4F-J3        a4D-J7        a4D-J5        a4D-J3        a4D-J1        a4P-J5        a4P-J3        a4P-J1        b4P-J5        b4P-J3        b4P-J1       a4H-J13       a4H-J11        a4H-J9        a4H-J7        b4F-J9        b4F-J7        b4F-J5        b4F-J3       a4G-J11        a4G-J9        a4G-J7        a4G-J5        b4D-J7        b4D-J5        b4D-J3        b4D-J1 
  1.711576561E+008   1.813982532E-006   1.713947413E+001   1.000000000E+000   1.372989474E-017   7.365476308E-028   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.219564173E+008   2.356933576E-006   2.817983664E+001   1.000000000E+000   4.358067313E-012   2.485146228E-018   1.683856736E-022   8.938595675E-025   7.201136617E-027   5.089144457E-029   7.081646101E-029   8.191507543E-029   2.033388047E-031   7.056611244E-032   2.125272811E-031   6.443904808E-032   1.294782269E-031   1.138151795E-030   2.493937587E-032   1.046135853E-036   1.846792150E-040   7.922102056E-054   3.084369423E-032   4.943178867E-036   1.998078787E-036   2.152847021E-036   9.707322409E-037   3.352245066E-034   1.380931512E-036   1.808242948E-033   7.451055199E-037   7.262867942E-037   7.379326037E-037   7.514767459E-037   5.473202605E-037   5.979077467E-037   6.033862886E-037   2.401851732E-031 
  2.353983855E+008   2.501121296E-006   3.252361642E+001   9.999999999E-001   6.028827982E-011   2.350627931E-016   6.039897378E-020   6.966212369E-022   9.555345912E-025   6.752931314E-027   9.396721032E-027   1.086933630E-026   2.698152717E-029   9.363681689E-030   2.820071980E-029   8.550649126E-030   1.718075115E-029   1.510235573E-028   3.309260322E-030   1.390698835E-034   1.118263306E-036   2.806305745E-048   4.091805338E-030   1.624466672E-033   2.669101223E-034   2.861483323E-034   1.290246146E-034   4.448189986E-032   1.835460118E-034   2.399399380E-031   9.903528262E-035   9.653399773E-035   9.808188206E-035   9.988208008E-035   7.278327217E-035   7.946218483E-035   8.017568414E-035   3.187068383E-029 
  2.488403537E+008   2.645557156E-006   3.759722311E+001   9.999999994E-001   6.014547126E-010   1.262225698E-014   1.043155777E-017   2.369996265E-019   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.622823219E+008   2.790254726E-006   4.347620266E+001   9.999999956E-001   4.418711750E-009   3.990601366E-013   9.095417741E-016   3.711011144E-017   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.760539494E+008   2.938786700E-006   5.041697126E+001   9.999999744E-001   2.558730789E-008   8.358415354E-012   4.663506718E-014   3.176290788E-015   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  3.042844043E+008   3.244236465E-006   6.792130493E+001   9.999995619E-001   4.369304900E-007   1.142449629E-009   2.719290541E-011   4.187379956E-012   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  3.221580370E+008   3.438341057E-006   8.157471509E+001   9.999982651E-001   1.721873089E-006   1.232872598E-008   5.914590242E-010   1.337885079E-010   1.269572394E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  3.400316697E+008   3.633041944E-006   9.747629434E+001   9.999946396E-001   5.265179917E-006   8.573448800E-008   7.252791544E-009   2.226760270E-009   6.055188662E-018   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  3.579053024E+008   3.828372461E-006   1.158491428E+002   9.999863397E-001   1.316258117E-005   4.196390255E-007   5.610417145E-008   2.195799085E-008   4.804968221E-016   2.507759728E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000 
