     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  4.390468051E+006   4.637730136E-008   1.000136133E+001   5.800056896E-024   2.473095992E-065   1.329891392E-065   2.924934809E-065   4.069215858E-065   3.888397014E-037   3.552187915E-046   3.631362479E-020   5.813265672E-021   9.858917098E-033   3.326108134E-033   7.830286516E-033   1.964629936E-041   6.011408451E-026   7.831010993E-031   1.023355051E-040   3.276500082E-041   0.000000000E+000   0.000000000E+000   1.030449525E-029   7.982975486E-035   2.399318953E-047   4.515153308E-044   1.329476270E-043   0.000000000E+000   0.000000000E+000   1.396348319E-040 
  5.821060901E+006   6.148942581E-008   1.000196546E+001   7.713615551E-024   2.473095992E-065   1.329891392E-065   2.924934809E-065   4.069215858E-065   3.888397014E-037   4.728040467E-046   4.828518640E-020   7.730510458E-021   1.151276544E-032   3.884067833E-033   1.041422575E-032   2.614356644E-041   7.997592071E-026   1.042101309E-030   3.403454113E-040   1.089691956E-040   0.000000000E+000   0.000000000E+000   1.370334493E-029   1.061929970E-034   4.308022798E-047   8.107043611E-044   2.387099920E-043   0.000000000E+000   0.000000000E+000   1.859333252E-040 
  8.303582980E+006   8.771432244E-008   1.000324357E+001   1.103721279E-023   5.406595412E-065   2.907361754E-065   6.394389532E-065   8.895976487E-065   8.500326609E-037   6.776568163E-046   6.906388113E-020   1.105944820E-020   1.620909153E-032   5.468469878E-033   1.490307273E-032   3.745316735E-041   1.145192387E-025   1.492966193E-030   8.542133422E-040   2.734955069E-040   0.000000000E+000   0.000000000E+000   1.960538486E-029   1.520232512E-034   7.099905049E-047   1.336094133E-043   3.934097745E-043   0.000000000E+000   0.000000000E+000   2.667147087E-040 
  1.209672233E+007   1.277861542E-007   1.000586780E+001   1.612485263E-023   9.888800099E-065   5.317638368E-065   1.169550059E-064   1.627096656E-064   1.554706822E-036   9.932234842E-046   1.008258456E-019   1.615190417E-020   2.338518422E-032   7.889472106E-033   2.177722672E-032   5.484412530E-041   1.675428106E-025   2.186367514E-030   1.124248667E-039   3.599533558E-040   0.000000000E+000   0.000000000E+000   2.863581534E-029   2.223079199E-034   8.828413275E-047   1.661373089E-043   4.891873979E-043   0.000000000E+000   0.000000000E+000   3.915453714E-040 
  1.588986169E+007   1.678604253E-007   1.000949253E+001   2.122746607E-023   9.888800099E-065   5.317638368E-065   1.169550059E-064   1.627096656E-064   1.554706822E-036   1.312929298E-045   1.326088595E-019   2.125397460E-020   3.494738707E-032   1.179021866E-032   2.867605955E-032   7.241308842E-041   2.209571619E-025   2.887026858E-030   1.124248667E-039   3.599533558E-040   0.000000000E+000   0.000000000E+000   3.768604145E-029   2.930072020E-034   1.055692150E-046   1.986652045E-043   5.849650212E-043   0.000000000E+000   0.000000000E+000   5.186486165E-040 
  2.310032713E+007   2.440464042E-007   1.002001507E+001   3.099139401E-023   9.888800099E-065   5.317638368E-065   1.169550059E-064   1.627096656E-064   1.554706822E-036   1.938907280E-045   1.931141479E-019   3.099367527E-020   5.010580537E-032   1.690422236E-032   4.189619132E-032   1.065895611E-040   3.241923318E-025   4.250719847E-030   1.379036760E-039   4.415294626E-040   0.000000000E+000   0.000000000E+000   5.497410727E-029   4.291958466E-034   1.055692150E-046   1.986652045E-043   5.849650212E-043   0.000000000E+000   0.000000000E+000   7.703909864E-040 
  3.031079257E+007   3.202442224E-007   1.003692888E+001   4.088020586E-023   9.888800099E-065   5.317638368E-065   1.169550059E-064   1.627096656E-064   1.554706822E-036   2.601678186E-045   2.537874020E-019   4.081275289E-020   5.162184147E-032   1.741568826E-032   5.532266310E-032   1.423221254E-040   4.307853937E-025   5.677960503E-030   1.633824854E-039   5.231055694E-040   0.000000000E+000   0.000000000E+000   7.242487467E-029   5.689127602E-034   2.276166167E-046   4.283398498E-043   1.261236612E-042   0.000000000E+000   0.000000000E+000   1.042916513E-039 
  4.263199074E+007   4.504841945E-007   1.008720856E+001   5.830923950E-023   9.888800099E-065   5.317638368E-065   1.169550059E-064   1.627096656E-064   1.554706822E-036   3.907763023E-045   3.581532210E-019   5.792487296E-020   8.790887295E-032   2.965786348E-032   7.914824729E-032   2.105118593E-040   6.278792810E-025   8.408720879E-030   2.833600544E-039   9.072405909E-040   0.000000000E+000   0.000000000E+000   1.029280339E-028   8.231289006E-034   4.361704522E-046   8.208064450E-043   2.416845269E-042   0.000000000E+000   0.000000000E+000   1.611775541E-039 
  5.495318891E+007   5.807744325E-007   1.017635627E+001   7.687877754E-023   9.888800099E-065   5.317638368E-065   1.169550059E-064   1.627096656E-064   1.554706822E-036   5.659637449E-045   4.639248388E-019   7.573886092E-020   2.175449694E-031   7.339326268E-032   1.048887590E-031   2.960973320E-040   8.596486380E-025   1.185469076E-029   4.042687983E-039   1.294356977E-039   0.000000000E+000   0.000000000E+000   1.348752178E-028   1.112303495E-033   5.554561789E-046   1.045284038E-042   3.077814261E-042   0.000000000E+000   0.000000000E+000   2.471367805E-039 
  6.848901491E+007   7.239786636E-007   1.033873114E+001   9.970711296E-023   9.888800099E-065   5.317638368E-065   1.169550059E-064   1.627096656E-064   1.554706822E-036   8.940651329E-045   5.828662181E-019   9.674789807E-020   3.828014201E-031   1.291459198E-031   1.373296897E-031   4.378204398E-040   1.200211330E-024   1.761840221E-029   9.042705918E-039   2.895224550E-039   0.000000000E+000   0.000000000E+000   1.729591071E-028   1.512257539E-033   8.157486840E-046   1.535114940E-042   4.520109827E-042   0.000000000E+000   0.000000000E+000   4.484351677E-039 
