     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  1.000000000E+005   1.056293554E-009   1.000002392E+001   2.820122913E-032   1.958217850E-024   5.317767578E-031   1.146261202E-030   1.970796249E-022   4.100868710E-166   1.970796249E-022   3.184523006E-026   7.772170568E-027   1.055392728E-132   3.961740063E-026   1.678221332E-029   1.025782229E-051   1.219429591E-025   2.265362854E-038   1.737893445E-031   0.000000000E+000   2.982003667E-035   8.314393563E-049 
  1.999449465E+005   2.112006642E-009   1.000004812E+001   3.571477256E-032   1.958228901E-024   5.317945571E-031   1.146277379E-030   1.970807620E-022   4.103982833E-166   1.970807620E-022   3.184552186E-026   7.772266244E-027   1.055998179E-132   3.961778810E-026   1.678260910E-029   1.025886874E-051   1.219438202E-025   2.265428158E-038   1.737994201E-031   0.000000000E+000   2.982057485E-035   8.315524855E-049 
  2.998898931E+005   3.167720796E-009   1.000007261E+001   4.322821788E-032   1.958240058E-024   5.318125660E-031   1.146293736E-030   1.970819107E-022   4.107137218E-166   1.970819107E-022   3.184581675E-026   7.772362973E-027   1.056611339E-132   3.961817972E-026   1.678300953E-029   1.025992789E-051   1.219446908E-025   2.265494227E-038   1.738096165E-031   0.000000000E+000   2.982111917E-035   8.316669956E-049 
  4.727099360E+005   4.993213977E-009   1.000011566E+001   5.622025409E-032   1.958259604E-024   5.318442060E-031   1.146322452E-030   1.970839246E-022   4.112687873E-166   1.970839246E-022   3.184633403E-026   7.772532744E-027   1.057690007E-132   3.961886677E-026   1.678371301E-029   1.026178962E-051   1.219462187E-025   2.265610294E-038   1.738275355E-031   0.000000000E+000   2.982207498E-035   8.318682962E-049 
  6.103798677E+005   6.447419845E-009   1.000015061E+001   6.656997573E-032   1.958275406E-024   5.318698693E-031   1.146345721E-030   1.970855541E-022   4.117198097E-166   1.970855541E-022   3.184675285E-026   7.772670286E-027   1.058566216E-132   3.961942314E-026   1.678428357E-029   1.026330051E-051   1.219474566E-025   2.265704428E-038   1.738420743E-031   0.000000000E+000   2.982284979E-035   8.320316788E-049 
  8.336152339E+005   8.805456785E-009   1.000020850E+001   8.335231959E-032   1.958301471E-024   5.319123606E-031   1.146384207E-030   1.970882447E-022   4.124681509E-166   1.970882447E-022   3.184744490E-026   7.772897716E-027   1.060019498E-132   3.962034262E-026   1.678522820E-029   1.026580370E-051   1.219495034E-025   2.265860270E-038   1.738661552E-031   0.000000000E+000   2.982413181E-035   8.323024004E-049 
  1.182167262E+006   1.248722562E-008   1.000030201E+001   1.095559381E-031   1.958343279E-024   5.319809197E-031   1.146446202E-030   1.970925673E-022   4.136796750E-166   1.970925673E-022   3.184855797E-026   7.773263915E-027   1.062370879E-132   3.962182189E-026   1.678675219E-029   1.026984659E-051   1.219527990E-025   2.266111676E-038   1.739050315E-031   0.000000000E+000   2.982619816E-035   8.327397287E-049 
  1.716379219E+006   1.813015409E-008   1.000045295E+001   1.497173109E-031   1.958410055E-024   5.320914027E-031   1.146545857E-030   1.970994880E-022   4.156424599E-166   1.970994880E-022   3.185034312E-026   7.773852210E-027   1.066176677E-132   3.962419533E-026   1.678920772E-029   1.027637158E-051   1.219580932E-025   2.266516711E-038   1.739677344E-031   0.000000000E+000   2.982952286E-035   8.334457698E-049 
  2.607742163E+006   2.754577373E-008   1.000072635E+001   2.167346490E-031   1.958529052E-024   5.322910423E-031   1.146725233E-030   1.971118675E-022   4.192208916E-166   1.971118675E-022   3.185354496E-026   7.774910122E-027   1.073103632E-132   3.962845508E-026   1.679364368E-029   1.028819033E-051   1.219676130E-025   2.267248303E-038   1.740811895E-031   0.000000000E+000   2.983551585E-035   8.347252827E-049 
  3.499105107E+006   3.696148824E-008   1.000102844E+001   2.837540455E-031   1.958658040E-024   5.325110338E-031   1.146921997E-030   1.971253470E-022   4.232100458E-166   1.971253470E-022   3.185704246E-026   7.776069281E-027   1.080808286E-132   3.963311174E-026   1.679853035E-029   1.030125173E-051   1.219780431E-025   2.268054092E-038   1.742064115E-031   0.000000000E+000   2.984210084E-035   8.361402502E-049 
  4.390468051E+006   4.637730136E-008   1.000136133E+001   3.507779123E-031   1.958797636E-024   5.327528483E-031   1.147137354E-030   1.971399978E-022   4.276489669E-166   1.971399978E-022   3.186085541E-026   7.777336651E-027   1.089360424E-132   3.963819206E-026   1.680390013E-029   1.031564949E-051   1.219894459E-025   2.268939412E-038   1.743442673E-031   0.000000000E+000   2.984931950E-035   8.377010421E-049 
  5.821060901E+006   6.148942581E-008   1.000196546E+001   4.583545833E-031   1.959045471E-024   5.331904384E-031   1.147525029E-030   1.971661470E-022   4.358220782E-166   1.971661470E-022   3.186768631E-026   7.779615205E-027   1.105049661E-132   3.964730152E-026   1.681361341E-029   1.034179885E-051   1.220099438E-025   2.270540597E-038   1.745942159E-031   0.000000000E+000   2.986233923E-035   8.405384147E-049 
