     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz        Tgrain       Teff_gr    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)        grad_V 
  3.307779233E+006   5.240976194E-008   5.243597993E-008   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000109E+001   9.999999993E+000   2.417800059E+004   4.158155505E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526722E-016   9.974921472E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678541E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526722E-016 
  4.303521569E+006   6.818669719E-008   6.822080759E-008   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000142E+001   9.999999991E+000   2.417800059E+004   4.158155505E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526689E-016   9.974921477E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678541E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526689E-016 
  5.299263905E+006   8.396363244E-008   8.400563526E-008   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000175E+001   9.999999989E+000   2.417800059E+004   4.158155505E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526657E-016   9.974921483E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678540E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526657E-016 
  6.950434837E+006   1.101254375E-007   1.101805278E-007   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999999E+000   1.000000230E+001   9.999999985E+000   2.417800059E+004   4.158155506E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526603E-016   9.974921492E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678539E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526603E-016 
  9.433311382E+006   1.494651151E-007   1.495398851E-007   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999999E+000   1.000000312E+001   9.999999980E+000   2.417800059E+004   4.158155506E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526521E-016   9.974921506E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678538E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526521E-016 
  1.341587274E+007   2.125663919E-007   2.126727282E-007   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999999E+000   1.000000444E+001   9.999999972E+000   2.417800059E+004   4.158155507E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526391E-016   9.974921528E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678537E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526391E-016 
  2.139569420E+007   3.390018379E-007   3.391714236E-007   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999998E+000   1.000000708E+001   9.999999955E+000   2.417800059E+004   4.158155509E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526130E-016   9.974921572E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678533E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526130E-016 
  2.937551565E+007   4.654372840E-007   4.656701190E-007   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999998E+000   1.000000971E+001   9.999999938E+000   2.417800059E+004   4.158155510E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309525869E-016   9.974921616E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678529E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309525869E-016 
  4.188662424E+007   6.636682349E-007   6.640002350E-007   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999997E+000   1.000001385E+001   9.999999912E+000   2.417800059E+004   4.158155513E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309525459E-016   9.974921686E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678524E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309525459E-016 
  5.439773283E+007   8.618991857E-007   8.623303509E-007   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   9.999999996E+000   1.000001799E+001   9.999999886E+000   2.417800059E+004   4.158155515E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309525051E-016   9.974921755E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678518E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309525051E-016 
