     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_gain    Energ_cons 
  1.341587274E+007   2.125663919E-007   9.999999999E+000   4.729689530E-014   2.668626430E-016   9.459378976E-008   8.294440978E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   3.900794443E-015   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -2.615186165E-015   7.565655807E-015 
  2.139569420E+007   3.390018379E-007   9.999999998E+000   4.729689530E-014   2.668626430E-016   9.459378976E-008   8.294440978E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   5.990505752E-015   9.459378894E-002   4.147220488E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -4.176529685E-015   1.181134756E-014 
  2.937551565E+007   4.654372840E-007   9.999999998E+000   4.729689530E-014   4.002939645E-016   9.459378976E-008   8.294440977E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   8.358845235E-015   9.459378894E-002   4.147220488E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -5.737873212E-015   1.634494772E-014 
  4.188662424E+007   6.636682349E-007   9.999999997E+000   4.729689530E-014   5.337252860E-016   9.459378976E-008   8.294440976E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.184169742E-014   9.459378894E-002   4.147220488E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -8.185815015E-015   2.305425233E-014 
  5.439773283E+007   8.618991857E-007   9.999999996E+000   4.729689530E-014   5.337252860E-016   9.459378976E-008   8.294440975E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.546386369E-014   9.459378894E-002   4.147220487E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.063375684E-014   3.033937372E-014 
  6.690884142E+007   1.060130137E-006   9.999999995E+000   4.729689530E-014   6.671566075E-016   9.459378976E-008   8.294440975E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.894671587E-014   9.459378894E-002   4.147220487E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.308169867E-014   3.719263222E-014 
  8.296991929E+007   1.314608204E-006   9.999999993E+000   4.729689530E-014  -4.269802288E-015   9.459378976E-008   8.294440974E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.295621012E-014   9.459378894E-002   4.147220486E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.622423273E-014   3.065085582E-014 
  1.131910438E+008   1.793443650E-006   9.999999991E+000   4.729689530E-014  -1.481087669E-014   9.459378976E-008   8.294440972E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.393140873E-016   9.459378894E-002   4.147220485E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -2.213734236E-014   1.595536573E-014 
  1.605998430E+008   2.544607407E-006   9.999999987E+000   4.729689530E-014  -2.134901144E-014   9.459378976E-008   8.294440968E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008  -7.801588886E-015   9.459378894E-002   4.147220484E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -3.141341786E-014   7.402802072E-015 
  2.494806394E+008   3.952869886E-006   9.999999980E+000   4.729689530E-014   8.005879289E-016   9.459378976E-008   8.294440963E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.003061428E-014   9.459378894E-002   4.147220481E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -4.880396613E-014   2.192475225E-014 
  4.137824407E+008   6.556132585E-006   9.999999967E+000   4.729689530E-014   1.814665972E-014   9.459378976E-008   8.294440952E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.058787063E-014   9.459378894E-002   4.147220476E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -8.095150220E-014   6.885261908E-015 
  5.375456430E+008   8.517085694E-006   9.999999958E+000   4.729689530E-014   2.828744016E-014   9.459378976E-008   8.294440944E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.337415238E-014   9.459378894E-002   4.147220472E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.051671973E-013   4.017012512E-015 
  7.344320049E+008   1.163663105E-005   9.999999942E+000   4.729689530E-014   1.414372008E-014   9.459378976E-008   8.294440931E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008  -1.239895377E-014   9.459378894E-002   4.147220465E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.436902838E-013  -3.123463572E-014 
  9.313183669E+008   1.475617641E-005   9.999999926E+000   4.729689530E-014   5.070390217E-015   9.459378976E-008   8.294440918E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008  -3.482852181E-014   9.459378894E-002   4.147220459E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.822133746E-013  -6.461492298E-014 
  1.128204729E+009   1.787572177E-005   9.999999911E+000   4.729689530E-014  -9.073329861E-015   9.459378976E-008   8.294440905E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008  -6.060162796E-014   9.459378894E-002   4.147220452E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -2.207364696E-013  -1.000106138E-013 
  1.325091091E+009   2.099526713E-005   9.999999895E+000   4.729689530E-014  -1.961440426E-014   9.459378976E-008   8.294440892E-012   3.982855438E-010   0.000000000E+000   9.500036975E-008  -8.651404819E-014   9.459378894E-002   4.147220446E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -2.592595689E-013  -1.387172963E-013 
  1.626059913E+009   2.576393614E-005   9.999999871E+000   4.729689530E-014  -2.401763787E-014   9.459378976E-008   8.294440872E-012   3.982855438E-010   0.000000000E+000   9.500036975E-008  -1.150734361E-013   9.459378894E-002   4.147220436E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -3.181476163E-013  -1.879972981E-013 
  2.296361360E+009   3.638445728E-005   9.999999818E+000   4.729689530E-014  -3.922880852E-014   9.459378977E-008   8.294440828E-012   3.982855438E-010   0.000000000E+000   9.500036975E-008  -1.880740178E-013   9.459378894E-002   4.147220414E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -4.492999196E-013  -3.110089940E-013 
  3.431291408E+009   5.436673767E-005   9.999999729E+000   4.729689530E-014  -6.791654264E-014   9.459378977E-008   8.294440754E-012   3.982855438E-010   0.000000000E+000   9.500036975E-008  -3.215369134E-013   9.459378894E-002   4.147220377E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -6.713623448E-013  -5.350426900E-013 
  4.993987602E+009   7.912671400E-005   9.999999605E+000   4.729689530E-014  -9.273476844E-014   9.459378977E-008   8.294440652E-012   3.982855439E-010   0.000000000E+000   9.500036975E-008  -4.896890167E-013   9.459378894E-002   4.147220326E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -9.771224834E-013  -8.281824617E-013 
  6.556683796E+009   1.038866903E-004   9.999999482E+000   4.729689530E-014  -1.174195629E-013   9.459378977E-008   8.294440549E-012   3.982855440E-010   0.000000000E+000   9.500036975E-008  -6.579804341E-013   9.459378894E-002   4.147220274E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.282882889E-012  -1.121181050E-012 
  9.697023125E+009   1.536434682E-004   9.999999233E+000   4.729689530E-014  -1.529122944E-013   9.459378977E-008   8.294440343E-012   3.982855441E-010   0.000000000E+000   9.500036975E-008  -9.767310658E-013   9.459378894E-002   4.147220171E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.897329056E-012  -1.685987314E-012 
  1.327965986E+010   2.104081811E-004   9.999998950E+000   4.729689530E-014  -2.020150207E-013   9.459378977E-008   8.294440108E-012   3.982855442E-010   0.000000000E+000   9.500036975E-008  -1.347863794E-012   9.459378894E-002   4.147220054E-005   1.765537127E-004   1.592345605E-003   0.000000000E+000   9.640416046E-002  -2.598317485E-012  -2.336018393E-012 
  2.104858292E+010   3.335020696E-004   9.999998336E+000   4.729689530E-014  -3.358466362E-013   9.459378977E-008   8.294439599E-012   3.982855445E-010   0.000000000E+000   9.500036975E-008  -2.192246477E-012   9.459378894E-002   4.147219799E-005   1.765537127E-004   1.592345605E-003   0.000000000E+000   9.640416046E-002  -4.118410842E-012  -3.798056543E-012 
  2.855315715E+010   4.524075108E-004   9.999997743E+000   4.729689530E-014  -4.472617896E-013   9.459378977E-008   8.294439107E-012   3.982855448E-010   0.000000000E+000   9.500036975E-008  -2.991352082E-012   9.459378894E-002   4.147219553E-005   1.765537127E-004   1.592345606E-003   0.000000000E+000   9.640416045E-002  -5.586787025E-012  -5.194650909E-012 
  4.862827674E+010   7.704856425E-004   9.999996156E+000   4.729689530E-014  -7.438796173E-013   9.459378977E-008   8.294437791E-012   3.982855456E-010   0.000000000E+000   9.500036975E-008  -5.125225956E-012   9.459378894E-002   4.147218895E-005   1.765537127E-004   1.592345608E-003   0.000000000E+000   9.640416045E-002  -9.514798056E-012  -8.925516481E-012 
  7.007754242E+010   1.110336288E-003   9.999994460E+000   4.729689530E-014  -1.031557546E-012   9.459378977E-008   8.294436385E-012   3.982855465E-010   0.000000000E+000   9.500036975E-008  -7.366510992E-012   9.459378894E-002   4.147218192E-005   1.765537127E-004   1.592345609E-003   0.000000000E+000   9.640416045E-002  -1.371172971E-011  -1.286349954E-011 
  9.152680809E+010   1.450186934E-003   9.999992765E+000   4.729689530E-014  -1.311363028E-012   9.459378977E-008   8.294434979E-012   3.982855473E-010   0.000000000E+000   9.500036975E-008  -9.603198663E-012   9.459378894E-002   4.147217490E-005   1.765537127E-004   1.592345611E-003   0.000000000E+000   9.640416044E-002  -1.790870993E-011  -1.680040286E-011 
  1.353606759E+011   2.144708065E-003   9.999989300E+000   4.729689530E-014  -1.887386042E-012   9.459378977E-008   8.294432106E-012   3.982855491E-010   0.000000000E+000   9.500036975E-008  -1.418217408E-011   9.459378895E-002   4.147216053E-005   1.765537128E-004   1.592345614E-003   0.000000000E+000   9.640416044E-002  -2.648583655E-011  -2.485710546E-011 
  2.033260522E+011   3.221578358E-003   9.999983927E+000   4.729689530E-014  -2.785912561E-012   9.459378977E-008   8.294427651E-012   3.982855518E-010   0.000000000E+000   9.500036975E-008  -2.128830705E-011   9.459378895E-002   4.147213825E-005   1.765537128E-004   1.592345620E-003   0.000000000E+000   9.640416042E-002  -3.978524674E-011  -3.735787599E-011 
  2.712914285E+011   4.298448651E-003   9.999978555E+000   4.729689530E-014  -3.676833495E-012   9.459378977E-008   8.294423196E-012   3.982855545E-010   0.000000000E+000   9.500036975E-008  -2.838817087E-011   9.459378896E-002   4.147211598E-005   1.765537128E-004   1.592345625E-003   0.000000000E+000   9.640416041E-002  -5.308511396E-011  -4.985345431E-011 
  3.392568048E+011   5.375318944E-003   9.999973182E+000   4.729689530E-014  -4.594574124E-012   9.459378978E-008   8.294418741E-012   3.982855572E-010   0.000000000E+000   9.500036975E-008  -3.551617615E-011   9.459378896E-002   4.147209371E-005   1.765537128E-004   1.592345631E-003   0.000000000E+000   9.640416040E-002  -6.638542215E-011  -6.237721541E-011 
  4.072221811E+011   6.452189237E-003   9.999967810E+000   4.729689530E-014  -5.488430547E-012   9.459378978E-008   8.294414286E-012   3.982855599E-010   0.000000000E+000   9.500036975E-008  -4.262077666E-011   9.459378897E-002   4.147207143E-005   1.765537128E-004   1.592345636E-003   0.000000000E+000   9.640416039E-002  -7.968615563E-011  -7.487947627E-011 
  5.189552545E+011   8.222532226E-003   9.999958978E+000   4.729689530E-014  -6.974188312E-012   9.459378978E-008   8.294406962E-012   3.982855643E-010   0.000000000E+000   9.500036975E-008  -5.431243280E-011   9.459378897E-002   4.147203481E-005   1.765537128E-004   1.592345645E-003   0.000000000E+000   9.640416037E-002  -1.015530504E-010  -9.543899566E-011 
  7.056746058E+011   1.118098745E-002   9.999944220E+000   4.729689530E-014  -9.446003542E-012   9.459378979E-008   8.294394722E-012   3.982855718E-010   0.000000000E+000   9.500036976E-008  -7.384371058E-011   9.459378899E-002   4.147197362E-005   1.765537128E-004   1.592345660E-003   0.000000000E+000   9.640416033E-002  -1.380975412E-010  -1.297928238E-010 
  1.260321397E+012   1.996903050E-002   9.999900382E+000   4.729689530E-014  -1.680767641E-011   9.459378981E-008   8.294358366E-012   3.982855938E-010   0.000000000E+000   9.500036976E-008  -1.318950549E-010   9.459378903E-002   4.147179185E-005   1.765537128E-004   1.592345704E-003   0.000000000E+000   9.640416024E-002  -2.466667339E-010  -2.318834173E-010 
  1.781287783E+012   2.822342787E-002   9.999859209E+000   4.729689530E-014  -2.371835141E-011   9.459378983E-008   8.294324218E-012   3.982856145E-010   0.000000000E+000   9.500036977E-008  -1.864202203E-010   9.459378906E-002   4.147162111E-005   1.765537128E-004   1.592345745E-003   0.000000000E+000   9.640416014E-002  -3.486598471E-010  -3.277761378E-010 
  2.302254168E+012   3.647782525E-002   9.999818038E+000   4.729689530E-014  -3.062809240E-011   9.459378985E-008   8.294290070E-012   3.982856353E-010   0.000000000E+000   9.500036977E-008  -2.409473361E-010   9.459378910E-002   4.147145038E-005   1.765537128E-004   1.592345787E-003   0.000000000E+000   9.640416005E-002  -4.506656857E-010  -4.236743233E-010 
  3.115854686E+012   4.936883350E-002   9.999753741E+000   4.729689530E-014  -4.141401327E-011   9.459378988E-008   8.294236741E-012   3.982856676E-010   0.000000000E+000   9.500036978E-008  -3.261008429E-010   9.459378916E-002   4.147118375E-005   1.765537128E-004   1.592345851E-003   0.000000000E+000   9.640415990E-002  -6.099891880E-010  -5.734370106E-010 
  4.357404237E+012   6.904043543E-002   9.999655628E+000   4.729689530E-014  -5.787823746E-011   9.459378992E-008   8.294155362E-012   3.982857170E-010   0.000000000E+000   9.500036979E-008  -4.560553918E-010   9.459378924E-002   4.147077687E-005   1.765537127E-004   1.592345950E-003   0.000000000E+000   9.640415968E-002  -8.531496736E-010  -8.019870504E-010 
  5.598953788E+012   8.871203735E-002   9.999557518E+000   4.729689530E-014  -7.434633116E-011   9.459378996E-008   8.294073984E-012   3.982857664E-010   0.000000000E+000   9.500036981E-008  -5.860192748E-010   9.459378933E-002   4.147037000E-005   1.765537126E-004   1.592346049E-003   0.000000000E+000   9.640415946E-002  -1.096339292E-009  -1.030558713E-009 
  7.541416135E+012   1.194891787E-001   9.999404024E+000   4.729689530E-014  -1.001128534E-010   9.459379003E-008   8.293946666E-012   3.982858437E-010   0.000000000E+000   9.500036982E-008  -7.893701968E-010   9.459378947E-002   4.146973344E-005   1.765537123E-004   1.592346203E-003   0.000000000E+000   9.640415912E-002  -1.476856991E-009  -1.388200054E-009 
  8.537765270E+012   1.352757282E-001   9.999325294E+000   4.729689530E-014  -1.133308269E-010   9.459379007E-008   8.293881362E-012   3.982858834E-010   0.000000000E+000   9.500036983E-008  -8.936827341E-010   9.459378954E-002   4.146940694E-005   1.765537122E-004   1.592346283E-003   0.000000000E+000   9.640415894E-002  -1.672048482E-009  -1.571668765E-009 
  1.015282161E+013   1.608653194E-001   9.999197677E+000   4.729689530E-014  -1.347445526E-010   9.459379013E-008   8.293775508E-012   3.982859476E-010   0.000000000E+000   9.500036985E-008  -1.062767963E-009   9.459378965E-002   4.146887769E-005   1.765537119E-004   1.592346411E-003   0.000000000E+000   9.640415865E-002  -1.988459048E-009  -1.869073494E-009 
  1.176787795E+013   1.864549105E-001   9.999070062E+000   4.729689530E-014  -1.561633486E-010   9.459379019E-008   8.293669655E-012   3.982860119E-010   0.000000000E+000   9.500036987E-008  -1.231875761E-009   9.459378976E-002   4.146834845E-005   1.765537117E-004   1.592346540E-003   0.000000000E+000   9.640415836E-002  -2.304877949E-009  -2.166521495E-009 
  1.338293430E+013   2.120445016E-001   9.998942451E+000   4.729689530E-014  -1.775818777E-010   9.459379024E-008   8.293563805E-012   3.982860763E-010   0.000000000E+000   9.500036988E-008  -1.400998187E-009   9.459378988E-002   4.146781922E-005   1.765537114E-004   1.592346668E-003   0.000000000E+000   9.640415808E-002  -2.621301366E-009  -2.464002811E-009 
