     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  3.307779233E+006   5.240976194E-008   1.000000000E+001   4.378156002E-024   3.703778550E-065   1.991682987E-065   4.380465150E-065   6.094172835E-065   5.823515314E-037   2.743125308E-046   2.725151491E-020   4.361467880E-021   2.552240191E-033   8.610506382E-034   5.872691390E-033   1.471494017E-041   4.505099463E-026   5.865104446E-031   1.920702134E-040   6.149557469E-041   0.000000000E+000   0.000000000E+000   7.730516276E-030   5.984409127E-035   1.438180331E-047   2.706436621E-044   7.969038962E-044   0.000000000E+000   0.000000000E+000   1.044190894E-040 
  4.303521569E+006   6.818669719E-008   1.000000000E+001   5.716342958E-024   4.880172450E-065   2.624281207E-065   5.771788205E-065   8.029803612E-065   7.673179866E-037   3.581565608E-046   3.558095813E-020   5.694553367E-021   4.435791542E-033   1.496505365E-033   7.667683322E-033   1.921257117E-041   5.882086036E-026   7.657777424E-031   2.024273075E-040   6.481163001E-041   0.000000000E+000   0.000000000E+000   1.009335358E-029   7.813547644E-035   1.730629927E-047   3.256782276E-044   9.589518798E-044   0.000000000E+000   0.000000000E+000   1.363348518E-040 
  5.299263905E+006   8.396363244E-008   1.000000000E+001   7.054530257E-024   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   4.420006970E-046   4.391040134E-020   7.027638854E-021   4.435791542E-033   1.496505365E-033   9.462675255E-033   2.371020240E-041   7.259072609E-026   9.450450401E-031   2.246785973E-040   7.193587811E-041   0.000000000E+000   0.000000000E+000   1.245619089E-029   9.642686153E-035   2.275744855E-047   4.282605654E-044   1.261003160E-043   0.000000000E+000   0.000000000E+000   1.682506142E-040 
  6.950434837E+006   1.101254375E-007   9.999999999E+000   9.273554844E-024   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   5.810338874E-046   5.772254330E-020   9.238202697E-021   9.814917519E-033   3.311263972E-033   1.243918674E-032   3.116831411E-041   9.542434598E-026   1.242311652E-030   2.615763785E-040   8.374952802E-041   0.000000000E+000   0.000000000E+000   1.637432124E-029   1.267582054E-034   2.694722373E-047   5.071057612E-044   1.493160985E-043   0.000000000E+000   0.000000000E+000   2.211743247E-040 
  9.433311382E+006   1.494651151E-007   9.999999999E+000   1.261031843E-023   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   7.900995566E-046   7.849195165E-020   1.256224203E-020   2.416570730E-032   8.152797595E-033   1.691498656E-032   4.238312442E-041   1.297594098E-025   1.689313404E-030   3.968649383E-040   1.270651863E-040   0.000000000E+000   0.000000000E+000   2.226603949E-029   1.723676455E-034   2.694722373E-047   5.071057612E-044   1.493160985E-043   0.000000000E+000   0.000000000E+000   3.007560546E-040 
  1.341587274E+007   2.125663919E-007   9.999999999E+000   1.796252848E-023   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   1.125444576E-045   1.118063117E-019   1.789403777E-020   3.421028551E-032   1.154154232E-032   2.409421883E-032   6.037180292E-041   1.848332307E-025   2.406309143E-030   6.952002834E-040   2.225839197E-040   0.000000000E+000   0.000000000E+000   3.171642050E-029   2.455256896E-034   2.694722373E-047   5.071057612E-044   1.493160985E-043   0.000000000E+000   0.000000000E+000   4.284060270E-040 
  2.139569420E+007   3.390018379E-007   9.999999998E+000   2.868671893E-023   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   1.797377413E-045   1.785579875E-019   2.857730771E-020   3.421028551E-032   1.154154232E-032   3.847918028E-032   9.641555206E-041   2.951841375E-025   3.842946888E-030   9.307526219E-040   2.980012692E-040   0.000000000E+000   0.000000000E+000   5.065206158E-029   3.921117840E-034   3.149211100E-047   5.926336264E-044   1.744995772E-043   0.000000000E+000   0.000000000E+000   6.841770982E-040 
  2.937551565E+007   4.654372840E-007   9.999999998E+000   3.941093146E-023   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   2.469317075E-045   2.453096634E-019   3.926057764E-020   3.504887837E-032   1.182445884E-032   5.286414172E-032   1.324593066E-040   4.055350441E-025   5.279584629E-030   1.003342780E-039   3.212426319E-040   0.000000000E+000   0.000000000E+000   6.958770246E-029   5.386978739E-034   4.472856538E-047   8.417235638E-044   2.478435233E-043   0.000000000E+000   0.000000000E+000   9.399481685E-040 
  4.188662424E+007   6.636682349E-007   9.999999997E+000   5.622485930E-023   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   3.522826828E-045   3.499658226E-019   5.601026946E-020   6.002973815E-032   2.025226486E-032   7.541750529E-032   1.889702610E-040   5.785479594E-025   7.532007298E-030   2.428418248E-039   7.775124163E-040   0.000000000E+000   0.000000000E+000   9.927581730E-029   7.685218651E-034   1.127209476E-046   2.121236774E-043   6.245931781E-043   0.000000000E+000   0.000000000E+000   1.340957093E-039 
  5.439773283E+007   8.618991857E-007   9.999999996E+000   7.303884140E-023   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   4.576353359E-045   4.546219818E-019   7.275996127E-020   1.099914577E-031   3.710787691E-032   9.797086883E-032   2.454812126E-040   7.515608742E-025   9.784429960E-030   5.248126923E-039   1.680305215E-039   0.000000000E+000   0.000000000E+000   1.289639316E-028   9.983458452E-034   1.670863157E-046   3.144310306E-043   9.258347728E-043   0.000000000E+000   0.000000000E+000   1.741966015E-039 
