     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  2.309765337E+007   2.439789013E-007   9.999999999E+000   1.757224691E-030   1.958206897E-024   5.317591558E-031   1.146245200E-030   1.970784986E-022   4.097792594E-166   1.970784986E-022   3.184331433E-026   7.771834582E-027   1.054794552E-132   3.961514892E-026   1.688810741E-029   1.058135888E-051   1.219421069E-025   2.265298270E-038   1.737793827E-031   0.000000000E+000   2.981950363E-035   8.690057883E-049 
  3.030721836E+007   3.201330334E-007   9.999999998E+000   2.299233427E-030   1.958206897E-024   5.317591556E-031   1.146245201E-030   1.970784986E-022   4.097792545E-166   1.970784986E-022   3.184331433E-026   7.771834581E-027   1.054794542E-132   3.961514891E-026   1.688812835E-029   1.058142361E-051   1.219421069E-025   2.265298269E-038   1.737793825E-031   0.000000000E+000   2.981950342E-035   8.690128825E-049 
  4.262774062E+007   4.502738505E-007   9.999999998E+000   3.225544214E-030   1.958206897E-024   5.317591551E-031   1.146245204E-030   1.970784986E-022   4.097792462E-166   1.970784986E-022   3.184331432E-026   7.771834578E-027   1.054794526E-132   3.961514890E-026   1.688816413E-029   1.058153423E-051   1.219421069E-025   2.265298267E-038   1.737793823E-031   0.000000000E+000   2.981950308E-035   8.690250058E-049 
  5.494826288E+007   5.804146676E-007   9.999999997E+000   4.151789833E-030   1.958206897E-024   5.317591547E-031   1.146245206E-030   1.970784986E-022   4.097792378E-166   1.970784986E-022   3.184331431E-026   7.771834576E-027   1.054794510E-132   3.961514889E-026   1.688819991E-029   1.058164486E-051   1.219421069E-025   2.265298266E-038   1.737793820E-031   0.000000000E+000   2.981950274E-035   8.690371293E-049 
  6.846901545E+007   7.232334339E-007   9.999999996E+000   5.168321613E-030   1.958206897E-024   5.317591542E-031   1.146245209E-030   1.970784985E-022   4.097792287E-166   1.970784985E-022   3.184331430E-026   7.771834574E-027   1.054794492E-132   3.961514888E-026   1.688823918E-029   1.058176626E-051   1.219421069E-025   2.265298264E-038   1.737793817E-031   0.000000000E+000   2.981950236E-035   8.690504339E-049 
  9.425218130E+007   9.955792162E-007   9.999999995E+000   7.106747633E-030   1.958206896E-024   5.317591532E-031   1.146245214E-030   1.970784985E-022   4.097792113E-166   1.970784985E-022   3.184331429E-026   7.771834569E-027   1.054794458E-132   3.961514886E-026   1.688831406E-029   1.058199776E-051   1.219421068E-025   2.265298260E-038   1.737793812E-031   0.000000000E+000   2.981950164E-035   8.690758051E-049 
  1.200353472E+008   1.267924999E-006   9.999999994E+000   9.045122713E-030   1.958206896E-024   5.317591523E-031   1.146245219E-030   1.970784984E-022   4.097791939E-166   1.970784984E-022   3.184331427E-026   7.771834564E-027   1.054794425E-132   3.961514883E-026   1.688838893E-029   1.058222927E-051   1.219421068E-025   2.265298257E-038   1.737793806E-031   0.000000000E+000   2.981950092E-035   8.691011766E-049 
  1.716707251E+008   1.813345894E-006   9.999999991E+000   1.292683561E-029   1.958206895E-024   5.317591504E-031   1.146245229E-030   1.970784983E-022   4.097791590E-166   1.970784983E-022   3.184331424E-026   7.771834555E-027   1.054794357E-132   3.961514879E-026   1.688853888E-029   1.058269291E-051   1.219421067E-025   2.265298250E-038   1.737793796E-031   0.000000000E+000   2.981949949E-035   8.691519888E-049 
  2.233061031E+008   2.358766790E-006   9.999999988E+000   1.680839720E-029   1.958206894E-024   5.317591485E-031   1.146245239E-030   1.970784982E-022   4.097791241E-166   1.970784982E-022   3.184331420E-026   7.771834545E-027   1.054794289E-132   3.961514875E-026   1.688868883E-029   1.058315655E-051   1.219421066E-025   2.265298243E-038   1.737793785E-031   0.000000000E+000   2.981949805E-035   8.692028024E-049 
  3.059026978E+008   3.231228857E-006   9.999999984E+000   2.301703921E-029   1.958206893E-024   5.317591455E-031   1.146245255E-030   1.970784981E-022   4.097790683E-166   1.970784981E-022   3.184331415E-026   7.771834530E-027   1.054794181E-132   3.961514868E-026   1.688892869E-029   1.058389822E-051   1.219421065E-025   2.265298233E-038   1.737793767E-031   0.000000000E+000   2.981949576E-035   8.692840876E-049 
  4.324808747E+008   4.568265310E-006   9.999999977E+000   3.253142192E-029   1.958206891E-024   5.317591409E-031   1.146245279E-030   1.970784979E-022   4.097789827E-166   1.970784979E-022   3.184331407E-026   7.771834507E-027   1.054794014E-132   3.961514858E-026   1.688929624E-029   1.058503484E-051   1.219421063E-025   2.265298216E-038   1.737793740E-031   0.000000000E+000   2.981949224E-035   8.694086631E-049 
