    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.386067E+001 
    0     1   1.705020E+002   5.233328E+001 
    0     2   5.098500E+002   3.408456E+001 
    0     3   1.015153E+003   3.330320E+001 
    0     4   1.681678E+003   3.272180E+001 
    0     5   2.503870E+003   3.134248E+001 
    0     6   3.474434E+003   3.009872E+001 
    0     7   4.586377E+003   2.905902E+001 
    0     8   5.829758E+003   2.812445E+001 
    1     0   5.987124E+003   2.491529E+001 
    1     1   6.149208E+003   2.486772E+001 
    1     2   6.471607E+003   2.475459E+001 
    1     3   6.951587E+003   2.469788E+001 
    0     9   7.196995E+003   2.730525E+001 
    1     4   7.584601E+003   2.460761E+001 
    1     5   8.365297E+003   2.459714E+001 
    0    10   8.677322E+003   2.653252E+001 
    1     6   9.286624E+003   2.464667E+001 
    0    11   1.026179E+004   2.585305E+001 
    1     7   1.034152E+004   2.477162E+001 
    1     8   1.152183E+004   2.487842E+001 
    2     0   1.163573E+004   2.364774E+001 
    2     1   1.178951E+004   2.366493E+001 
    0    12   1.194031E+004   2.519667E+001 
    2     2   1.209524E+004   2.353781E+001 
    2     3   1.255050E+004   2.349027E+001 
    1     9   1.281752E+004   2.492455E+001 
    2     4   1.315072E+004   2.335648E+001 
    0    13   1.370318E+004   2.464292E+001 
    2     5   1.389070E+004   2.328648E+001 
    1    10   1.422111E+004   2.484582E+001 
    2     6   1.476414E+004   2.322054E+001 
    0    14   1.554025E+004   2.408797E+001 
    1    11   1.572229E+004   2.466412E+001 
    2     7   1.576338E+004   2.321744E+001 
    2     8   1.688055E+004   2.325096E+001 
    3     0   1.695284E+004   2.274394E+001 
    3     1   1.709837E+004   2.275516E+001 
    1    12   1.731122E+004   2.436479E+001 
    3     2   1.738779E+004   2.263305E+001 
    0    15   1.744391E+004   2.364791E+001 
    3     3   1.781869E+004   2.260764E+001 
    2     9   1.810741E+004   2.331849E+001 
    3     4   1.838652E+004   2.244654E+001 
    1    13   1.897972E+004   2.401785E+001 
    3     5   1.908649E+004   2.237514E+001 
    0    16   1.940345E+004   2.316540E+001 
    2    10   1.943491E+004   2.336160E+001 
    3     6   1.991225E+004   2.227934E+001 
    1    14   2.071785E+004   2.359003E+001 
    2    11   2.085383E+004   2.332203E+001 
    3     7   2.085653E+004   2.221729E+001 
    0    17   2.141168E+004   2.280817E+001 
    3     8   2.191171E+004   2.219687E+001 
    4     0   2.194278E+004   2.196000E+001 
    4     1   2.208004E+004   2.196239E+001 
    4     2   2.235326E+004   2.185670E+001 
    2    12   2.235535E+004   2.324896E+001 
    1    15   2.251712E+004   2.319166E+001 
    4     3   2.275983E+004   2.189724E+001 
    3     9   2.306999E+004   2.221141E+001 
    4     4   2.329564E+004   2.167237E+001 
    0    18   2.345990E+004   2.235738E+001 
    2    13   2.393080E+004   2.300122E+001 
    4     5   2.395581E+004   2.165353E+001 
    3    10   2.432262E+004   2.218738E+001 
    1    16   2.436840E+004   2.272023E+001 
    4     6   2.473404E+004   2.151241E+001 
    0    19   2.553963E+004   2.205243E+001 
    2    14   2.557053E+004   2.277279E+001 
    4     7   2.562381E+004   2.141833E+001 
    3    11   2.565988E+004   2.220671E+001 
    1    17   2.626369E+004   2.234150E+001 
    5     0   2.660677E+004   2.130101E+001 
    4     8   2.661704E+004   2.135280E+001 
    5     1   2.673596E+004   2.128406E+001 
    5     2   2.699289E+004   2.115850E+001 
    3    12   2.707418E+004   2.217624E+001 
    2    15   2.726625E+004   2.234712E+001 
    5     3   2.737523E+004   2.110452E+001 
    0    20   2.764451E+004   2.159644E+001 
    4     9   2.770677E+004   2.133013E+001 
    5     4   2.787879E+004   2.096783E+001 
    1    18   2.819486E+004   2.184895E+001 
    5     5   2.849899E+004   2.091918E+001 
    3    13   2.855661E+004   2.207478E+001 
    4    10   2.888376E+004   2.125952E+001 
    2    16   2.900940E+004   2.203374E+001 
    5     6   2.922954E+004   2.079709E+001 
    0    21   2.976661E+004   2.131959E+001 
    5     7   3.006431E+004   2.066636E+001 
    3    14   3.009785E+004   2.189008E+001 
    4    11   3.013990E+004   2.129468E+001 
    1    19   3.015462E+004   2.155441E+001 
    2    17   3.079235E+004   2.138941E+001 
    6     0   3.094320E+004   2.066022E+001 
    5     8   3.099552E+004   2.062950E+001 
    6     1   3.106412E+004   2.063016E+001 
    6     2   3.130464E+004   2.042132E+001 
    4    12   3.146651E+004   2.123470E+001 
    6     3   3.166233E+004   2.039602E+001 
    3    15   3.169026E+004   2.164640E+001 
    0    22   3.190031E+004   2.080556E+001 
    5     9   3.201575E+004   2.056753E+001 
    6     4   3.213322E+004   2.023609E+001 
    1    20   3.213454E+004   2.093555E+001 
    2    18   3.260639E+004   2.108895E+001 
    6     5   3.271272E+004   2.075995E+001 
    4    13   3.285516E+004   2.114062E+001 
    5    10   3.311646E+004   2.056141E+001 
    3    16   3.332489E+004   2.122706E+001 
    6     6   3.339496E+004   2.009328E+001 
    0    23   3.403759E+004   2.052986E+001 
    1    21   3.412953E+004   2.069552E+001 
    6     7   3.417363E+004   2.008161E+001 
    5    11   3.428978E+004   2.053063E+001 
    4    14   3.429681E+004   2.098929E+001 
    2    19   3.444505E+004   1.979033E+001 
    7     0   3.494622E+004   2.019207E+001 
    3    17   3.499413E+004   2.085633E+001 
    6     8   3.504117E+004   2.007303E+001 
    7     1   3.505878E+004   1.988699E+001 
    7     2   3.528236E+004   1.985249E+001 
    5    12   3.552731E+004   2.052709E+001 
    7     3   3.561473E+004   1.982326E+001 
    4    15   3.578419E+004   2.086663E+001 
    6     9   3.599047E+004   2.006748E+001 
    7     4   3.605189E+004   1.978708E+001 
    1    22   3.613139E+004   1.993829E+001 
    0    24   3.617459E+004   1.990388E+001 
    2    20   3.629979E+004   2.017670E+001 
    7     5   3.658964E+004   1.975778E+001 
    3    18   3.668984E+004   2.037991E+001 
    5    13   3.682003E+004   2.034284E+001 
    6    10   3.701302E+004   2.001995E+001 
    7     6   3.722192E+004   1.971971E+001 
    4    16   3.730808E+004   2.043656E+001 
    7     7   3.794263E+004   1.970725E+001 
    6    11   3.810113E+004   2.001667E+001 
    1    23   3.813447E+004   1.974061E+001 
    5    14   3.815979E+004   2.029329E+001 
    2    21   3.816475E+004   1.996051E+001 
    0    25   3.830484E+004   1.955163E+001 
    3    19   3.840503E+004   1.958561E+001 
    8     0   3.860553E+004   1.958325E+001 
    8     1   3.870915E+004   1.957250E+001 
    7     8   3.874438E+004   1.947456E+001 
    4    17   3.886111E+004   2.027943E+001 
    8     2   3.891514E+004   1.955286E+001 
    8     3   3.922109E+004   1.949019E+001 
