     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz        Tgrain       Teff_gr    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)        grad_V 
  5.290416159E+006   3.725486456E-008   3.726314525E-008   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000078E+001   9.999999995E+000   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123478E-017   7.126789493E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755908E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123478E-017 
  6.636915294E+006   4.673684885E-008   4.674723712E-008   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000098E+001   9.999999994E+000   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123515E-017   7.126789494E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755907E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123515E-017 
  8.807215196E+006   6.201999982E-008   6.203378511E-008   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000129E+001   9.999999992E+000   2.417800060E+004   2.078707727E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123576E-017   7.126789495E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755907E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123576E-017 
  1.254060568E+007   8.831036200E-008   8.832999088E-008   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000184E+001   9.999999988E+000   2.417800060E+004   2.078707727E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123682E-017   7.126789498E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755906E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123682E-017 
  1.833944291E+007   1.291455041E-007   1.291742095E-007   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   9.999999999E+000   1.000000269E+001   9.999999983E+000   2.417800060E+004   2.078707727E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123846E-017   7.126789502E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755905E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123846E-017 
  2.413828014E+007   1.699806462E-007   1.700184280E-007   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   9.999999999E+000   1.000000355E+001   9.999999977E+000   2.417800060E+004   2.078707727E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749124010E-017   7.126789506E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755904E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749124010E-017 
  3.486013237E+007   2.454834310E-007   2.455379950E-007   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   9.999999999E+000   1.000000512E+001   9.999999967E+000   2.417800060E+004   2.078707728E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749124313E-017   7.126789514E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755902E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749124313E-017 
  4.558198461E+007   3.209862158E-007   3.210575619E-007   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   9.999999998E+000   1.000000670E+001   9.999999957E+000   2.417800060E+004   2.078707728E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749124617E-017   7.126789522E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755900E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749124617E-017 
  6.355055859E+007   4.475200781E-007   4.476195491E-007   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   9.999999998E+000   1.000000934E+001   9.999999940E+000   2.417800060E+004   2.078707729E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749125124E-017   7.126789535E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755896E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749125124E-017 
  8.151913257E+007   5.740539405E-007   5.741815364E-007   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   9.999999997E+000   1.000001198E+001   9.999999922E+000   2.417800060E+004   2.078707730E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749125633E-017   7.126789548E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755892E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749125633E-017 
