    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.410612E+001 
    0     1   1.705020E+002   5.215859E+001 
    0     2   5.098500E+002   4.544007E+001 
    0     3   1.015153E+003   4.449979E+001 
    0     4   1.681678E+003   4.359178E+001 
    0     5   2.503870E+003   4.257698E+001 
    0     6   3.474434E+003   4.126691E+001 
    0     7   4.586377E+003   3.953968E+001 
    0     8   5.829758E+003   3.738635E+001 
    1     0   5.987124E+003   3.362166E+001 
    1     1   6.149208E+003   3.329648E+001 
    1     2   6.471607E+003   3.318310E+001 
    1     3   6.951587E+003   3.264333E+001 
    0     9   7.196995E+003   3.487289E+001 
    1     4   7.584601E+003   3.219951E+001 
    1     5   8.365297E+003   3.150722E+001 
    0    10   8.677322E+003   3.255158E+001 
    1     6   9.286624E+003   3.093464E+001 
    0    11   1.026179E+004   3.085450E+001 
    1     7   1.034152E+004   3.029752E+001 
    1     8   1.152183E+004   2.985052E+001 
    2     0   1.163573E+004   2.996339E+001 
    2     1   1.178951E+004   2.959595E+001 
    0    12   1.194031E+004   2.990730E+001 
    2     2   1.209524E+004   2.952338E+001 
    2     3   1.255050E+004   2.898378E+001 
    1     9   1.281752E+004   2.952860E+001 
    2     4   1.315072E+004   2.864991E+001 
    0    13   1.370318E+004   2.893454E+001 
    2     5   1.389070E+004   2.808784E+001 
    1    10   1.422111E+004   2.909633E+001 
    2     6   1.476414E+004   2.785526E+001 
    0    14   1.554025E+004   2.800596E+001 
    1    11   1.572229E+004   2.848364E+001 
    2     7   1.576338E+004   2.747037E+001 
    2     8   1.688055E+004   2.727482E+001 
    3     0   1.695284E+004   2.715029E+001 
    3     1   1.709837E+004   2.707017E+001 
    1    12   1.731122E+004   2.797858E+001 
    3     2   1.738779E+004   2.716204E+001 
    0    15   1.744391E+004   2.708244E+001 
    3     3   1.781869E+004   2.690372E+001 
    2     9   1.810741E+004   2.726234E+001 
    3     4   1.838652E+004   2.614081E+001 
    1    13   1.897972E+004   2.716023E+001 
    3     5   1.908649E+004   2.602916E+001 
    0    16   1.940345E+004   2.612739E+001 
    2    10   1.943491E+004   2.696476E+001 
    3     6   1.991225E+004   2.595117E+001 
    1    14   2.071785E+004   2.653508E+001 
    2    11   2.085383E+004   2.672474E+001 
    3     7   2.085653E+004   2.588137E+001 
    0    17   2.141168E+004   2.529478E+001 
    3     8   2.191171E+004   2.551244E+001 
    4     0   2.194278E+004   2.547229E+001 
    4     1   2.208004E+004   2.572376E+001 
    4     2   2.235326E+004   2.560405E+001 
    2    12   2.235535E+004   2.613225E+001 
    1    15   2.251712E+004   2.548419E+001 
    4     3   2.275983E+004   2.515361E+001 
    3     9   2.306999E+004   2.555252E+001 
    4     4   2.329564E+004   2.465308E+001 
    0    18   2.345990E+004   2.459605E+001 
    2    13   2.393080E+004   2.603090E+001 
    4     5   2.395581E+004   2.501639E+001 
    3    10   2.432262E+004   2.516823E+001 
    1    16   2.436840E+004   2.487410E+001 
    4     6   2.473404E+004   2.475996E+001 
    0    19   2.553963E+004   2.402095E+001 
    2    14   2.557053E+004   2.513254E+001 
    4     7   2.562381E+004   2.402411E+001 
    3    11   2.565988E+004   2.473888E+001 
    1    17   2.626369E+004   2.455935E+001 
    5     0   2.660677E+004   2.494963E+001 
    4     8   2.661704E+004   2.462778E+001 
    5     1   2.673596E+004   2.378499E+001 
    5     2   2.699289E+004   2.432311E+001 
    3    12   2.707418E+004   2.505589E+001 
    2    15   2.726625E+004   2.475325E+001 
    5     3   2.737523E+004   2.393397E+001 
    0    20   2.764451E+004   2.359298E+001 
    4     9   2.770677E+004   2.393003E+001 
    5     4   2.787879E+004   2.369428E+001 
    1    18   2.819486E+004   2.376493E+001 
    5     5   2.849899E+004   2.357595E+001 
    3    13   2.855661E+004   2.434974E+001 
    4    10   2.888376E+004   2.390317E+001 
    2    16   2.900940E+004   2.376690E+001 
    5     6   2.922954E+004   2.354732E+001 
    0    21   2.976661E+004   2.318958E+001 
    5     7   3.006431E+004   2.292429E+001 
    3    14   3.009785E+004   2.404973E+001 
    4    11   3.013990E+004   2.393660E+001 
    1    19   3.015462E+004   2.356987E+001 
    2    17   3.079235E+004   2.352891E+001 
    6     0   3.094320E+004   2.341750E+001 
    5     8   3.099552E+004   2.280813E+001 
    6     1   3.106412E+004   2.304853E+001 
    6     2   3.130464E+004   2.352761E+001 
    4    12   3.146651E+004   2.329805E+001 
    6     3   3.166233E+004   2.299369E+001 
    3    15   3.169026E+004   2.368768E+001 
    0    22   3.190031E+004   2.255473E+001 
    5     9   3.201575E+004   2.307102E+001 
    6     4   3.213322E+004   2.240145E+001 
    1    20   3.213454E+004   2.263586E+001 
    2    18   3.260639E+004   2.241609E+001 
    6     5   3.271272E+004   2.356228E+001 
    4    13   3.285516E+004   2.335377E+001 
    5    10   3.311646E+004   2.250407E+001 
    3    16   3.332489E+004   2.305478E+001 
    6     6   3.339496E+004   2.199892E+001 
    0    23   3.403759E+004   2.237504E+001 
    1    21   3.412953E+004   2.251977E+001 
    6     7   3.417363E+004   2.236227E+001 
    5    11   3.428978E+004   2.319405E+001 
    4    14   3.429681E+004   2.301825E+001 
    2    19   3.444505E+004   2.154042E+001 
