    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   6.853592E+001 
    0     1   1.705020E+002   6.108527E+001 
    0     2   5.098500E+002   4.244310E+001 
    0     3   1.015153E+003   4.236064E+001 
    0     4   1.681678E+003   4.343548E+001 
    0     5   2.503870E+003   4.414862E+001 
    0     6   3.474434E+003   4.337212E+001 
    0     7   4.586377E+003   4.240499E+001 
    0     8   5.829758E+003   4.145601E+001 
    1     0   5.987124E+003   3.896488E+001 
    1     1   6.149208E+003   3.862828E+001 
    1     2   6.471607E+003   3.811939E+001 
    1     3   6.951587E+003   3.796967E+001 
    0     9   7.196995E+003   4.066336E+001 
    1     4   7.584601E+003   3.791714E+001 
    1     5   8.365297E+003   3.797842E+001 
    0    10   8.677322E+003   3.985750E+001 
    1     6   9.286624E+003   3.801068E+001 
    0    11   1.026179E+004   3.921464E+001 
    1     7   1.034152E+004   3.813910E+001 
    1     8   1.152183E+004   3.823858E+001 
    2     0   1.163573E+004   3.707262E+001 
    2     1   1.178951E+004   3.732411E+001 
    0    12   1.194031E+004   3.850855E+001 
    2     2   1.209524E+004   3.694255E+001 
    2     3   1.255050E+004   3.689605E+001 
    1     9   1.281752E+004   3.827686E+001 
    2     4   1.315072E+004   3.672002E+001 
    0    13   1.370318E+004   3.800958E+001 
    2     5   1.389070E+004   3.668044E+001 
    1    10   1.422111E+004   3.819775E+001 
    2     6   1.476414E+004   3.657325E+001 
    0    14   1.554025E+004   3.738355E+001 
    1    11   1.572229E+004   3.800822E+001 
    2     7   1.576338E+004   3.659866E+001 
    2     8   1.688055E+004   3.661581E+001 
    3     0   1.695284E+004   3.636577E+001 
    3     1   1.709837E+004   3.654730E+001 
    1    12   1.731122E+004   3.770826E+001 
    3     2   1.738779E+004   3.601928E+001 
    0    15   1.744391E+004   3.702242E+001 
    3     3   1.781869E+004   3.589383E+001 
    2     9   1.810741E+004   3.667614E+001 
    3     4   1.838652E+004   3.580470E+001 
    1    13   1.897972E+004   3.735390E+001 
    3     5   1.908649E+004   3.582190E+001 
    0    16   1.940345E+004   3.643851E+001 
    2    10   1.943491E+004   3.671012E+001 
    3     6   1.991225E+004   3.561534E+001 
    1    14   2.071785E+004   3.692601E+001 
    2    11   2.085383E+004   3.665593E+001 
    3     7   2.085653E+004   3.560482E+001 
    0    17   2.141168E+004   3.619059E+001 
    3     8   2.191171E+004   3.556137E+001 
    4     0   2.194278E+004   3.539455E+001 
    4     1   2.208004E+004   3.533563E+001 
    4     2   2.235326E+004   3.528633E+001 
    2    12   2.235535E+004   3.656478E+001 
    1    15   2.251712E+004   3.652356E+001 
    4     3   2.275983E+004   3.552334E+001 
    3     9   2.306999E+004   3.557478E+001 
    4     4   2.329564E+004   3.504791E+001 
    0    18   2.345990E+004   3.559489E+001 
    2    13   2.393080E+004   3.629567E+001 
    4     5   2.395581E+004   3.516629E+001 
    3    10   2.432262E+004   3.555999E+001 
    1    16   2.436840E+004   3.605106E+001 
    4     6   2.473404E+004   3.482576E+001 
    0    19   2.553963E+004   3.544444E+001 
    2    14   2.557053E+004   3.603728E+001 
    4     7   2.562381E+004   3.486197E+001 
    3    11   2.565988E+004   3.556419E+001 
    1    17   2.626369E+004   3.567702E+001 
    5     0   2.660677E+004   3.469054E+001 
    4     8   2.661704E+004   3.470962E+001 
    5     1   2.673596E+004   3.463115E+001 
    5     2   2.699289E+004   3.470969E+001 
    3    12   2.707418E+004   3.554318E+001 
    2    15   2.726625E+004   3.556827E+001 
    5     3   2.737523E+004   3.453489E+001 
    0    20   2.764451E+004   3.476549E+001 
    4     9   2.770677E+004   3.470901E+001 
    5     4   2.787879E+004   3.433694E+001 
    1    18   2.819486E+004   3.519518E+001 
    5     5   2.849899E+004   3.434805E+001 
    3    13   2.855661E+004   3.541966E+001 
    4    10   2.888376E+004   3.463452E+001 
    2    16   2.900940E+004   3.519066E+001 
    5     6   2.922954E+004   3.407704E+001 
    0    21   2.976661E+004   3.472218E+001 
    5     7   3.006431E+004   3.407115E+001 
    3    14   3.009785E+004   3.524900E+001 
    4    11   3.013990E+004   3.466637E+001 
    1    19   3.015462E+004   3.491946E+001 
    2    17   3.079235E+004   3.441874E+001 
    6     0   3.094320E+004   3.404142E+001 
    5     8   3.099552E+004   3.394522E+001 
    6     1   3.106412E+004   3.394803E+001 
    6     2   3.130464E+004   3.385862E+001 
    4    12   3.146651E+004   3.460044E+001 
    6     3   3.166233E+004   3.379452E+001 
    3    15   3.169026E+004   3.494882E+001 
    0    22   3.190031E+004   3.368714E+001 
    5     9   3.201575E+004   3.393858E+001 
    6     4   3.213322E+004   3.361632E+001 
    1    20   3.213454E+004   3.427481E+001 
    2    18   3.260639E+004   3.386878E+001 
    6     5   3.271272E+004   3.492179E+001 
    4    13   3.285516E+004   3.451111E+001 
    5    10   3.311646E+004   3.392558E+001 
    3    16   3.332489E+004   3.458002E+001 
    6     6   3.339496E+004   3.344603E+001 
    0    23   3.403759E+004   3.394309E+001 
    1    21   3.412953E+004   3.407583E+001 
    6     7   3.417363E+004   3.345658E+001 
    5    11   3.428978E+004   3.378332E+001 
    4    14   3.429681E+004   3.431353E+001 
    2    19   3.444505E+004   2.947363E+001 
    7     0   3.494622E+004   3.491529E+001 
    3    17   3.499413E+004   3.401572E+001 
    6     8   3.504117E+004   3.343902E+001 
    7     1   3.505878E+004   3.326152E+001 
    7     2   3.528236E+004   3.324197E+001 
    5    12   3.552731E+004   3.389403E+001 
    7     3   3.561473E+004   3.318685E+001 
    4    15   3.578419E+004   3.421523E+001 
    6     9   3.599047E+004   3.344780E+001 
    7     4   3.605189E+004   3.319387E+001 
    1    22   3.613139E+004   3.331881E+001 
    0    24   3.617459E+004   3.166444E+001 
    2    20   3.629979E+004   3.352392E+001 
    7     5   3.658964E+004   3.313272E+001 
    3    18   3.668984E+004   3.373473E+001 
    5    13   3.682003E+004   3.368141E+001 
    6    10   3.701302E+004   3.339548E+001 
    7     6   3.722192E+004   3.299888E+001 
    4    16   3.730808E+004   3.378318E+001 
    7     7   3.794263E+004   3.307801E+001 
    6    11   3.810113E+004   3.339589E+001 
    1    23   3.813447E+004   3.312051E+001 
    5    14   3.815979E+004   3.367288E+001 
    2    21   3.816475E+004   3.333912E+001 
    0    25   3.830484E+004   3.288517E+001 
    3    19   3.840503E+004   3.008799E+001 
    8     0   3.860553E+004   3.296376E+001 
    8     1   3.870915E+004   3.295306E+001 
    7     8   3.874438E+004   3.129328E+001 
    4    17   3.886111E+004   3.364142E+001 
    8     2   3.891514E+004   3.293303E+001 
    8     3   3.922109E+004   3.247702E+001 
