     distance         timeN            Tn            nH          n(H)         n(H2)         n(He)          n(C)         n(CH)        n(CH2)        n(CH3)        n(CH4)          n(O)         n(O2)         n(OH)        n(H2O)         n(CO)        n(CO2)         n(C2)        n(C2H)       n(C2H2)         n(C3)        n(C3H)       n(C3H2)      n(CH3OH)       n(H2CO)      n(HCO2H)          n(N)         n(NH)        n(NH2)        n(NH3)         n(CN)        n(HCN)        n(HNC)         n(N2)         n(NO)          n(S)         n(SH)        n(H2S)         n(CS)         n(SO)        n(SO2)        n(OCS)         n(Si)        n(SiH)       n(SiH2)       n(SiH3)       n(SiH4)        n(SiO)       n(SiO2)         n(Mg)         n(Fe)     n(C54H18)          n(G)       n(H2O*)        n(O2*)        n(CO*)       n(CO2*)       n(CH4*)       n(NH3*)        n(N2*)     n(CH3OH*)      n(H2CO*)     n(HCO2H*)       n(OCS*)       n(H2S*)        n(Fe*)      n(SiH4*)       n(SiO*)      n(SiO2*)        n(O**)       n(Si**)       n(Mg**)       n(Fe**)        n(C**)         n(H+)        n(H2+)        n(H3+)        n(He+)         n(C+)        n(CH+)       n(CH2+)       n(CH3+)       n(CH4+)       n(CH5+)         n(O+)        n(O2+)        n(OH+)       n(H2O+)       n(H3O+)        n(CO+)       n(HCO+)      n(HCO2+)        n(C2+)       n(C2H+)      n(C2H2+)      n(C2H3+)        n(C3+)       n(C3H+)      n(C3H2+)      n(C3H3+)         n(N+)        n(NH+)       n(NH2+)       n(NH3+)       n(NH4+)        n(CN+)       n(C2N+)       n(HCN+)      n(H2CN+)      n(H2NC+)        n(N2+)       n(N2H+)        n(NO+)       n(HNO+)         n(S+)        n(SH+)       n(H2S+)       n(H3S+)        n(CS+)       n(HCS+)        n(SO+)       n(HSO+)      n(HSO2+)      n(HOCS+)        n(Si+)       n(SiH+)      n(SiH2+)      n(SiH3+)      n(SiH4+)      n(SiH5+)       n(SiO+)      n(SiOH+)        n(Fe+)    n(C54H18+)         n(G+)    n(C54H18-)         n(G-) 
  1.000000000E+005   3.168880661E-009   1.000000860E+001   1.000001267E+006   2.646002653E-001   5.000005012E+005   9.998010023E+004   1.026001029E-003   1.277001280E-008   1.077001080E-007   1.083001086E-007   1.429001433E-003   1.815001820E+001   1.068001071E+001   3.991004001E-004   4.203004213E-001   8.259008280E+001   1.151001154E-003   1.109001112E-006   6.537006553E-006   7.662007681E-006   2.183002188E-016   3.373003381E-013   4.315004326E-010   9.998022530E-011   9.998051707E-011   9.998058701E-011   6.253006269E+001   1.052001055E-007   7.893007913E-009   1.700001808E-008   1.319001322E-003   1.164001167E-002   1.431001435E-002   6.625006642E-001   2.265002271E-003   1.328001331E+001   2.107002112E-001   2.883002890E-001   6.023006038E-002   2.611002618E-001   5.940005955E-001   1.250001253E-005   9.288009310E-013   3.040003047E-018   2.331002337E-017   1.333001336E-017   3.574003583E-016   1.388001391E-009   1.075001078E-010   9.998010023E-011   1.480001484E-002   1.345001348E-001   4.088004098E-005   1.030001033E+002   1.109820808E-010   8.268008289E+000   1.340001343E+001   1.550001554E+000   1.550001554E+001   1.007095064E-010   1.860001865E+000   6.199006214E+000   7.239007257E+000   2.070002075E-001   3.719003728E+000   9.999164083E-011   9.998010023E-011   9.998010023E-011   9.998010023E-011   1.400001403E+002   3.369003377E+001   3.699003708E+001   3.229003237E+001   1.630001634E+002   1.751001755E-005   4.570004611E-009   2.418002424E-005   1.710001718E-006   4.683004697E-006   9.224009122E-013   4.931004956E-012   4.875004887E-008   1.903001909E-012   2.387002393E-009   7.483007619E-011   1.230001233E-005   7.980005185E-010   1.120001064E-009   2.677002684E-004   2.783002814E-011   4.343004354E-004   2.266002272E-009   3.697003626E-016   8.359008355E-016   3.615003624E-010   1.296001299E-008   2.041002045E-016   1.409001874E-014   3.609003618E-014   2.563002569E-010   2.593002599E-008   5.253386318E-018   2.702002721E-016   1.562001566E-013   6.711006728E-011   1.340001333E-013   9.726009750E-007   5.193005289E-012   1.793001798E-004   1.238001241E-013   1.192994679E-012   2.362002368E-007   1.627001631E-004   2.491002497E-009   2.057002062E-003   1.127001130E-004   5.345005358E-006   3.005003013E-004   2.786002785E-011   2.259002265E-006   4.002004012E-003   3.386003394E-004   6.516006532E-005   3.252003260E-008   4.457004468E-015   1.243001246E-016   3.858003868E-018   2.276002281E-017   9.999509954E-021   2.570007576E-019   5.412003911E-019   3.205003213E-012   1.990001995E-004   8.006008027E-005   2.086002100E-007   8.064008084E-003   5.244005261E-006 
  1.402304541E+005   4.443736636E-009   1.000001207E+001   1.000001672E+006   2.646003723E-001   5.000007036E+005   9.998014069E+004   1.026001444E-003   1.277001797E-008   1.077001516E-007   1.083001524E-007   1.429002011E-003   1.815002554E+001   1.068001503E+001   3.991005616E-004   4.203005915E-001   8.259011622E+001   1.151001620E-003   1.109001561E-006   6.537009199E-006   7.662010782E-006   2.183003072E-016   3.373004747E-013   4.315006072E-010   9.998031608E-011   9.998072523E-011   9.998082330E-011   6.253008799E+001   1.052001480E-007   7.893011107E-009   1.700002538E-008   1.319001856E-003   1.164001638E-002   1.431002014E-002   6.625009323E-001   2.265003187E-003   1.328001869E+001   2.107002965E-001   2.883004057E-001   6.023008476E-002   2.611003674E-001   5.940008359E-001   1.250001759E-005   9.288013068E-013   3.040004278E-018   2.331003280E-017   1.333001876E-017   3.574005029E-016   1.388001953E-009   1.075001513E-010   9.998014069E-011   1.480002083E-002   1.345001893E-001   4.088005752E-005   1.030001449E+002   1.154082818E-010   8.268011635E+000   1.340001886E+001   1.550002181E+000   1.550002181E+001   1.010029912E-010   1.860002617E+000   6.199008723E+000   7.239010187E+000   2.070002913E-001   3.719005233E+000   9.999632414E-011   9.998014069E-011   9.998014070E-011   9.998014069E-011   1.400001970E+002   3.369004741E+001   3.699005205E+001   3.229004544E+001   1.630002294E+002   1.751002464E-005   4.570006473E-009   2.418003403E-005   1.710002411E-006   4.683006593E-006   9.224012805E-013   4.931006957E-012   4.875006860E-008   1.903002680E-012   2.387003359E-009   7.483010695E-011   1.230001731E-005   7.980007282E-010   1.120001494E-009   2.677003767E-004   2.783003950E-011   4.343006112E-004   2.266003189E-009   3.697005090E-016   8.359011728E-016   3.615005087E-010   1.296001824E-008   2.041002870E-016   1.409002630E-014   3.609005079E-014   2.563003607E-010   2.593003649E-008   5.274460748E-018   2.702003829E-016   1.562002198E-013   6.711009445E-011   1.340001871E-013   9.726013687E-007   5.193007424E-012   1.793002523E-004   1.238001742E-013   1.192992540E-012   2.362003324E-007   1.627002290E-004   2.491003505E-009   2.057002895E-003   1.127001586E-004   5.345007522E-006   3.005004229E-004   2.786003909E-011   2.259003179E-006   4.002005632E-003   3.386004765E-004   6.516009169E-005   3.252004576E-008   4.457006272E-015   1.243001749E-016   3.858005429E-018   2.276003202E-017   9.999312826E-021   2.570010628E-019   5.412005492E-019   3.205004510E-012   1.990002800E-004   8.006011267E-005   2.086002948E-007   8.064011348E-003   5.244007385E-006 
  2.030074592E+005   6.433067443E-009   1.000001752E+001   1.000002305E+006   2.646005399E-001   5.000010202E+005   9.998020400E+004   1.026002093E-003   1.277002605E-008   1.077002197E-007   1.083002210E-007   1.429002916E-003   1.815003703E+001   1.068002179E+001   3.991008143E-004   4.203008576E-001   8.259016851E+001   1.151002348E-003   1.109002263E-006   6.537013338E-006   7.662015633E-006   2.183004454E-016   3.373006882E-013   4.315008804E-010   9.998045790E-011   9.998105022E-011   9.998119219E-011   6.253012758E+001   1.052002146E-007   7.893016105E-009   1.700003680E-008   1.319002691E-003   1.164002375E-002   1.431002920E-002   6.625013517E-001   2.265004621E-003   1.328002710E+001   2.107004299E-001   2.883005882E-001   6.023012289E-002   2.611005327E-001   5.940012120E-001   1.250002550E-005   9.288018948E-013   3.040006202E-018   2.331004756E-017   1.333002720E-017   3.574007292E-016   1.388002832E-009   1.075002193E-010   9.998020400E-011   1.480003020E-002   1.345002744E-001   4.088008340E-005   1.030002102E+002   1.223150962E-010   8.268016870E+000   1.340002734E+001   1.550003163E+000   1.550003163E+001   1.014609563E-010   1.860003795E+000   6.199012648E+000   7.239014770E+000   2.070004224E-001   3.719007588E+000   1.000036323E-010   9.998020400E-011   9.998020400E-011   9.998020400E-011   1.400002857E+002   3.369006874E+001   3.699007547E+001   3.229006588E+001   1.630003326E+002   1.751003572E-005   4.570009385E-009   2.418004934E-005   1.710003496E-006   4.683009559E-006   9.224018566E-013   4.931010088E-012   4.875009947E-008   1.903003886E-012   2.387004870E-009   7.483015506E-011   1.230002510E-005   7.980010567E-010   1.120002166E-009   2.677005462E-004   2.783005727E-011   4.343008862E-004   2.266004624E-009   3.697007380E-016   8.359017006E-016   3.615007376E-010   1.296002644E-008   2.041004161E-016   1.409003812E-014   3.609007364E-014   2.563005229E-010   2.593005291E-008   5.307345083E-018   2.702005573E-016   1.562003187E-013   6.711013694E-011   1.340002713E-013   9.726019845E-007   5.193010764E-012   1.793003658E-004   1.238002526E-013   1.192989204E-012   2.362004820E-007   1.627003320E-004   2.491005083E-009   2.057004197E-003   1.127002300E-004   5.345010906E-006   3.005006132E-004   2.786005667E-011   2.259004609E-006   4.002008166E-003   3.386006909E-004   6.516013295E-005   3.252006635E-008   4.457009094E-015   1.243002536E-016   3.858007872E-018   2.276004643E-017   9.999005246E-021   2.570015394E-019   5.412007968E-019   3.205006539E-012   1.990004060E-004   8.006016337E-005   2.086004275E-007   8.064016454E-003   5.244010707E-006 
  3.050509098E+005   9.666709265E-009   1.000002642E+001   1.000003338E+006   2.646008133E-001   5.000015369E+005   9.998030731E+004   1.026003154E-003   1.277003925E-008   1.077003310E-007   1.083003329E-007   1.429004392E-003   1.815005579E+001   1.068003283E+001   3.991012268E-004   4.203012919E-001   8.259025386E+001   1.151003538E-003   1.109003409E-006   6.537020093E-006   7.662023551E-006   2.183006710E-016   3.373010368E-013   4.315013263E-010   9.998068885E-011   9.998157890E-011   9.998179223E-011   6.253019220E+001   1.052003234E-007   7.893024261E-009   1.700005543E-008   1.319004054E-003   1.164003578E-002   1.431004399E-002   6.625020364E-001   2.265006962E-003   1.328004082E+001   2.107006476E-001   2.883008862E-001   6.023018513E-002   2.611008026E-001   5.940018258E-001   1.250003842E-005   9.288028545E-013   3.040009344E-018   2.331007165E-017   1.333004097E-017   3.574010986E-016   1.388004266E-009   1.075003304E-010   9.998030731E-011   1.480004549E-002   1.345004134E-001   4.088012564E-005   1.030003166E+002   1.335421018E-010   8.268025414E+000   1.340004119E+001   1.550004764E+000   1.550004764E+001   1.022053776E-010   1.860005717E+000   6.199019054E+000   7.239022251E+000   2.070006363E-001   3.719011431E+000   1.000155122E-010   9.998030731E-011   9.998030732E-011   9.998030731E-011   1.400004303E+002   3.369010355E+001   3.699011370E+001   3.229009925E+001   1.630005010E+002   1.751005382E-005   4.570014137E-009   2.418007433E-005   1.710005267E-006   4.683014400E-006   9.224027971E-013   4.931015197E-012   4.875014985E-008   1.903005854E-012   2.387007337E-009   7.483023359E-011   1.230003781E-005   7.980015941E-010   1.120003263E-009   2.677008229E-004   2.783008628E-011   4.343013350E-004   2.266006965E-009   3.697011119E-016   8.359025619E-016   3.615011112E-010   1.296003984E-008   2.041006269E-016   1.409005739E-014   3.609011093E-014   2.563007878E-010   2.593007970E-008   5.360795824E-018   2.702008447E-016   1.562004801E-013   6.711020630E-011   1.340004087E-013   9.726029896E-007   5.193016215E-012   1.793005511E-004   1.238003805E-013   1.192983787E-012   2.362007261E-007   1.627005001E-004   2.491007657E-009   2.057006323E-003   1.127003464E-004   5.345016429E-006   3.005009237E-004   2.786008538E-011   2.259006944E-006   4.002012301E-003   3.386010408E-004   6.516020029E-005   3.252009996E-008   4.457013700E-015   1.243003821E-016   3.858011859E-018   2.276006995E-017   9.998505337E-021   2.570023151E-019   5.412012015E-019   3.205009851E-012   1.990006117E-004   8.006024611E-005   2.086006439E-007   8.064024787E-003   5.244016130E-006 
  4.680848468E+005   1.483307775E-008   1.000004078E+001   1.000005000E+006   2.646012530E-001   5.000023678E+005   9.998047346E+004   1.026004859E-003   1.277006047E-008   1.077005100E-007   1.083005129E-007   1.429006767E-003   1.815008595E+001   1.068005058E+001   3.991018900E-004   4.203019904E-001   8.259039111E+001   1.151005451E-003   1.109005252E-006   6.537030956E-006   7.662036284E-006   2.183010338E-016   3.373015973E-013   4.315020434E-010   9.998105892E-011   9.998242465E-011   9.998275200E-011   6.253029612E+001   1.052004982E-007   7.893037378E-009   1.700008538E-008   1.319006246E-003   1.164005512E-002   1.431006777E-002   6.625031373E-001   2.265010726E-003   1.328006289E+001   2.107009978E-001   2.883013653E-001   6.023028522E-002   2.611012365E-001   5.940028129E-001   1.250005919E-005   9.288043978E-013   3.040014395E-018   2.331011039E-017   1.333006313E-017   3.574016925E-016   1.388006573E-009   1.075005091E-010   9.998047346E-011   1.480007009E-002   1.345006369E-001   4.088019357E-005   1.030004878E+002   1.514794978E-010   8.268039154E+000   1.340006346E+001   1.550007340E+000   1.550007340E+001   1.033947412E-010   1.860008808E+000   6.199029356E+000   7.239034281E+000   2.070009803E-001   3.719017612E+000   1.000344937E-010   9.998047346E-011   9.998047347E-011   9.998047346E-011   1.400006630E+002   3.369015954E+001   3.699017517E+001   3.229015291E+001   1.630007719E+002   1.751008291E-005   4.570021778E-009   2.418011451E-005   1.710008115E-006   4.683022185E-006   9.224043096E-013   4.931023413E-012   4.875023086E-008   1.903009019E-012   2.387011304E-009   7.483035986E-011   1.230005825E-005   7.980024614E-010   1.120005028E-009   2.677012678E-004   2.783013292E-011   4.343020567E-004   2.266010731E-009   3.697017132E-016   8.359039470E-016   3.615017119E-010   1.296006137E-008   2.041009658E-016   1.409008833E-014   3.609017091E-014   2.563012137E-010   2.593012279E-008   5.446187340E-018   2.702013139E-016   1.562007397E-013   6.711031783E-011   1.340006296E-013   9.726046059E-007   5.193024981E-012   1.793008491E-004   1.238005863E-013   1.192975146E-012   2.362011187E-007   1.627007705E-004   2.491011796E-009   2.057009741E-003   1.127005337E-004   5.345025312E-006   3.005014231E-004   2.786013154E-011   2.259010698E-006   4.002018952E-003   3.386016035E-004   6.516030857E-005   3.252015400E-008   4.457021108E-015   1.243005887E-016   3.858018270E-018   2.276010776E-017   9.997706796E-021   2.570035572E-019   5.412018539E-019   3.205015178E-012   1.990009424E-004   8.006037917E-005   2.086009921E-007   8.064038188E-003   5.244024851E-006 
  7.167891701E+005   2.271426441E-008   1.000006302E+001   1.000007561E+006   2.646019306E-001   5.000036481E+005   9.998072948E+004   1.026007486E-003   1.277009317E-008   1.077007858E-007   1.083007902E-007   1.429010426E-003   1.815013243E+001   1.068007792E+001   3.991029120E-004   4.203030666E-001   8.259060260E+001   1.151008398E-003   1.109008091E-006   6.537047696E-006   7.662055904E-006   2.183015928E-016   3.373024610E-013   4.315031483E-010   9.998162600E-011   9.998371739E-011   9.998421867E-011   6.253045623E+001   1.052007676E-007   7.893057589E-009   1.700013151E-008   1.319009624E-003   1.164008493E-002   1.431010441E-002   6.625048338E-001   2.265016526E-003   1.328009689E+001   2.107015373E-001   2.883021035E-001   6.023043945E-002   2.611019050E-001   5.940043340E-001   1.250009120E-005   9.288067758E-013   3.040022180E-018   2.331017007E-017   1.333009726E-017   3.574026077E-016   1.388010127E-009   1.075007843E-010   9.998072948E-011   1.480010798E-002   1.345009813E-001   4.088029824E-005   1.030007515E+002   1.788428150E-010   8.268060326E+000   1.340009777E+001   1.550011309E+000   1.550011309E+001   1.052091059E-010   1.860013571E+000   6.199045229E+000   7.239052818E+000   2.070015103E-001   3.719027135E+000   1.000634524E-010   9.998072948E-011   9.998072949E-011   9.998072948E-011   1.400010215E+002   3.369024581E+001   3.699026989E+001   3.229023560E+001   1.630011893E+002   1.751012775E-005   4.570033548E-009   2.418017643E-005   1.710012503E-006   4.683034181E-006   9.224066404E-013   4.931036072E-012   4.875035570E-008   1.903013896E-012   2.387017416E-009   7.483055439E-011   1.230008975E-005   7.980038048E-010   1.120007750E-009   2.677019533E-004   2.783020479E-011   4.343031689E-004   2.266016533E-009   3.697026399E-016   8.359060813E-016   3.615026376E-010   1.296009456E-008   2.041014881E-016   1.409013589E-014   3.609026332E-014   2.563018700E-010   2.593018919E-008   5.576435241E-018   2.702020537E-016   1.562011397E-013   6.711048969E-011   1.340009701E-013   9.726070964E-007   5.193038485E-012   1.793013082E-004   1.238009033E-013   1.192961996E-012   2.362017235E-007   1.627011871E-004   2.491018175E-009   2.057015009E-003   1.127008223E-004   5.345038999E-006   3.005021926E-004   2.786020267E-011   2.259016483E-006   4.002029200E-003   3.386024705E-004   6.516047543E-005   3.252023728E-008   4.457032521E-015   1.243009070E-016   3.858028149E-018   2.276016604E-017   9.996489013E-021   2.570054585E-019   5.412028631E-019   3.205023385E-012   1.990014520E-004   8.006058420E-005   2.086015285E-007   8.064058837E-003   5.244038289E-006 
  9.654934934E+005   3.059547138E-008   1.000008564E+001   1.000010152E+006   2.646026163E-001   5.000049439E+005   9.998098858E+004   1.026010145E-003   1.277012626E-008   1.077010649E-007   1.083010708E-007   1.429014130E-003   1.815017946E+001   1.068010560E+001   3.991039463E-004   4.203041558E-001   8.259081663E+001   1.151011381E-003   1.109010966E-006   6.537064637E-006   7.662075760E-006   2.183021585E-016   3.373033351E-013   4.315042666E-010   9.998219617E-011   9.998501323E-011   9.998568844E-011   6.253061828E+001   1.052010402E-007   7.893078044E-009   1.700017816E-008   1.319013042E-003   1.164011509E-002   1.431014149E-002   6.625065507E-001   2.265022396E-003   1.328013131E+001   2.107020834E-001   2.883028507E-001   6.023059554E-002   2.611025817E-001   5.940058734E-001   1.250012360E-005   9.288091825E-013   3.040030058E-018   2.331023048E-017   1.333013181E-017   3.574035339E-016   1.388013724E-009   1.075010629E-010   9.998098858E-011   1.480014634E-002   1.345013299E-001   4.088040417E-005   1.030010184E+002   2.062064502E-010   8.268081753E+000   1.340013250E+001   1.550015326E+000   1.550015326E+001   1.070234945E-010   1.860018391E+000   6.199061295E+000   7.239071578E+000   2.070020468E-001   3.719036773E+000   1.000924145E-010   9.998098858E-011   9.998098860E-011   9.998098859E-011   1.400013843E+002   3.369033312E+001   3.699036575E+001   3.229031928E+001   1.630016117E+002   1.751017312E-005   4.570045456E-009   2.418023910E-005   1.710016943E-006   4.683046322E-006   9.224089998E-013   4.931048883E-012   4.875048204E-008   1.903018832E-012   2.387023602E-009   7.483075124E-011   1.230012162E-005   7.980051729E-010   1.120010506E-009   2.677026471E-004   2.783027751E-011   4.343042944E-004   2.266022406E-009   3.697035780E-016   8.359082415E-016   3.615035745E-010   1.296012815E-008   2.041020166E-016   1.409018388E-014   3.609035686E-014   2.563025342E-010   2.593025639E-008   5.706665369E-018   2.702028224E-016   1.562015445E-013   6.711066362E-011   1.340013148E-013   9.726096170E-007   5.193052149E-012   1.793017729E-004   1.238012241E-013   1.192948885E-012   2.362023357E-007   1.627016088E-004   2.491024631E-009   2.057020340E-003   1.127011144E-004   5.345052851E-006   3.005029714E-004   2.786027467E-011   2.259022337E-006   4.002039571E-003   3.386033480E-004   6.516064429E-005   3.252032156E-008   4.457044072E-015   1.243012291E-016   3.858038148E-018   2.276022501E-017   9.995271682E-021   2.570073676E-019   5.412038889E-019   3.205031691E-012   1.990019677E-004   8.006079171E-005   2.086020713E-007   8.064079736E-003   5.244051888E-006 
  1.359186728E+006   4.307128325E-008   1.000012228E+001   1.000014318E+006   2.646037185E-001   5.000070267E+005   9.998140506E+004   1.026014419E-003   1.277017946E-008   1.077015135E-007   1.083015220E-007   1.429020082E-003   1.815025507E+001   1.068015009E+001   3.991056088E-004   4.203059066E-001   8.259116067E+001   1.151016175E-003   1.109015585E-006   6.537091867E-006   7.662107677E-006   2.183030678E-016   3.373047402E-013   4.315060640E-010   9.998310507E-011   9.998707084E-011   9.998802139E-011   6.253087876E+001   1.052014784E-007   7.893110923E-009   1.700025307E-008   1.319018536E-003   1.164016358E-002   1.431020110E-002   6.625093104E-001   2.265031831E-003   1.328018663E+001   2.107029610E-001   2.883040516E-001   6.023084644E-002   2.611036693E-001   5.940083477E-001   1.250017567E-005   9.288130510E-013   3.040042720E-018   2.331032758E-017   1.333018733E-017   3.574050227E-016   1.388019506E-009   1.075015107E-010   9.998140506E-011   1.480020799E-002   1.345018902E-001   4.088057444E-005   1.030014475E+002   2.495231028E-010   8.268116195E+000   1.340018832E+001   1.550021783E+000   1.550021783E+001   1.098956792E-010   1.860026139E+000   6.199087117E+000   7.239101733E+000   2.070029091E-001   3.719052265E+000   1.001382678E-010   9.998140506E-011   9.998140508E-011   9.998140506E-011   1.400019675E+002   3.369047346E+001   3.699051984E+001   3.229045378E+001   1.630022907E+002   1.751024606E-005   4.570064589E-009   2.418033983E-005   1.710024080E-006   4.683065837E-006   9.224127929E-013   4.931069475E-012   4.875068511E-008   1.903026766E-012   2.387033545E-009   7.483106756E-011   1.230017286E-005   7.980073893E-010   1.120014939E-009   2.677037623E-004   2.783039439E-011   4.343061036E-004   2.266031845E-009   3.697050865E-016   8.359117138E-016   3.615050804E-010   1.296018213E-008   2.041028662E-016   1.409026075E-014   3.609050719E-014   2.563036019E-010   2.593036440E-008   5.912780611E-018   2.702040984E-016   1.562021951E-013   6.711094319E-011   1.340018688E-013   9.726136685E-007   5.193074108E-012   1.793025198E-004   1.238017398E-013   1.192928208E-012   2.362033197E-007   1.627022865E-004   2.491035007E-009   2.057028908E-003   1.127015838E-004   5.345075116E-006   3.005042232E-004   2.786039039E-011   2.259031748E-006   4.002056242E-003   3.386047585E-004   6.516091573E-005   3.252045702E-008   4.457062639E-015   1.243017469E-016   3.858054219E-018   2.276031980E-017   9.993345594E-021   2.570104055E-019   5.412055471E-019   3.205045042E-012   1.990027967E-004   8.006112524E-005   2.086029438E-007   8.064113328E-003   5.244073747E-006 
  1.752879963E+006   5.554714757E-008   1.000015993E+001   1.000018561E+006   2.646048412E-001   5.000091482E+005   9.998182928E+004   1.026018772E-003   1.277023364E-008   1.077019705E-007   1.083019815E-007   1.429026146E-003   1.815033208E+001   1.068019541E+001   3.991073022E-004   4.203076900E-001   8.259151110E+001   1.151021059E-003   1.109020291E-006   6.537119604E-006   7.662140187E-006   2.183039941E-016   3.373061714E-013   4.315078949E-010   9.998402171E-011   9.998913622E-011   9.999036210E-011   6.253114407E+001   1.052019248E-007   7.893144413E-009   1.700032931E-008   1.319024133E-003   1.164021297E-002   1.431026182E-002   6.625121214E-001   2.265041441E-003   1.328024298E+001   2.107038551E-001   2.883052749E-001   6.023110199E-002   2.611047772E-001   5.940108681E-001   1.250022871E-005   9.288169914E-013   3.040055619E-018   2.331042649E-017   1.333024389E-017   3.574065391E-016   1.388025395E-009   1.075019669E-010   9.998182928E-011   1.480027079E-002   1.345024609E-001   4.088074788E-005   1.030018845E+002   2.928405650E-010   8.268151277E+000   1.340024517E+001   1.550028359E+000   1.550028360E+001   1.127679256E-010   1.860034031E+000   6.199113420E+000   7.239132448E+000   2.070037874E-001   3.719068045E+000   1.001841297E-010   9.998182928E-011   9.998182930E-011   9.998182928E-011   1.400025615E+002   3.369061641E+001   3.699067679E+001   3.229059079E+001   1.630029823E+002   1.751032035E-005   4.570084068E-009   2.418044244E-005   1.710031350E-006   4.683085714E-006   9.224166575E-013   4.931090449E-012   4.875089196E-008   1.903034847E-012   2.387043674E-009   7.483138969E-011   1.230022505E-005   7.980096677E-010   1.120019459E-009   2.677048983E-004   2.783051343E-011   4.343079464E-004   2.266041460E-009   3.697066235E-016   8.359152509E-016   3.615066142E-010   1.296023712E-008   2.041037316E-016   1.409033871E-014   3.609066032E-014   2.563046893E-010   2.593047443E-008   6.118852041E-018   2.702054467E-016   1.562028579E-013   6.711122796E-011   1.340024332E-013   9.726177953E-007   5.193096469E-012   1.793032806E-004   1.238022651E-013   1.192907628E-012   2.362043220E-007   1.627029768E-004   2.491045577E-009   2.057037636E-003   1.127020620E-004   5.345097795E-006   3.005054982E-004   2.786050827E-011   2.259041333E-006   4.002073223E-003   3.386061952E-004   6.516119220E-005   3.252059501E-008   4.457081551E-015   1.243022743E-016   3.858070589E-018   2.276041636E-017   9.991420636E-021   2.570134631E-019   5.412072472E-019   3.205058641E-012   1.990036410E-004   8.006146498E-005   2.086038324E-007   8.064147544E-003   5.244096013E-006 
  2.283608222E+006   7.236564115E-008   1.000021234E+001   1.000024404E+006   2.646063871E-001   5.000120695E+005   9.998241341E+004   1.026024766E-003   1.277030824E-008   1.077025997E-007   1.083026142E-007   1.429034494E-003   1.815043812E+001   1.068025780E+001   3.991096340E-004   4.203101456E-001   8.259199363E+001   1.151027784E-003   1.109026770E-006   6.537157796E-006   7.662184952E-006   2.183052695E-016   3.373081420E-013   4.315104159E-010   9.998526969E-011   9.999193280E-011   9.999352986E-011   6.253150941E+001   1.052025394E-007   7.893190528E-009   1.700043416E-008   1.319031839E-003   1.164028098E-002   1.431034543E-002   6.625159920E-001   2.265054675E-003   1.328032056E+001   2.107050861E-001   2.883069592E-001   6.023145389E-002   2.611063027E-001   5.940143385E-001   1.250030174E-005   9.288224172E-013   3.040073379E-018   2.331056267E-017   1.333032177E-017   3.574086272E-016   1.388033505E-009   1.075025949E-010   9.998241341E-011   1.480035726E-002   1.345032467E-001   4.088098669E-005   1.030024863E+002   3.512370897E-010   8.268199583E+000   1.340032346E+001   1.550037415E+000   1.550037416E+001   1.166400307E-010   1.860044898E+000   6.199149637E+000   7.239174742E+000   2.070049968E-001   3.719089773E+000   1.002459687E-010   9.998241341E-011   9.998241344E-011   9.998241341E-011   1.400033795E+002   3.369081324E+001   3.699089290E+001   3.229077945E+001   1.630039346E+002   1.751042264E-005   4.570110875E-009   2.418058372E-005   1.710041360E-006   4.683113084E-006   9.224219803E-013   4.931119328E-012   4.875117679E-008   1.903045974E-012   2.387057620E-009   7.483183310E-011   1.230029691E-005   7.980128372E-010   1.120025689E-009   2.677064624E-004   2.783067730E-011   4.343104839E-004   2.266054699E-009   3.697087409E-016   8.359201216E-016   3.615087263E-010   1.296031284E-008   2.041049232E-016   1.409044553E-014   3.609087118E-014   2.563061868E-010   2.593062592E-008   6.396583372E-018   2.702073791E-016   1.562037705E-013   6.711162008E-011   1.340032105E-013   9.726234778E-007   5.193127249E-012   1.793043282E-004   1.238029884E-013   1.192880036E-012   2.362057022E-007   1.627039274E-004   2.491060131E-009   2.057049655E-003   1.127027205E-004   5.345129024E-006   3.005072540E-004   2.786067060E-011   2.259054532E-006   4.002096605E-003   3.386081735E-004   6.516157290E-005   3.252078501E-008   4.457107592E-015   1.243030006E-016   3.858093130E-018   2.276054931E-017   9.988827430E-021   2.570176158E-019   5.412096054E-019   3.205077366E-012   1.990048037E-004   8.006193278E-005   2.086050560E-007   8.064194658E-003   5.244126671E-006 
