     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  2.516143959E+006   7.973355934E-008   1.000000000E+001   3.314271680E-024   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   2.076552485E-046   2.062943928E-020   3.301637985E-021   3.724899441E-033   1.256671317E-033   4.445636538E-033   1.113923188E-041   3.410367317E-026   4.439893209E-031   9.750392155E-041   3.121806127E-041   0.000000000E+000   0.000000000E+000   5.850932466E-030   4.529370655E-035   1.573980613E-047   2.961992095E-044   8.721516045E-044   0.000000000E+000   0.000000000E+000   7.904541348E-041 
  3.124410506E+006   9.900879066E-008   1.000000000E+001   4.131726874E-024   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   2.588729542E-046   2.571762472E-020   4.115976471E-021   3.916666132E-033   1.321367748E-033   5.542138620E-033   1.388668797E-041   4.251523545E-026   5.534978717E-031   1.005831592E-040   3.220394807E-041   0.000000000E+000   0.000000000E+000   7.294046303E-030   5.646525477E-035   1.998016514E-047   3.759963161E-044   1.107112308E-043   0.000000000E+000   0.000000000E+000   9.854171274E-041 
  4.082324573E+006   1.293639291E-007   9.999999999E+000   5.419077215E-024   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   3.395320976E-046   3.373063224E-020   5.398418016E-021   3.916666132E-033   1.321367748E-033   7.268938777E-033   1.821345389E-041   5.576198373E-026   7.259548015E-031   1.787773255E-040   5.723955930E-041   0.000000000E+000   0.000000000E+000   9.566699713E-030   7.405850099E-035   2.293819551E-047   4.316619481E-044   1.271018452E-043   0.000000000E+000   0.000000000E+000   1.292449947E-040 
  5.641502582E+006   1.787723947E-007   9.999999999E+000   7.514473571E-024   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   4.708198300E-046   4.677324800E-020   7.485823060E-021   3.916666132E-033   1.321367748E-033   1.007961765E-032   2.525604588E-041   7.732345705E-026   1.006659576E-030   2.981593898E-040   9.546239732E-041   0.000000000E+000   0.000000000E+000   1.326585325E-029   1.026946838E-034   4.115192972E-047   7.744167209E-044   2.280251817E-043   0.000000000E+000   0.000000000E+000   1.792201268E-040 
  8.363551395E+006   2.650308299E-007   9.999999999E+000   1.117266874E-023   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   7.000262213E-046   6.954334643E-020   1.113006277E-020   3.916666132E-033   1.321367748E-033   1.498656544E-032   3.755116489E-041   1.149659728E-025   1.496720424E-030   4.995059682E-040   1.599280077E-040   0.000000000E+000   0.000000000E+000   1.972392049E-029   1.526883893E-034   8.629995775E-047   1.624033934E-043   4.781929714E-043   0.000000000E+000   0.000000000E+000   2.664678610E-040 
  1.108560021E+007   3.512892650E-007   9.999999998E+000   1.483086906E-023   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   9.292342020E-046   9.231344486E-020   1.477430249E-020   3.916666132E-033   1.321367748E-033   1.989351323E-032   4.984628327E-041   1.526084886E-025   1.986781272E-030   7.884723786E-040   2.524470671E-040   0.000000000E+000   0.000000000E+000   2.618198769E-029   2.026820937E-034   1.267894281E-046   2.385984178E-043   7.025474284E-043   0.000000000E+000   0.000000000E+000   3.537155951E-040 
  1.518722538E+007   4.812648069E-007   9.999999998E+000   2.034311148E-023   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   1.274611327E-045   1.266237807E-019   2.026549915E-020   3.916666132E-033   1.321367748E-033   2.728737791E-032   6.837275746E-041   2.093288124E-025   2.725212522E-030   1.514708866E-039   4.849679216E-040   0.000000000E+000   0.000000000E+000   3.591310295E-029   2.780133774E-034   1.550177093E-046   2.917197492E-043   8.589619390E-043   0.000000000E+000   0.000000000E+000   4.851818274E-040 
  2.170956151E+007   6.879497515E-007   9.999999997E+000   2.910861172E-023   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   1.823831719E-045   1.811835061E-019   2.899750873E-020   2.310862018E-032   7.796167548E-033   3.904497852E-032   9.783325296E-041   2.995245276E-025   3.899453609E-030   2.584615778E-039   8.275225491E-040   0.000000000E+000   0.000000000E+000   5.138736035E-029   3.978039267E-034   1.725432128E-046   3.247000809E-043   9.560717499E-043   0.000000000E+000   0.000000000E+000   6.942372422E-040 
  3.180667952E+007   1.007915211E-006   9.999999995E+000   4.267839227E-023   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   2.674088494E-045   2.656464920E-019   4.251538474E-020   5.281935892E-032   1.781969537E-032   5.724672071E-032   1.434405512E-040   4.391549851E-025   5.717276323E-030   2.778133489E-039   8.894815726E-040   0.000000000E+000   0.000000000E+000   7.534279537E-029   5.832496337E-034   1.996741476E-046   3.757563734E-043   1.106405802E-042   0.000000000E+000   0.000000000E+000   1.017872384E-039 
  4.190379752E+007   1.327880670E-006   9.999999993E+000   5.624824355E-023   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   3.524367138E-045   3.501094780E-019   5.603326075E-020   5.281935892E-032   1.781969537E-032   7.544846286E-032   1.890478425E-040   5.787854421E-025   7.535099029E-030   4.518577168E-039   1.446723543E-039   0.000000000E+000   0.000000000E+000   9.929822972E-029   7.686953263E-034   2.483284393E-046   4.673163494E-043   1.376001998E-042   0.000000000E+000   0.000000000E+000   1.341507522E-039 
  5.708090450E+007   1.808824837E-006   9.999999991E+000   7.664539331E-023   1.824424918E-064   9.810727134E-065   2.157750434E-064   3.001896746E-064   2.868574972E-036   4.802472961E-045   4.770668704E-019   7.635215272E-020   7.355370460E-032   2.481485266E-032   1.028077338E-031   2.576007408E-040   7.886657636E-025   1.026749153E-029   8.087892258E-039   2.589519601E-039   0.000000000E+000   0.000000000E+000   1.353059477E-028   1.047441087E-033   3.608064507E-046   6.789828579E-043   1.999249053E-042   0.000000000E+000   0.000000000E+000   1.827967625E-039 
  8.099712208E+007   2.566700851E-006   9.999999987E+000   1.087877241E-022   4.649944279E-064   2.500477495E-064   5.499496957E-064   7.650987694E-064   7.311188115E-036   6.816623543E-045   6.771274369E-019   1.083708399E-019   1.062270674E-031   3.583788254E-032   1.459207115E-031   3.656269956E-040   1.119397003E-024   1.457321942E-029   9.590003524E-039   3.070454119E-039   0.000000000E+000   0.000000000E+000   1.920472206E-028   1.486691023E-033   4.228068412E-046   7.956581619E-043   2.342796741E-042   0.000000000E+000   0.000000000E+000   2.594535686E-039 
  1.233687674E+008   3.909407053E-006   9.999999980E+000   1.657343018E-022   4.649944279E-064   2.500477495E-064   5.499496957E-064   7.650987694E-064   7.311188115E-036   1.038533496E-044   1.031568741E-018   1.650973874E-019   1.062270674E-031   3.583788254E-032   2.223026805E-031   5.570138606E-040   1.705343612E-024   2.220154824E-029   1.045934371E-038   3.348792824E-039   0.000000000E+000   0.000000000E+000   2.925740228E-028   2.264896760E-033   4.228068412E-046   7.956581619E-043   2.342796741E-042   0.000000000E+000   0.000000000E+000   3.952641285E-039 
  1.654410692E+008   5.242627420E-006   9.999999974E+000   2.222798004E-022   9.620467014E-064   5.173343985E-064   1.137814260E-063   1.582945307E-063   1.512642730E-035   1.392921550E-044   1.383506019E-018   2.214231779E-019   1.946539381E-031   6.567050319E-032   2.981450322E-031   7.470486406E-040   2.287150668E-024   2.977598494E-029   1.132254226E-038   3.625165146E-039   0.000000000E+000   0.000000000E+000   3.923906203E-028   3.037604446E-033   4.228068412E-046   7.956581619E-043   2.342796741E-042   0.000000000E+000   0.000000000E+000   5.301152205E-039 
  2.317282427E+008   7.343187787E-006   9.999999963E+000   3.113727647E-022   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   1.951356026E-044   1.938002121E-018   3.101674886E-019   4.663304514E-031   1.573261538E-031   4.176387337E-031   1.046458621E-039   3.203818946E-024   4.170991686E-029   1.928001010E-038   6.172926452E-039   0.000000000E+000   0.000000000E+000   5.496570127E-028   4.255046444E-033   4.228068412E-046   7.956581619E-043   2.342796741E-042   0.000000000E+000   0.000000000E+000   7.425803557E-039 
  3.329127500E+008   1.054960246E-005   9.999999947E+000   4.473752033E-022   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   2.803963904E-044   2.784416470E-018   4.456318451E-019   1.412702741E-030   4.766042792E-031   6.000407055E-031   1.503495043E-039   4.603073438E-024   5.992654771E-029   4.041646027E-038   1.294023372E-038   0.000000000E+000   0.000000000E+000   7.897173130E-028   6.113417883E-033   5.398146844E-046   1.015849125E-042   2.991143851E-042   0.000000000E+000   0.000000000E+000   1.066899184E-038 
  4.479321543E+008   1.419442830E-005   9.999999929E+000   6.019817963E-022   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   3.773415111E-044   3.746560541E-018   5.996181602E-019   2.258813351E-030   7.620570683E-031   8.073823856E-031   2.023021798E-039   6.193647094E-024   8.063392639E-029   5.063533839E-038   1.621203610E-038   0.000000000E+000   0.000000000E+000   1.062600833E-027   8.225881594E-033   6.728209398E-046   1.266146666E-042   3.728139072E-042   0.000000000E+000   0.000000000E+000   1.435561894E-038 
  5.629515586E+008   1.783925413E-005   9.999999911E+000   7.565975627E-022   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   4.743150179E-044   4.708704609E-018   7.536044737E-019   2.512646534E-030   8.476929050E-031   1.014724061E-030   2.542548518E-039   7.784220684E-024   1.013413038E-028   6.050572586E-038   1.937226141E-038   0.000000000E+000   0.000000000E+000   1.335484268E-027   1.033834346E-032   6.728209398E-046   1.266146666E-042   3.728139072E-042   0.000000000E+000   0.000000000E+000   1.804224566E-038 
  6.779709629E+008   2.148407996E-005   9.999999893E+000   9.112225011E-022   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   5.713169135E-044   5.670848673E-018   9.075907855E-019   2.766479717E-030   9.333287417E-031   1.222065733E-030   3.062075230E-039   9.374794206E-024   1.220486800E-028   7.037611334E-038   2.253248673E-038   0.000000000E+000   0.000000000E+000   1.608367617E-027   1.245080350E-032   6.728209398E-046   1.266146666E-042   3.728139072E-042   0.000000000E+000   0.000000000E+000   2.172887200E-038 
  8.838169217E+008   2.800708947E-005   9.999999860E+000   1.187971906E-021   1.745179282E-063   9.384588843E-064   2.064026486E-063   2.871506498E-063   2.743975682E-035   7.449884809E-044   7.392762187E-018   1.183174368E-018   2.766479717E-030   9.333287417E-031   1.593137417E-030   3.991852790E-039   1.222138444E-023   1.591078995E-028   8.984708618E-038   2.876655417E-038   0.000000000E+000   0.000000000E+000   2.096736608E-027   1.623139027E-032   6.728209398E-046   1.266146666E-042   3.728139072E-042   0.000000000E+000   0.000000000E+000   2.832668936E-038 
