     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  1.000000000E+005   3.168879072E-009   1.000000000E+001   4.323586878E-032   1.958206898E-024   5.317591567E-031   1.146245195E-030   1.970784986E-022   4.097792748E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794582E-132   3.961514893E-026   1.688804120E-029   1.058115418E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981397536E-035   8.689833559E-049 
  1.446122821E+005   4.582588343E-009   1.000000000E+001   5.329687902E-032   1.958206898E-024   5.317591567E-031   1.146245195E-030   1.970784986E-022   4.097792747E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794582E-132   3.961514893E-026   1.688804159E-029   1.058115538E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981397536E-035   8.689834877E-049 
  1.892245642E+005   5.996297614E-009   1.000000000E+001   6.335788563E-032   1.958206898E-024   5.317591567E-031   1.146245195E-030   1.970784986E-022   4.097792746E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794581E-132   3.961514893E-026   1.688804198E-029   1.058115658E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981397535E-035   8.689836195E-049 
  2.338368463E+005   7.410006885E-009   1.000000000E+001   7.341888532E-032   1.958206898E-024   5.317591567E-031   1.146245195E-030   1.970784986E-022   4.097792745E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794581E-132   3.961514893E-026   1.688804237E-029   1.058115779E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981397535E-035   8.689837513E-049 
  2.784491284E+005   8.823716156E-009   1.000000000E+001   8.347990068E-032   1.958206898E-024   5.317591566E-031   1.146245195E-030   1.970784986E-022   4.097792744E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794581E-132   3.961514893E-026   1.688804276E-029   1.058115899E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981397534E-035   8.689838830E-049 
  3.811894392E+005   1.207943236E-008   1.000000000E+001   1.066502785E-031   1.958206898E-024   5.317591566E-031   1.146245195E-030   1.970784986E-022   4.097792742E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794581E-132   3.961514893E-026   1.688804366E-029   1.058116176E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981397534E-035   8.689841865E-049 
  5.439343744E+005   1.723662256E-008   1.000000000E+001   1.433527691E-031   1.958206898E-024   5.317591566E-031   1.146245196E-030   1.970784986E-022   4.097792739E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794580E-132   3.961514893E-026   1.688804508E-029   1.058116615E-051   1.219421070E-025   2.265298273E-038   1.737793832E-031   0.000000000E+000   2.981397532E-035   8.689846672E-049 
  9.875017328E+005   3.129273575E-008   1.000000000E+001   2.433847633E-031   1.958206898E-024   5.317591566E-031   1.146245196E-030   1.970784986E-022   4.097792730E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794578E-132   3.961514893E-026   1.688804894E-029   1.058117810E-051   1.219421070E-025   2.265298272E-038   1.737793831E-031   0.000000000E+000   2.981397529E-035   8.689859775E-049 
  1.299610865E+006   4.118309671E-008   1.000000000E+001   3.137723833E-031   1.958206898E-024   5.317591565E-031   1.146245196E-030   1.970784986E-022   4.097792723E-166   1.970784986E-022   3.184331435E-026   7.771834586E-027   1.054794577E-132   3.961514893E-026   1.688805166E-029   1.058118651E-051   1.219421070E-025   2.265298272E-038   1.737793831E-031   0.000000000E+000   2.981397526E-035   8.689868994E-049 
  1.907877412E+006   6.045832803E-008   1.000000000E+001   4.509475946E-031   1.958206898E-024   5.317591565E-031   1.146245196E-030   1.970784986E-022   4.097792711E-166   1.970784986E-022   3.184331434E-026   7.771834585E-027   1.054794575E-132   3.961514893E-026   1.688805697E-029   1.058120291E-051   1.219421070E-025   2.265298272E-038   1.737793831E-031   0.000000000E+000   2.981397521E-035   8.689886961E-049 
  2.516143959E+006   7.973355934E-008   1.000000000E+001   5.881243792E-031   1.958206898E-024   5.317591564E-031   1.146245197E-030   1.970784986E-022   4.097792699E-166   1.970784986E-022   3.184331434E-026   7.771834585E-027   1.054794572E-132   3.961514893E-026   1.688806227E-029   1.058121930E-051   1.219421070E-025   2.265298272E-038   1.737793830E-031   0.000000000E+000   2.981397516E-035   8.689904928E-049 
  3.124410506E+006   9.900879066E-008   1.000000000E+001   7.252979267E-031   1.958206898E-024   5.317591563E-031   1.146245197E-030   1.970784986E-022   4.097792686E-166   1.970784986E-022   3.184331434E-026   7.771834585E-027   1.054794570E-132   3.961514893E-026   1.688806757E-029   1.058123570E-051   1.219421070E-025   2.265298272E-038   1.737793830E-031   0.000000000E+000   2.981397511E-035   8.689922895E-049 
  4.082324573E+006   1.293639291E-007   9.999999999E+000   9.413239969E-031   1.958206898E-024   5.317591562E-031   1.146245198E-030   1.970784986E-022   4.097792667E-166   1.970784986E-022   3.184331434E-026   7.771834584E-027   1.054794566E-132   3.961514893E-026   1.688807592E-029   1.058126152E-051   1.219421069E-025   2.265298271E-038   1.737793829E-031   0.000000000E+000   2.981397503E-035   8.689951191E-049 
  5.641502582E+006   1.787723947E-007   9.999999999E+000   1.292948861E-030   1.958206897E-024   5.317591561E-031   1.146245199E-030   1.970784986E-022   4.097792635E-166   1.970784986E-022   3.184331434E-026   7.771834583E-027   1.054794560E-132   3.961514892E-026   1.688808952E-029   1.058130354E-051   1.219421069E-025   2.265298271E-038   1.737793828E-031   0.000000000E+000   2.981397490E-035   8.689997247E-049 
  8.363551395E+006   2.650308299E-007   9.999999999E+000   1.906812811E-030   1.958206897E-024   5.317591558E-031   1.146245200E-030   1.970784986E-022   4.097792580E-166   1.970784986E-022   3.184331433E-026   7.771834582E-027   1.054794549E-132   3.961514892E-026   1.688811325E-029   1.058137691E-051   1.219421069E-025   2.265298270E-038   1.737793827E-031   0.000000000E+000   2.981397467E-035   8.690077652E-049 
  1.108560021E+007   3.512892650E-007   9.999999998E+000   2.520674589E-030   1.958206897E-024   5.317591555E-031   1.146245202E-030   1.970784986E-022   4.097792525E-166   1.970784986E-022   3.184331433E-026   7.771834580E-027   1.054794539E-132   3.961514891E-026   1.688813698E-029   1.058145028E-051   1.219421069E-025   2.265298268E-038   1.737793825E-031   0.000000000E+000   2.981397445E-035   8.690158059E-049 
  1.518722538E+007   4.812648069E-007   9.999999998E+000   3.445637439E-030   1.958206897E-024   5.317591550E-031   1.146245204E-030   1.970784986E-022   4.097792442E-166   1.970784986E-022   3.184331432E-026   7.771834578E-027   1.054794522E-132   3.961514890E-026   1.688817274E-029   1.058156084E-051   1.219421069E-025   2.265298267E-038   1.737793822E-031   0.000000000E+000   2.981397411E-035   8.690279216E-049 
  2.170956151E+007   6.879497515E-007   9.999999997E+000   4.916516166E-030   1.958206897E-024   5.317591543E-031   1.146245208E-030   1.970784985E-022   4.097792310E-166   1.970784985E-022   3.184331431E-026   7.771834575E-027   1.054794497E-132   3.961514889E-026   1.688822960E-029   1.058173664E-051   1.219421069E-025   2.265298264E-038   1.737793818E-031   0.000000000E+000   2.981397357E-035   8.690471881E-049 
  3.180667952E+007   1.007915211E-006   9.999999995E+000   7.193514254E-030   1.958206896E-024   5.317591532E-031   1.146245214E-030   1.970784985E-022   4.097792105E-166   1.970784985E-022   3.184331430E-026   7.771834569E-027   1.054794457E-132   3.961514887E-026   1.688831763E-029   1.058200880E-051   1.219421068E-025   2.265298260E-038   1.737793812E-031   0.000000000E+000   2.981397273E-035   8.690770147E-049 
  4.190379752E+007   1.327880670E-006   9.999999993E+000   9.470514752E-030   1.958206896E-024   5.317591521E-031   1.146245220E-030   1.970784984E-022   4.097791900E-166   1.970784984E-022   3.184331428E-026   7.771834564E-027   1.054794417E-132   3.961514884E-026   1.688840565E-029   1.058228096E-051   1.219421068E-025   2.265298256E-038   1.737793805E-031   0.000000000E+000   2.981397190E-035   8.691068417E-049 
  5.708090450E+007   1.808824837E-006   9.999999991E+000   1.289295697E-029   1.958206895E-024   5.317591504E-031   1.146245229E-030   1.970784983E-022   4.097791592E-166   1.970784983E-022   3.184331425E-026   7.771834556E-027   1.054794357E-132   3.961514881E-026   1.688853796E-029   1.058269005E-051   1.219421067E-025   2.265298250E-038   1.737793796E-031   0.000000000E+000   2.981397064E-035   8.691516761E-049 
  8.099712208E+007   2.566700851E-006   9.999999987E+000   1.828566018E-029   1.958206894E-024   5.317591478E-031   1.146245243E-030   1.970784982E-022   4.097791107E-166   1.970784982E-022   3.184331422E-026   7.771834543E-027   1.054794263E-132   3.961514876E-026   1.688874645E-029   1.058333472E-051   1.219421066E-025   2.265298241E-038   1.737793780E-031   0.000000000E+000   2.981396867E-035   8.692223287E-049 
  1.233687674E+008   3.909407053E-006   9.999999980E+000   2.783892694E-029   1.958206892E-024   5.317591432E-031   1.146245267E-030   1.970784980E-022   4.097790248E-166   1.970784980E-022   3.184331415E-026   7.771834521E-027   1.054794096E-132   3.961514867E-026   1.688911581E-029   1.058447688E-051   1.219421064E-025   2.265298224E-038   1.737793753E-031   0.000000000E+000   2.981396517E-035   8.693475088E-049 
  1.654410692E+008   5.242627420E-006   9.999999974E+000   3.732389848E-029   1.958206890E-024   5.317591386E-031   1.146245292E-030   1.970784978E-022   4.097789395E-166   1.970784978E-022   3.184331408E-026   7.771834498E-027   1.054793930E-132   3.961514858E-026   1.688948255E-029   1.058561101E-051   1.219421062E-025   2.265298208E-038   1.737793727E-031   0.000000000E+000   2.981396171E-035   8.694718132E-049 
