    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.276133E+001 
    0     1   1.705020E+002   5.063099E+001 
    0     2   5.098500E+002   4.349471E+001 
    0     3   1.015153E+003   4.197353E+001 
    0     4   1.681678E+003   4.005525E+001 
    0     5   2.503870E+003   3.717522E+001 
    0     6   3.474434E+003   3.336430E+001 
    0     7   4.586377E+003   2.900607E+001 
    0     8   5.829758E+003   2.676987E+001 
    1     0   5.987124E+003   2.354363E+001 
    1     1   6.149208E+003   2.350638E+001 
    1     2   6.471607E+003   2.336144E+001 
    1     3   6.951587E+003   2.329505E+001 
    0     9   7.196995E+003   2.590652E+001 
    1     4   7.584601E+003   2.321065E+001 
    1     5   8.365297E+003   2.320334E+001 
    0    10   8.677322E+003   2.514700E+001 
    1     6   9.286624E+003   2.325419E+001 
    0    11   1.026179E+004   2.445405E+001 
    1     7   1.034152E+004   2.337620E+001 
    1     8   1.152183E+004   2.348638E+001 
    2     0   1.163573E+004   2.225561E+001 
    2     1   1.178951E+004   2.229035E+001 
    0    12   1.194031E+004   2.381419E+001 
    2     2   1.209524E+004   2.214568E+001 
    2     3   1.255050E+004   2.209626E+001 
    1     9   1.281752E+004   2.352565E+001 
    2     4   1.315072E+004   2.196392E+001 
    0    13   1.370318E+004   2.324457E+001 
    2     5   1.389070E+004   2.189270E+001 
    1    10   1.422111E+004   2.345408E+001 
    2     6   1.476414E+004   2.182752E+001 
    0    14   1.554025E+004   2.270963E+001 
    1    11   1.572229E+004   2.326232E+001 
    2     7   1.576338E+004   2.182437E+001 
    2     8   1.688055E+004   2.185865E+001 
    3     0   1.695284E+004   2.136315E+001 
    3     1   1.709837E+004   2.139665E+001 
    1    12   1.731122E+004   2.297326E+001 
    3     2   1.738779E+004   2.123877E+001 
    0    15   1.744391E+004   2.225095E+001 
    3     3   1.781869E+004   2.120278E+001 
    2     9   1.810741E+004   2.192196E+001 
    3     4   1.838652E+004   2.105316E+001 
    1    13   1.897972E+004   2.261331E+001 
    3     5   1.908649E+004   2.098460E+001 
    0    16   1.940345E+004   2.179236E+001 
    2    10   1.943491E+004   2.196995E+001 
    3     6   1.991225E+004   2.088635E+001 
    1    14   2.071785E+004   2.219874E+001 
    2    11   2.085383E+004   2.191770E+001 
    3     7   2.085653E+004   2.082495E+001 
    0    17   2.141168E+004   2.141283E+001 
    3     8   2.191171E+004   2.080430E+001 
    4     0   2.194278E+004   2.056599E+001 
    4     1   2.208004E+004   2.057127E+001 
    4     2   2.235326E+004   2.046282E+001 
    2    12   2.235535E+004   2.185820E+001 
    1    15   2.251712E+004   2.178488E+001 
    4     3   2.275983E+004   2.051196E+001 
    3     9   2.306999E+004   2.081908E+001 
    4     4   2.329564E+004   2.027987E+001 
    0    18   2.345990E+004   2.099197E+001 
    2    13   2.393080E+004   2.158469E+001 
    4     5   2.395581E+004   2.026466E+001 
    3    10   2.432262E+004   2.079503E+001 
    1    16   2.436840E+004   2.132907E+001 
    4     6   2.473404E+004   2.011998E+001 
    0    19   2.553963E+004   2.065868E+001 
    2    14   2.557053E+004   2.138333E+001 
    4     7   2.562381E+004   2.002744E+001 
    3    11   2.565988E+004   2.081286E+001 
    1    17   2.626369E+004   2.093504E+001 
    5     0   2.660677E+004   1.990827E+001 
    4     8   2.661704E+004   1.996034E+001 
    5     1   2.673596E+004   1.989282E+001 
    5     2   2.699289E+004   1.976087E+001 
    3    12   2.707418E+004   2.078409E+001 
    2    15   2.726625E+004   2.090876E+001 
    5     3   2.737523E+004   1.971407E+001 
    0    20   2.764451E+004   2.024372E+001 
    4     9   2.770677E+004   1.993771E+001 
    5     4   2.787879E+004   1.957563E+001 
    1    18   2.819486E+004   2.045737E+001 
    5     5   2.849899E+004   1.952828E+001 
    3    13   2.855661E+004   2.067745E+001 
    4    10   2.888376E+004   1.986714E+001 
    2    16   2.900940E+004   2.064680E+001 
    5     6   2.922954E+004   1.940473E+001 
