     distance         timeN            Tn            nH          n(H)         n(H2)         n(He)          n(C)         n(CH)        n(CH2)        n(CH3)        n(CH4)          n(O)         n(O2)         n(OH)        n(H2O)         n(CO)        n(CO2)         n(C2)        n(C2H)       n(C2H2)         n(C3)        n(C3H)       n(C3H2)      n(CH3OH)       n(H2CO)      n(HCO2H)          n(N)         n(NH)        n(NH2)        n(NH3)         n(CN)        n(HCN)        n(HNC)         n(N2)         n(NO)          n(S)         n(SH)        n(H2S)         n(CS)         n(SO)        n(SO2)        n(OCS)         n(Si)        n(SiH)       n(SiH2)       n(SiH3)       n(SiH4)        n(SiO)       n(SiO2)         n(Mg)         n(Fe)     n(C54H18)          n(G)       n(H2O*)        n(O2*)        n(CO*)       n(CO2*)       n(CH4*)       n(NH3*)        n(N2*)     n(CH3OH*)      n(H2CO*)     n(HCO2H*)       n(OCS*)       n(H2S*)        n(Fe*)      n(SiH4*)       n(SiO*)      n(SiO2*)        n(O**)       n(Si**)       n(Mg**)       n(Fe**)        n(C**)         n(H+)        n(H2+)        n(H3+)        n(He+)         n(C+)        n(CH+)       n(CH2+)       n(CH3+)       n(CH4+)       n(CH5+)         n(O+)        n(O2+)        n(OH+)       n(H2O+)       n(H3O+)        n(CO+)       n(HCO+)      n(HCO2+)        n(C2+)       n(C2H+)      n(C2H2+)      n(C2H3+)        n(C3+)       n(C3H+)      n(C3H2+)      n(C3H3+)         n(N+)        n(NH+)       n(NH2+)       n(NH3+)       n(NH4+)        n(CN+)       n(C2N+)       n(HCN+)      n(H2CN+)      n(H2NC+)        n(N2+)       n(N2H+)        n(NO+)       n(HNO+)         n(S+)        n(SH+)       n(H2S+)       n(H3S+)        n(CS+)       n(HCS+)        n(SO+)       n(HSO+)      n(HSO2+)      n(HOCS+)        n(Si+)       n(SiH+)      n(SiH2+)      n(SiH3+)      n(SiH4+)      n(SiH5+)       n(SiO+)      n(SiOH+)        n(Fe+)    n(C54H18+)         n(G+)    n(C54H18-)         n(G-) 
  1.000000000E+005   3.168880661E-009   1.000000860E+001   1.000023134E+004   2.213002219E-001   5.000005012E+003   9.998010023E+002   2.128002133E-003   3.566003575E-006   1.879001884E-005   7.424007443E-007   1.376001379E-004   2.172002177E-001   9.797009821E-002   2.446002452E-004   4.051004061E-003   8.218008239E-001   1.376001379E-004   4.438004449E-006   2.743002750E-006   2.939002946E-007   6.680006697E-012   1.680001684E-010   3.980003990E-009   9.998022530E-013   9.998051707E-013   9.998058701E-013   5.935005950E-001   4.787004799E-007   5.156005169E-007   1.770001775E-007   5.481005495E-004   7.069007087E-004   7.742007761E-004   2.158002163E-002   1.689001693E-004   1.449001453E-001   7.072007090E-004   4.620004632E-004   5.294005307E-004   1.134001137E-005   1.442001446E-005   9.998010023E-009   8.645008667E-014   2.200002205E-017   3.873003883E-018   1.000001003E-020   2.564002570E-020   1.438001442E-011   5.157005170E-013   9.998010023E-013   1.460001464E-004   1.074001077E-003   3.529003538E-007   1.030001033E+000   1.000810238E-012   8.268008289E-002   1.340001343E-001   1.550001554E-002   1.550001554E-001   1.000038596E-012   1.860001865E-002   6.199006214E-002   7.239007257E-002   2.070002075E-003   3.719003728E-002   9.998021408E-013   9.998010023E-013   9.998010023E-013   9.998010023E-013   1.400001403E+000   3.369003377E-001   3.699003708E-001   3.229003237E-001   1.630001634E+000   1.353001356E-005   4.569004582E-009   2.227002233E-005   1.841001846E-006   5.287005300E-006   4.726004738E-011   8.506008527E-011   4.913004925E-007   1.431001435E-011   1.976001981E-008   7.563007582E-011   3.942003952E-006   8.656008680E-010   1.165001168E-009   6.628006645E-006   3.153003161E-011   8.005008025E-005   2.033002038E-008   3.605003615E-014   4.330004341E-014   2.544002550E-009   3.744003753E-009   9.674009698E-015   4.182004192E-013   6.719006736E-013   9.208009231E-011   5.441005455E-008   5.089003839E-015   7.273007291E-014   2.129002134E-011   3.070003078E-010   8.223008243E-013   1.330001333E-007   2.879002887E-011   4.171004181E-006   3.086003094E-012   3.627003654E-012   4.251004262E-007   1.157001160E-006   9.128009151E-009   2.838002845E-004   2.829002836E-005   2.816002823E-007   8.086008106E-007   4.143004154E-011   4.045004055E-007   2.062002067E-005   8.591008612E-009   3.088003096E-009   2.441002447E-011   3.454003463E-015   2.641002648E-017   4.540004551E-018   2.849002856E-019   1.000000502E-020   1.000001502E-020   4.159004170E-019   1.199001202E-014   3.939003949E-006   3.002003009E-007   3.248003256E-009   3.521003530E-004   1.072001075E-007 
  1.446115875E+005   4.582569656E-009   1.000001245E+001   1.000023583E+004   2.213003212E-001   5.000007257E+003   9.998014511E+002   2.128003088E-003   3.566005175E-006   1.879002727E-005   7.424010775E-007   1.376001997E-004   2.172003152E-001   9.797014219E-002   2.446003550E-004   4.051005879E-003   8.218011927E-001   1.376001997E-004   4.438006441E-006   2.743003981E-006   2.939004265E-007   6.680009695E-012   1.680002438E-010   3.980005776E-009   9.998032598E-013   9.998074791E-013   9.998084904E-013   5.935008614E-001   4.787006948E-007   5.156007483E-007   1.770002569E-007   5.481007955E-004   7.069010260E-004   7.742011236E-004   2.158003132E-002   1.689002451E-004   1.449002103E-001   7.072010264E-004   4.620006705E-004   5.294007683E-004   1.134001646E-005   1.442002093E-005   9.998014511E-009   8.645012547E-014   2.200003193E-017   3.873005621E-018   1.000001451E-020   2.564003721E-020   1.438002087E-011   5.157007485E-013   9.998014511E-013   1.460002119E-004   1.074001559E-003   3.529005122E-007   1.030001495E+000   1.001260925E-012   8.268012000E-002   1.340001945E-001   1.550002250E-002   1.550002250E-001   1.000145039E-012   1.860002699E-002   6.199008997E-002   7.239010506E-002   2.070003004E-003   3.719005398E-002   9.998030974E-013   9.998014511E-013   9.998014511E-013   9.998014511E-013   1.400002032E+000   3.369004890E-001   3.699005369E-001   3.229004686E-001   1.630002366E+000   1.353001964E-005   4.569006633E-009   2.227003232E-005   1.841002672E-006   5.287007673E-006   4.726006859E-011   8.506012345E-011   4.913007130E-007   1.431002077E-011   1.976002868E-008   7.563010976E-011   3.942005721E-006   8.656012567E-010   1.165001691E-009   6.628009619E-006   3.153004576E-011   8.005011618E-005   2.033002951E-008   3.605005233E-014   4.330006285E-014   2.544003692E-009   3.744005434E-009   9.674014041E-015   4.182006068E-013   6.719009752E-013   9.208013364E-011   5.441007897E-008   5.089005559E-015   7.273010556E-014   2.129003090E-011   3.070004456E-010   8.223011934E-013   1.330001930E-007   2.879004179E-011   4.171006054E-006   3.086004479E-012   3.627005289E-012   4.251006170E-007   1.157001679E-006   9.128013248E-009   2.838004119E-004   2.829004106E-005   2.816004087E-007   8.086011736E-007   4.143006013E-011   4.045005871E-007   2.062002993E-005   8.591012468E-009   3.088004482E-009   2.441003543E-011   3.454005013E-015   2.641003833E-017   4.540006589E-018   2.849004135E-019   1.000000728E-020   1.000002174E-020   4.159006037E-019   1.199001740E-014   3.939005717E-006   3.002004357E-007   3.248004713E-009   3.521005110E-004   1.072001556E-007 
  1.892231750E+005   5.996259286E-009   1.000001632E+001   1.000024033E+004   2.213004207E-001   5.000009506E+003   9.998019008E+002   2.128004046E-003   3.566006780E-006   1.879003572E-005   7.424014114E-007   1.376002616E-004   2.172004129E-001   9.797018626E-002   2.446004650E-004   4.051007702E-003   8.218015624E-001   1.376002616E-004   4.438008437E-006   2.743005215E-006   2.939005588E-007   6.680012700E-012   1.680003194E-010   3.980007567E-009   9.998042675E-013   9.998097884E-013   9.998111117E-013   5.935011283E-001   4.787009101E-007   5.156009802E-007   1.770003365E-007   5.481010420E-004   7.069013439E-004   7.742014719E-004   2.158004103E-002   1.689003211E-004   1.449002755E-001   7.072013445E-004   4.620008783E-004   5.294010065E-004   1.134002156E-005   1.442002741E-005   9.998019008E-009   8.645016436E-014   2.200004183E-017   3.873007363E-018   1.000001901E-020   2.564004875E-020   1.438002734E-011   5.157009804E-013   9.998019008E-013   1.460002776E-004   1.074002042E-003   3.529006709E-007   1.030001958E+000   1.001711613E-012   8.268015719E-002   1.340002548E-001   1.550002947E-002   1.550002947E-001   1.000251484E-012   1.860003536E-002   6.199011785E-002   7.239013763E-002   2.070003935E-003   3.719007070E-002   9.998040550E-013   9.998019008E-013   9.998019008E-013   9.998019008E-013   1.400002662E+000   3.369006405E-001   3.699007032E-001   3.229006139E-001   1.630003099E+000   1.353002572E-005   4.569008689E-009   2.227004234E-005   1.841003500E-006   5.287010052E-006   4.726008985E-011   8.506016171E-011   4.913009340E-007   1.431002721E-011   1.976003757E-008   7.563014378E-011   3.942007494E-006   8.656016462E-010   1.165002215E-009   6.628012601E-006   3.153005994E-011   8.005015219E-005   2.033003865E-008   3.605006855E-014   4.330008233E-014   2.544004837E-009   3.744007118E-009   9.674018392E-015   4.182007949E-013   6.719012774E-013   9.208017506E-011   5.441010344E-008   5.089007285E-015   7.273013827E-014   2.129004048E-011   3.070005837E-010   8.223015633E-013   1.330002529E-007   2.879005474E-011   4.171007930E-006   3.086005867E-012   3.627006929E-012   4.251008082E-007   1.157002200E-006   9.128017354E-009   2.838005396E-004   2.829005378E-005   2.816005354E-007   8.086015373E-007   4.143007877E-011   4.045007690E-007   2.062003920E-005   8.591016333E-009   3.088005871E-009   2.441004641E-011   3.454006567E-015   2.641005021E-017   4.540008631E-018   2.849005416E-019   1.000000955E-020   1.000002847E-020   4.159007909E-019   1.199002280E-014   3.939007489E-006   3.002005707E-007   3.248006174E-009   3.521006694E-004   1.072002038E-007 
  2.338347626E+005   7.409949553E-009   1.000002020E+001   1.000024483E+004   2.213005205E-001   5.000011760E+003   9.998023515E+002   2.128005005E-003   3.566008387E-006   1.879004419E-005   7.424017461E-007   1.376003236E-004   2.172005109E-001   9.797023043E-002   2.446005753E-004   4.051009528E-003   8.218019329E-001   1.376003236E-004   4.438010438E-006   2.743006452E-006   2.939006913E-007   6.680015711E-012   1.680003951E-010   3.980009361E-009   9.998052762E-013   9.998120988E-013   9.998137341E-013   5.935013959E-001   4.787011259E-007   5.156012127E-007   1.770004163E-007   5.481012891E-004   7.069016626E-004   7.742018209E-004   2.158005076E-002   1.689003973E-004   1.449003408E-001   7.072016633E-004   4.620010866E-004   5.294012452E-004   1.134002667E-005   1.442003392E-005   9.998023516E-009   8.645020333E-014   2.200005174E-017   3.873009109E-018   1.000002352E-020   2.564006031E-020   1.438003382E-011   5.157012129E-013   9.998023515E-013   1.460003434E-004   1.074002526E-003   3.529008300E-007   1.030002423E+000   1.002162303E-012   8.268019446E-002   1.340003152E-001   1.550003646E-002   1.550003646E-001   1.000357930E-012   1.860004375E-002   6.199014580E-002   7.239017026E-002   2.070004869E-003   3.719008747E-002   9.998050137E-013   9.998023515E-013   9.998023515E-013   9.998023515E-013   1.400003293E+000   3.369007924E-001   3.699008700E-001   3.229007595E-001   1.630003834E+000   1.353003182E-005   4.569010749E-009   2.227005238E-005   1.841004330E-006   5.287012435E-006   4.726011116E-011   8.506020006E-011   4.913011555E-007   1.431003366E-011   1.976004648E-008   7.563017787E-011   3.942009272E-006   8.656020365E-010   1.165002740E-009   6.628015589E-006   3.153007416E-011   8.005018828E-005   2.033004782E-008   3.605008481E-014   4.330010185E-014   2.544005984E-009   3.744008806E-009   9.674022754E-015   4.182009834E-013   6.719015803E-013   9.208021657E-011   5.441012797E-008   5.089009016E-015   7.273017106E-014   2.129005007E-011   3.070007221E-010   8.223019340E-013   1.330003128E-007   2.879006772E-011   4.171009810E-006   3.086007258E-012   3.627008572E-012   4.251009998E-007   1.157002721E-006   9.128021469E-009   2.838006675E-004   2.829006654E-005   2.816006623E-007   8.086019018E-007   4.143009745E-011   4.045009514E-007   2.062004850E-005   8.591020206E-009   3.088007263E-009   2.441005741E-011   3.454008124E-015   2.641006212E-017   4.540010678E-018   2.849006701E-019   1.000001183E-020   1.000003521E-020   4.159009784E-019   1.199002820E-014   3.939009265E-006   3.002007061E-007   3.248007638E-009   3.521008281E-004   1.072002521E-007 
  2.784463501E+005   8.823640459E-009   1.000002410E+001   1.000024935E+004   2.213006205E-001   5.000014019E+003   9.998028033E+002   2.128005967E-003   3.566009998E-006   1.879005268E-005   7.424020816E-007   1.376003858E-004   2.172006090E-001   9.797027469E-002   2.446006858E-004   4.051011358E-003   8.218023042E-001   1.376003858E-004   4.438012443E-006   2.743007691E-006   2.939008240E-007   6.680018730E-012   1.680004710E-010   3.980011159E-009   9.998062859E-013   9.998144101E-013   9.998163574E-013   5.935016641E-001   4.787013422E-007   5.156014457E-007   1.770004963E-007   5.481015368E-004   7.069019820E-004   7.742021707E-004   2.158006051E-002   1.689004736E-004   1.449004063E-001   7.072019829E-004   4.620012954E-004   5.294014843E-004   1.134003180E-005   1.442004043E-005   9.998028033E-009   8.645024239E-014   2.200006168E-017   3.873010859E-018   1.000002804E-020   2.564007189E-020   1.438004032E-011   5.157014459E-013   9.998028033E-013   1.460004094E-004   1.074003011E-003   3.529009895E-007   1.030002888E+000   1.002612995E-012   8.268023182E-002   1.340003757E-001   1.550004346E-002   1.550004346E-001   1.000464377E-012   1.860005215E-002   6.199017381E-002   7.239020297E-002   2.070005804E-003   3.719010427E-002   9.998059733E-013   9.998028033E-013   9.998028033E-013   9.998028033E-013   1.400003925E+000   3.369009446E-001   3.699010371E-001   3.229009054E-001   1.630004570E+000   1.353003794E-005   4.569012814E-009   2.227006244E-005   1.841005162E-006   5.287014824E-006   4.726013252E-011   8.506023849E-011   4.913013775E-007   1.431004012E-011   1.976005540E-008   7.563021204E-011   3.942011053E-006   8.656024278E-010   1.165003267E-009   6.628018584E-006   3.153008840E-011   8.005022445E-005   2.033005700E-008   3.605010110E-014   4.330012141E-014   2.544007133E-009   3.744010498E-009   9.674027125E-015   4.182011723E-013   6.719018839E-013   9.208025818E-011   5.441015256E-008   5.089010751E-015   7.273020392E-014   2.129005969E-011   3.070008608E-010   8.223023055E-013   1.330003729E-007   2.879008073E-011   4.171011695E-006   3.086008653E-012   3.627010219E-012   4.251011919E-007   1.157003244E-006   9.128025593E-009   2.838007957E-004   2.829007932E-005   2.816007896E-007   8.086022672E-007   4.143011617E-011   4.045011341E-007   2.062005782E-005   8.591024088E-009   3.088008658E-009   2.441006844E-011   3.454009684E-015   2.641007405E-017   4.540012729E-018   2.849007988E-019   1.000001411E-020   1.000004196E-020   4.159011664E-019   1.199003362E-014   3.939011044E-006   3.002008417E-007   3.248009105E-009   3.521009872E-004   1.072003006E-007 
  3.811846755E+005   1.207930458E-008   1.000003311E+001   1.000025980E+004   2.213008516E-001   5.000019241E+003   9.998038474E+002   2.128008189E-003   3.566013722E-006   1.879007231E-005   7.424028569E-007   1.376005295E-004   2.172008358E-001   9.797037700E-002   2.446009413E-004   4.051015589E-003   8.218031624E-001   1.376005295E-004   4.438017078E-006   2.743010555E-006   2.939011310E-007   6.680025706E-012   1.680006465E-010   3.980015316E-009   9.998086150E-013   9.998197369E-013   9.998224026E-013   5.935022839E-001   4.787018421E-007   5.156019841E-007   1.770006812E-007   5.481021092E-004   7.069027203E-004   7.742029792E-004   2.158008304E-002   1.689006500E-004   1.449005576E-001   7.072027214E-004   4.620017778E-004   5.294020372E-004   1.134004364E-005   1.442005549E-005   9.998038474E-009   8.645033267E-014   2.200008466E-017   3.873014904E-018   1.000003849E-020   2.564009867E-020   1.438005534E-011   5.157019845E-013   9.998038474E-013   1.460005618E-004   1.074004133E-003   3.529013580E-007   1.030003964E+000   1.003650924E-012   8.268031816E-002   1.340005157E-001   1.550005965E-002   1.550005965E-001   1.000709524E-012   1.860007158E-002   6.199023855E-002   7.239027857E-002   2.070007966E-003   3.719014311E-002   9.998081871E-013   9.998038474E-013   9.998038474E-013   9.998038474E-013   1.400005387E+000   3.369012964E-001   3.699014234E-001   3.229012426E-001   1.630006272E+000   1.353005207E-005   4.569017587E-009   2.227008570E-005   1.841007084E-006   5.287020345E-006   4.726018187E-011   8.506032732E-011   4.913018906E-007   1.431005507E-011   1.976007604E-008   7.563029102E-011   3.942015169E-006   8.656033320E-010   1.165004484E-009   6.628025505E-006   3.153012133E-011   8.005030804E-005   2.033007823E-008   3.605013875E-014   4.330016663E-014   2.544009790E-009   3.744014407E-009   9.674037228E-015   4.182016090E-013   6.719025856E-013   9.208035434E-011   5.441020938E-008   5.089014768E-015   7.273027988E-014   2.129008193E-011   3.070011814E-010   8.223031642E-013   1.330005118E-007   2.879011080E-011   4.171016051E-006   3.086011875E-012   3.627014024E-012   4.251016358E-007   1.157004452E-006   9.128035126E-009   2.838010921E-004   2.829010886E-005   2.816010836E-007   8.086031116E-007   4.143015944E-011   4.045015566E-007   2.062007935E-005   8.591033059E-009   3.088011883E-009   2.441009393E-011   3.454013291E-015   2.641010163E-017   4.540017471E-018   2.849010963E-019   1.000001942E-020   1.000005754E-020   4.159016008E-019   1.199004614E-014   3.939015158E-006   3.002011552E-007   3.248012497E-009   3.521013549E-004   1.072004125E-007 
  5.439270462E+005   1.723643765E-008   1.000004752E+001   1.000027645E+004   2.213012201E-001   5.000027566E+003   9.998055121E+002   2.128011732E-003   3.566019660E-006   1.879010359E-005   7.424040930E-007   1.376007586E-004   2.172011975E-001   9.797054013E-002   2.446013485E-004   4.051022334E-003   8.218045307E-001   1.376007586E-004   4.438024468E-006   2.743015123E-006   2.939016203E-007   6.680036828E-012   1.680009262E-010   3.980021942E-009   9.998123152E-013   9.998281855E-013   9.998319893E-013   5.935032721E-001   4.787026392E-007   5.156028426E-007   1.770009759E-007   5.481030218E-004   7.069038973E-004   7.742042683E-004   2.158011897E-002   1.689009312E-004   1.449007989E-001   7.072038989E-004   4.620025471E-004   5.294029187E-004   1.134006252E-005   1.442007950E-005   9.998055122E-009   8.645047661E-014   2.200012129E-017   3.873021353E-018   1.000005514E-020   2.564014136E-020   1.438007928E-011   5.157028431E-013   9.998055121E-013   1.460008049E-004   1.074005921E-003   3.529019456E-007   1.030005679E+000   1.005295074E-012   8.268045583E-002   1.340007388E-001   1.550008545E-002   1.550008545E-001   1.001097861E-012   1.860010255E-002   6.199034176E-002   7.239039910E-002   2.070011412E-003   3.719020504E-002   9.998117046E-013   9.998055121E-013   9.998055121E-013   9.998055121E-013   1.400007718E+000   3.369018574E-001   3.699020393E-001   3.229017802E-001   1.630008986E+000   1.353007459E-005   4.569025197E-009   2.227012278E-005   1.841010150E-006   5.287029148E-006   4.726026057E-011   8.506046894E-011   4.913027086E-007   1.431007889E-011   1.976010894E-008   7.563041694E-011   3.942021733E-006   8.656047737E-010   1.165006424E-009   6.628036541E-006   3.153017383E-011   8.005044133E-005   2.033011208E-008   3.605019879E-014   4.330023873E-014   2.544014026E-009   3.744020641E-009   9.674053335E-015   4.182023051E-013   6.719037043E-013   9.208050765E-011   5.441029997E-008   5.089021186E-015   7.273040098E-014   2.129011738E-011   3.070016925E-010   8.223045333E-013   1.330007333E-007   2.879015874E-011   4.171022995E-006   3.086017014E-012   3.627020092E-012   4.251023436E-007   1.157006379E-006   9.128050324E-009   2.838015646E-004   2.829015597E-005   2.816015525E-007   8.086044580E-007   4.143022842E-011   4.045022301E-007   2.062011368E-005   8.591047364E-009   3.088017025E-009   2.441013458E-011   3.454019043E-015   2.641014560E-017   4.540025030E-018   2.849015707E-019   1.000002793E-020   1.000008233E-020   4.159022934E-019   1.199006610E-014   3.939021716E-006   3.002016550E-007   3.248017904E-009   3.521019412E-004   1.072005910E-007 
  9.874818706E+005   3.129226351E-008   1.000008766E+001   1.000032250E+004   2.213022392E-001   5.000050592E+003   9.998101164E+002   2.128021532E-003   3.566036082E-006   1.879019013E-005   7.424075119E-007   1.376013923E-004   2.172021977E-001   9.797099130E-002   2.446024750E-004   4.051040990E-003   8.218083153E-001   1.376013923E-004   4.438044906E-006   2.743027755E-006   2.939029738E-007   6.680067591E-012   1.680016999E-010   3.980040271E-009   9.998224673E-013   9.998512795E-013   9.998581853E-013   5.935060053E-001   4.787048437E-007   5.156052171E-007   1.770017911E-007   5.481055459E-004   7.069071527E-004   7.742078337E-004   2.158021836E-002   1.689017090E-004   1.449014662E-001   7.072071558E-004   4.620046747E-004   5.294053567E-004   1.134011474E-005   1.442014591E-005   9.998101165E-009   8.645087474E-014   2.200022261E-017   3.873039189E-018   1.000010119E-020   2.564025944E-020   1.438014550E-011   5.157052181E-013   9.998101164E-013   1.460014773E-004   1.074010867E-003   3.529035708E-007   1.030010422E+000   1.009776337E-012   8.268083659E-002   1.340013559E-001   1.550015684E-002   1.550015684E-001   1.002156358E-012   1.860018820E-002   6.199062724E-002   7.239073247E-002   2.070020945E-003   3.719037630E-002   9.998213588E-013   9.998101164E-013   9.998101164E-013   9.998101164E-013   1.400014166E+000   3.369034089E-001   3.699037428E-001   3.229032672E-001   1.630016493E+000   1.353013690E-005   4.569046243E-009   2.227022534E-005   1.841018628E-006   5.287053496E-006   4.726047822E-011   8.506086065E-011   4.913049712E-007   1.431014479E-011   1.976019994E-008   7.563076522E-011   3.942039887E-006   8.656087612E-010   1.165011790E-009   6.628067065E-006   3.153031903E-011   8.005080998E-005   2.033020571E-008   3.605036483E-014   4.330043815E-014   2.544025741E-009   3.744037883E-009   9.674097887E-015   4.182042307E-013   6.719067986E-013   9.208093171E-011   5.441055054E-008   5.089039019E-015   7.273073592E-014   2.129021542E-011   3.070031064E-010   8.223083200E-013   1.330013458E-007   2.879029134E-011   4.171042204E-006   3.086031225E-012   3.627036873E-012   4.251043013E-007   1.157011707E-006   9.128092361E-009   2.838028716E-004   2.829028625E-005   2.816028493E-007   8.086081818E-007   4.143041922E-011   4.045040929E-007   2.062020864E-005   8.591086927E-009   3.088031246E-009   2.441024699E-011   3.454034949E-015   2.641026723E-017   4.540045938E-018   2.849028827E-019   1.000005180E-020   1.000015056E-020   4.159042091E-019   1.199012132E-014   3.939039857E-006   3.002030375E-007   3.248032859E-009   3.521035627E-004   1.072010847E-007 
  1.299586355E+006   4.118259357E-008   1.000011666E+001   1.000035549E+004   2.213029694E-001   5.000067089E+003   9.998134151E+002   2.128028553E-003   3.566047848E-006   1.879025212E-005   7.424099614E-007   1.376018463E-004   2.172029143E-001   9.797131454E-002   2.446032820E-004   4.051054356E-003   8.218110268E-001   1.376018463E-004   4.438059548E-006   2.743036805E-006   2.939039435E-007   6.680089631E-012   1.680022542E-010   3.980053403E-009   9.998296698E-013   9.998675885E-013   9.998766771E-013   5.935079635E-001   4.787064231E-007   5.156069182E-007   1.770023751E-007   5.481073543E-004   7.069094851E-004   7.742103881E-004   2.158028956E-002   1.689022663E-004   1.449019442E-001   7.072094891E-004   4.620061990E-004   5.294071034E-004   1.134015216E-005   1.442019348E-005   9.998134153E-009   8.645115997E-014   2.200029519E-017   3.873051967E-018   1.000013419E-020   2.564034403E-020   1.438019295E-011   5.157069196E-013   9.998134151E-013   1.460019590E-004   1.074014411E-003   3.529047352E-007   1.030013820E+000   1.012929664E-012   8.268110938E-002   1.340017980E-001   1.550020798E-002   1.550020798E-001   1.002901235E-012   1.860024957E-002   6.199083177E-002   7.239097132E-002   2.070027775E-003   3.719049901E-002   9.998282109E-013   9.998134151E-013   9.998134151E-013   9.998134151E-013   1.400018785E+000   3.369045205E-001   3.699049632E-001   3.229043326E-001   1.630021871E+000   1.353018154E-005   4.569061322E-009   2.227029881E-005   1.841024702E-006   5.287070940E-006   4.726063416E-011   8.506114129E-011   4.913065922E-007   1.431019201E-011   1.976026514E-008   7.563101474E-011   3.942052893E-006   8.656116180E-010   1.165015634E-009   6.628088933E-006   3.153042306E-011   8.005107409E-005   2.033027278E-008   3.605048380E-014   4.330058102E-014   2.544034135E-009   3.744050236E-009   9.674129806E-015   4.182056102E-013   6.719090154E-013   9.208123551E-011   5.441073006E-008   5.089051868E-015   7.273097588E-014   2.129028567E-011   3.070041193E-010   8.223110330E-013   1.330017846E-007   2.879038635E-011   4.171055966E-006   3.086041407E-012   3.627048895E-012   4.251057039E-007   1.157015524E-006   9.128122478E-009   2.838038080E-004   2.829037959E-005   2.816037785E-007   8.086108496E-007   4.143055592E-011   4.045054275E-007   2.062027668E-005   8.591115272E-009   3.088041434E-009   2.441032753E-011   3.454046345E-015   2.641035436E-017   4.540060917E-018   2.849038227E-019   1.000006918E-020   1.000019916E-020   4.159055816E-019   1.199016088E-014   3.939052853E-006   3.002040280E-007   3.248043574E-009   3.521047244E-004   1.072014384E-007 
  1.907824283E+006   6.045723993E-008   1.000017503E+001   1.000042119E+004   2.213044233E-001   5.000099938E+003   9.998199836E+002   2.128042534E-003   3.566071276E-006   1.879037557E-005   7.424148388E-007   1.376027503E-004   2.172043413E-001   9.797195818E-002   2.446048890E-004   4.051080970E-003   8.218164258E-001   1.376027503E-004   4.438088705E-006   2.743054826E-006   2.939058744E-007   6.680133517E-012   1.680033579E-010   3.980079551E-009   9.998438460E-013   9.998995122E-013   9.999128546E-013   5.935118626E-001   4.787095681E-007   5.156103056E-007   1.770035380E-007   5.481109552E-004   7.069141292E-004   7.742154744E-004   2.158043133E-002   1.689033759E-004   1.449028962E-001   7.072141352E-004   4.620092343E-004   5.294105814E-004   1.134022666E-005   1.442028822E-005   9.998199839E-009   8.645172793E-014   2.200043973E-017   3.873077412E-018   1.000019990E-020   2.564051248E-020   1.438028742E-011   5.157103076E-013   9.998199836E-013   1.460029182E-004   1.074021467E-003   3.529070537E-007   1.030020587E+000   1.019075229E-012   8.268165257E-002   1.340026783E-001   1.550030981E-002   1.550030981E-001   1.004353042E-012   1.860037177E-002   6.199123903E-002   7.239144690E-002   2.070041374E-003   3.719074334E-002   9.998417044E-013   9.998199836E-013   9.998199836E-013   9.998199836E-013   1.400027983E+000   3.369067338E-001   3.699073934E-001   3.229064540E-001   1.630032580E+000   1.353027043E-005   4.569091346E-009   2.227044512E-005   1.841036797E-006   5.287105674E-006   4.726094466E-011   8.506170010E-011   4.913098199E-007   1.431028602E-011   1.976039495E-008   7.563151159E-011   3.942078791E-006   8.656173065E-010   1.165023289E-009   6.628132477E-006   3.153063020E-011   8.005160000E-005   2.033040635E-008   3.605072068E-014   4.330086551E-014   2.544050848E-009   3.744074833E-009   9.674193363E-015   4.182083572E-013   6.719134297E-013   9.208184046E-011   5.441108752E-008   5.089077620E-015   7.273145371E-014   2.129042554E-011   3.070061362E-010   8.223164351E-013   1.330026583E-007   2.879057551E-011   4.171083368E-006   3.086061682E-012   3.627072831E-012   4.251084967E-007   1.157023126E-006   9.128182447E-009   2.838056725E-004   2.829056545E-005   2.816056285E-007   8.086161620E-007   4.143082812E-011   4.045080850E-007   2.062041214E-005   8.591171713E-009   3.088061722E-009   2.441048790E-011   3.454069037E-015   2.641052787E-017   4.540090744E-018   2.849056945E-019   1.000010446E-020   1.000029527E-020   4.159083145E-019   1.199023965E-014   3.939078731E-006   3.002060002E-007   3.248064909E-009   3.521070376E-004   1.072021426E-007 
