    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   6.367076E+001 
    0     1   1.705020E+002   5.656793E+001 
    0     2   5.098500E+002   4.225163E+001 
    0     3   1.015153E+003   4.195296E+001 
    0     4   1.681678E+003   4.132561E+001 
    0     5   2.503870E+003   3.994252E+001 
    0     6   3.474434E+003   3.868732E+001 
    0     7   4.586377E+003   3.765379E+001 
    0     8   5.829758E+003   3.670874E+001 
    1     0   5.987124E+003   3.368827E+001 
    1     1   6.149208E+003   3.354290E+001 
    1     2   6.471607E+003   3.336306E+001 
    1     3   6.951587E+003   3.335772E+001 
    0     9   7.196995E+003   3.589795E+001 
    1     4   7.584601E+003   3.321003E+001 
    1     5   8.365297E+003   3.322803E+001 
    0    10   8.677322E+003   3.510960E+001 
    1     6   9.286624E+003   3.324901E+001 
    0    11   1.026179E+004   3.444631E+001 
    1     7   1.034152E+004   3.337516E+001 
    1     8   1.152183E+004   3.347993E+001 
    2     0   1.163573E+004   3.226923E+001 
    2     1   1.178951E+004   3.235462E+001 
    0    12   1.194031E+004   3.376320E+001 
    2     2   1.209524E+004   3.215122E+001 
    2     3   1.255050E+004   3.217181E+001 
    1     9   1.281752E+004   3.351375E+001 
    2     4   1.315072E+004   3.195391E+001 
    0    13   1.370318E+004   3.323978E+001 
    2     5   1.389070E+004   3.193945E+001 
    1    10   1.422111E+004   3.344382E+001 
    2     6   1.476414E+004   3.181812E+001 
    0    14   1.554025E+004   3.264080E+001 
    1    11   1.572229E+004   3.324469E+001 
    2     7   1.576338E+004   3.183437E+001 
    2     8   1.688055E+004   3.185399E+001 
    3     0   1.695284E+004   3.138026E+001 
    3     1   1.709837E+004   3.141735E+001 
    1    12   1.731122E+004   3.295906E+001 
    3     2   1.738779E+004   3.125152E+001 
    0    15   1.744391E+004   3.225082E+001 
    3     3   1.781869E+004   3.132452E+001 
    2     9   1.810741E+004   3.191381E+001 
    3     4   1.838652E+004   3.104532E+001 
    1    13   1.897972E+004   3.259072E+001 
    3     5   1.908649E+004   3.103968E+001 
    0    16   1.940345E+004   3.170025E+001 
    2    10   1.943491E+004   3.195750E+001 
    3     6   1.991225E+004   3.086555E+001 
    1    14   2.071785E+004   3.218066E+001 
    2    11   2.085383E+004   3.189395E+001 
    3     7   2.085653E+004   3.083869E+001 
    0    17   2.141168E+004   3.141840E+001 
    3     8   2.191171E+004   3.079855E+001 
    4     0   2.194278E+004   3.058947E+001 
    4     1   2.208004E+004   3.057799E+001 
    4     2   2.235326E+004   3.048438E+001 
    2    12   2.235535E+004   3.182927E+001 
    1    15   2.251712E+004   3.175882E+001 
    4     3   2.275983E+004   3.071500E+001 
    3     9   2.306999E+004   3.081616E+001 
    4     4   2.329564E+004   3.027960E+001 
